Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"UBER, Long, 2025-12-22 (Price: 81.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-22 (Price: 81.26), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,8.06%/3.32%/5.73%,"-0.0%, 11.17%",1.7 month/2 days/16 days,2026-03-05/2025-12-24/2026-01-14,12.38%,16.7%,-4.32%,1.69,0.74,86.5256/85.9162/86.22/82.12/103.1697/130.9341/87.67,79.14/34.6025/71.0872/No support/78.415/72.8513/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
DELTADRIFT,"INDY, Long, 2025-12-22 (Price: 49.33)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-22 (Price: 49.33), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,10.44%/1.45%/3.29%,"3.67%, 4.22%",26 days/4 days/11 days,2026-01-28/2025-12-27/2026-01-06,8.33%,2.61%,5.72%,0.34,0.03,51.0023/50.953/50.98/54.474/60.9145/68.1277/52.22,48.03/40.73/48.7816/37.969/No support/No support/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-22 (Price: 168.04)",No Exit Yet,"0.0%, 0 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-22 (Price: 168.04), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,5.66% above/0.0% below/0.0% below,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-07-01/2025-12-30/2026-02-03,12.04%,18.03%,-5.99%,0.06,0.87,180.8951/176.5092/187.59/No Horizontal Resistance/177.4321/184.9838/No EMA 200 Target,145.49/52.782/150.6362/140.1747/142.2388/125.0802/130.56,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"TRI.TO, Long, 2025-12-22 (Price: 182.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-22 (Price: 182.89), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.48% above/0.0% below/0.0% below,7.54%/0.59%/3.7%,"0%, 12.09%",5.6 months/6 days/1.6 month,2026-08-22/2025-12-30/2026-03-01,14.91%,7.98%,6.93%,1.41,0.45,195.4911/189.6569/235.1/240.8933/308.8111/326.8654/239.03,178.26/116.89/175.5204/No support/No support/No support/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"ABNB, Long, 2025-12-21 (Price: 135.28)",No Exit Yet,"1.23%, 1 day","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 136.95), 1.23% above",1 day,No Information,No Information,No Information,No Information,No Information,6.67% above/1.23% above/1.23% above,21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-01-11/2026-02-11/2026-07-26,-12.18%,-2.45%,-9.73%,0.4,0.05,135.1718/158.3723/138.5/178.025/223.5359/232.9937/No EMA 200 Target,114.26/99.795/124.5998/No support/No F-Track Level/No F-Track Level/126.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",No Exit Yet,"1.92%, 1 day","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 168.04), 1.92% above",1 day,No Information,No Information,No Information,No Information,No Information,1.92% above/1.92% above/1.92% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2025-12-21 (Price: 51.2)",No Exit Yet,"0.39%, 1 day","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 51.4), 0.39% above",1 day,No Information,No Information,No Information,No Information,No Information,2.72% above/2.25% above/0.39% above,18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-12-21 (Price: 101.92)",No Exit Yet,"-1.17%, 1 day","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 100.73), 1.17% below",1 day,No Information,No Information,No Information,No Information,No Information,0.19% below/1.17% below/1.17% below,11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-02-19/2026-01-30/2026-06-15,6.24%,1.27%,4.97%,0.28,0.02,98.9439/109.7678/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2025-12-21 (Price: 77.72)",No Exit Yet,"0.82%, 1 day","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2025-12-22 (Price: 78.36), 0.82% above",1 day,No Information,No Information,No Information,"23.66% (Price: 75.3098), 4.05% above, Upmove Bounce Back","2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",No Information,19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-27/2026-03-22/2029-04-01,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/116.3721/144.3517/No EMA 200 Target,75.63/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/70.45,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
TRENDPULSE,"CSCO, Long, 2025-12-19 (Price: 78.42)",No Exit Yet,"-0.4%, 3 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 78.11), 0.4% below",3 days,No Information,No Information,No Information,No Information,No Information,2.78% above/0.4% below/0.4% below,5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-02-04/2025-12-27/2026-01-05,6.96%,6.16%,0.8%,0.14,0.32,81.0235/80.4981/95.97/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,76.0/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/67.08,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
