"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"LYFT, Long, 2025-12-17 (Price: 19.18)",No Exit Yet,"0.0%, 0 days","92.31%, Past 5 years, 13","Daily, is CONFIRMED on 2025-12-17",Already confirmed,"2025-12-17 (Price: 19.18), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 18.2131),5.31% above,"2025-04-07 (Price: 9.66), 2025-09-17 (Price: 23.5)",29.57%/0.97%/14.95%,"5.88%, 53.48%",1.5 year/6 days/5.5 months,2028-02-07/2025-12-25/2026-08-12,28.24%,-11.2%,39.44%,1.13,0.03,20.4152/22.0474/27.48/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.12/8.8875/No F-Stack Support/No F-Stack Support/No support/No support/16.6,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"AAPL, Long, 2025-12-17 (Price: 271.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-17 (Price: 271.84), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),60.58% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-05-22/2027-01-16/2027-03-22,12.11%,12.37%,-0.26%,1.91,0.56,390.1176/368.751/414.48/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/229.54,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"HDB, Long, 2025-12-17 (Price: 35.13)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-17 (Price: 35.13), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),1.64% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-02/2026-06-11/2027-12-15,8.78%,11.88%,-3.1%,0.83,0.59,40.7403/43.4804/43.37/39.3812/45.6752/50.9526/35.89,26.75/25.6925/29.7659/26.539/34.266/32.555/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"CVS, Long, 2025-12-17 (Price: 77.88)",No Exit Yet,"0.0%, 0 days","90.91%, Past 20 years, 11","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 74.14 prior to 2025-12-19,"2025-12-17 (Price: 77.88), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 75.3098),3.41% above,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-23/2026-03-18/2029-03-28,4.71%,3.7%,1.01%,0.98,0.17,78.8457/87.9577/102.83/106.045/119.2488/124.7126/No EMA 200 Target,75.63/58.425/74.001/62.2235/No support/No support/70.26,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TCS.NS, Long, 2025-12-17 (Price: 3217.8)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-17 (Price: 3217.8), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),14.55% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-10-25/2026-04-26/2026-12-12,7.28%,13.73%,-6.45%,0.82,0.62,3349.7298/3852.0284/5357.58/4543.575/No Next Fib Ext/No Next Fib Ext/3256.62,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"FPH.NZ, Long, 2025-12-17 (Price: 37.25)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-17 (Price: 37.25), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),6.57% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-05/2026-06-08/2030-09-02,4.68%,9.29%,-4.61%,0.75,0.49,46.4284/45.188/48.78/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.27,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"SUM.NZ, Long, 2025-12-17 (Price: 12.15)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-17 (Price: 12.15), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),13.13% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-10-25/2027-05-22/2027-07-13,11.55%,11.73%,-0.18%,0.86,0.59,12.4732/17.6102/15.39/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/No support/11.3772/11.41,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"META, Long, 2025-12-16 (Price: 657.15)",No Exit Yet,"-1.16%, 1 day","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-17 (Price: 649.5), 1.16% below",1 day,Upmove Bounce Back,23.66% (Price: 634.4653),2.37% above,"2022-12-20 (Price: 112.46), 2025-08-15 (Price: 796.25)",11.18%/3.89%/9.7%,"3.02%, 27.47%",4 months/11 days/2.4 months,2026-06-07/2025-12-31/2026-03-30,26.51%,13.27%,13.24%,0.96,0.62,694.0161/720.8936/1067.42/No Horizontal Resistance/842.484/1305.5879/671.07,589.15/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"NVDA, Long, 2025-12-16 (Price: 177.72)",No Exit Yet,"-3.81%, 1 day","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-17 (Price: 170.94), 3.81% below",1 day,Upmove Bounce Back,78.6% (Price: 174.3677),1.97% below,"2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",16.19%/10.04%/11.72%,"6.56%, 60.82%",1.4 year/5 days/2.5 months,2027-12-14/2025-12-23/2026-04-03,41.13%,44.79%,-3.66%,2.14,1.73,221.0304/198.5488/206.59/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/156.92,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"IFT.NZ, Long, 2025-12-15 (Price: 11.3)",No Exit Yet,"-3.54%, 2 days","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-17 (Price: 10.9), 3.54% below",2 days,Upmove Bounce Back,50% (Price: 11.435),4.68% below,"2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",14.62%/1.62%/8.47%,"0.96%, 12.64%",8.6 months/20 days/3.2 months,2026-12-23/2026-01-12/2026-05-03,20.51%,6.63%,13.88%,1.02,0.36,11.6254/12.2571/13.0/11.925/18.927/29.733/11.37,10.25/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
