"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"HDFCBANK.NS, Long, 2026-02-11 (Price: 927.1)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 905.0 prior to 2026-02-13,"2026-02-11 (Price: 927.1), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 891.107),4.04% above,"2024-02-18 (Price: 681.775), 2025-10-26 (Price: 1020.5)",22.05%/6.26%/16.28%,"4.97%, 33.13%",1.6 year/7 days/6.7 months,2028-05-25/2026-02-21/2026-11-29,12.4%,12.41%,-0.01%,1.46,0.67,998.6721/1078.0319/1130.34/1009.6/1299.7536/1565.406/976.92,916.1/640.9/762.8018/626.4465/No support/891.107/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),945.0
"C6L.SI, Long, 2026-02-11 (Price: 6.85)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-11 (Price: 6.85), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),9.8% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-10-28/2027-01-28/2028-04-03,7.09%,-1.77%,8.86%,0.77,-0.19,7.0528/8.5084/7.91/7.0067/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,No Data (Across ALL Assets),No Data (Across ALL Assets),6.35
"MA, Long, 2026-02-11 (Price: 539.46)",No Exit Yet,"0.0%, 0 days","88.89%, Past 19 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 518.27 prior to 2026-02-13,"2026-02-11 (Price: 539.46), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 506.7089),6.46% above,"2020-03-29 (Price: 199.99), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-05-25/2026-04-12/2026-11-16,14.25%,18.73%,-4.48%,1.65,0.96,585.7457/627.2841/780.53/592.9033/716.5814/751.3605/564.24,524.74/305.0867/515.4888/442.8637/524.8987/477.6582/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),543.71
"IFT.NZ, Long, 2026-02-11 (Price: 11.28)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-11 (Price: 11.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),6.84% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-05-25/2026-09-20/2027-09-07,8.62%,8.22%,0.4%,0.91,0.49,12.9776/13.6894/18.34/12.825/13.8771/15.9169/11.53,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),11.05
"NA.TO, Long, 2026-02-11 (Price: 173.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 160.83 prior to 2026-02-13,"2026-02-11 (Price: 173.41), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 160.7722),7.86% above,"2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-25/2026-06-21/2027-09-07,12.24%,6.18%,6.06%,3.57,0.32,184.1961/200.5833/215.93/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,162.25/82.9367/162.0277/152.3147/160.7722/150.4677/151.11,No Data (Across ALL Assets),No Data (Across ALL Assets),169.0
"GBPUSD=X, Long, 2026-02-10 (Price: 1.3683)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 14","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-10 (Price: 1.3683), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.3649),0.25% above,"2025-11-05 (Price: 1.3012), 2026-01-29 (Price: 1.3847)",8.02%/2.94%/5.14%,"0.27%, 9.35%",1.9 year/28 days/11.4 months,2028-10-27/2026-03-22/2027-06-20,5.3%,-0.1%,5.4%,0.92,-0.51,1.3795/1.4386/1.42/No Horizontal Resistance/2.4421/3.2078/No EMA 200 Target,1.35/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,No Data (Across ALL Assets),No Data (Across ALL Assets),1.3683
"EURUSD=X, Long, 2026-02-10 (Price: 1.1904)",No Exit Yet,"-0.19%, 1 day","83.33%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-11 (Price: 1.1881), 0.19% below",1 day,Upmove Bounce Back,23.66% (Price: 1.1589),2.52% above,"2025-01-13 (Price: 1.0184), 2026-01-28 (Price: 1.2024)",3.96%/1.06%/2.74%,"1.76%, 8.46%",1.7 year/1.9 month/7.8 months,2028-07-15/2026-05-03/2027-01-14,3.65%,-0.58%,4.23%,0.5,-0.67,1.1966/1.223/1.3/No Horizontal Resistance/1.6296/1.7649/No EMA 200 Target,1.18/1.0256/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.16,No Data (Across ALL Assets),No Data (Across ALL Assets),1.1905
"XLY, Long, 2026-02-10 (Price: 118.33)",No Exit Yet,"-0.48%, 1 day","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-11 (Price: 117.76), 0.48% below",1 day,Upmove Bounce Back,50% (Price: 117.7375),0.02% above,"2025-11-20 (Price: 110.465), 2026-01-12 (Price: 125.01)",12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-05-24/2026-03-12/2027-02-23,13.85%,5.91%,7.94%,1.09,0.3,121.2409/127.5361/127.06/121.1117/125.4815/133.9156/No EMA 200 Target,117.51/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/114.71,No Data (Across ALL Assets),No Data (Across ALL Assets),117.76
"^GSPC, Long, 2026-02-09 (Price: 6964.8198)",No Exit Yet,"-0.34%, 2 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 6941.0601), 0.34% below",2 days,Upmove Bounce Back,23.66% (Price: 6888.6266),0.76% above,"2025-11-21 (Price: 6521.9199), 2026-01-28 (Price: 7002.2798)",11.26%/10.04%/10.39%,"-0.0%, 25.43%",2.4 years/1.6 month/9.4 months,2029-07-14/2026-04-19/2027-03-24,26.29%,9.14%,17.15%,3.87,0.62,7234.3583/7688.4646/7253.04/No Horizontal Resistance/8586.4727/11677.179/No EMA 200 Target,6798.4/4128.7074/6676.3264/5495.7663/No F-Track Level/No F-Track Level/6491.82,No Data (Across ALL Assets),No Data (Across ALL Assets),6917.2598
"GS, Long, 2026-02-09 (Price: 943.62)",No Exit Yet,"0.29%, 2 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 946.355), 0.29% above",2 days,Upmove Bounce Back,23.66% (Price: 855.6773),10.6% above,"2025-04-07 (Price: 439.38), 2026-01-16 (Price: 984.7)",13.91%/5.18%/10.25%,"-0.0%, 33.99%",2.6 years/27 days/7.4 months,2029-10-26/2026-03-20/2026-12-27,26.0%,18.81%,7.19%,2.7,1.04,1009.9565/1040.341/1270.81/No Horizontal Resistance/1236.8362/1411.087/No EMA 200 Target,890.41/288.555/931.1482/794.5775/No F-Track Level/No F-Track Level/763.4,No Data (Across ALL Assets),No Data (Across ALL Assets),929.0
