Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",Weekly,2026-01-25 (Price: 150.15),No Price Target,No Date Target,3.12%/3.33%,"1.99%, 1.3 month","2026-01-28 (Price: 147.34), 1.99% above",152.5642 (Historic Rise or Fall to Pivot)/151.943 (Avg % Gain of Historic Winning trades)/152.25 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.18 (EMA 200)/158.3859 (Backtested Max),2026-10-12 (Max)/2026-03-13 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",143.27,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,6.41%,4.09%,2.32%,2.17,0.17,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",Daily,2026-01-27 (Price: 148.34),No Price Target,2026-01-28 (Min),1.76%/2.88%,"0.23%, 8 days","2026-01-28 (Price: 147.34), 0.23% above",149.94 (Avg % Gain of Historic Winning trades)/153.59 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.63 (EMA 200)/151.5864 (Backtested Max),2026-06-12 (Max)/2026-03-13 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",144.46,No Information,No Information,No Information,No Information,No Information,1.94% above/0.23% above/0.23% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-10-02 (Price: 152.05)",Daily,2026-01-28 (Price: 147.34) (Today),No Price Target,No Date Target,4.06%/4.64%,"-3.1%, 3.9 months","2026-01-28 (Price: 147.34), 3.1% below",155.6384 (Historic Rise or Fall to Pivot)/162.6023 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.18 (EMA 200)/175.5873 (Backtested Max)/153.3272 (Backtested Min),2026-05-20 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",152.72,"-3.12, 82.15%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-08-01 (Price: 150.65)",Daily,2026-01-28 (Price: 147.34) (Today),No Price Target,No Date Target,9.34%/18.07%,"-2.2%, 6 months","2026-01-28 (Price: 147.34), 2.2% below",161.1051 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/173.9706 (Backtested Max),2026-03-19 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",151.78,"-3.85, 85.0%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-12-12 (Price: 499.52)",Daily,No Exit Yet,No Price Target,2026-01-28 (Min),9.45%/11.04%,"-5.21%, 1.6 month","2026-01-28 (Price: 473.49), 5.21% below",518.252 (Historic Rise or Fall to Pivot)/540.5805 (Avg % Gain of Historic Winning trades)/525.74 (Function Specific Target)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/561.0609 (Backtested Max),2027-12-10 (Max)/2026-06-21 (Avg),490.43/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/495.2,"87.5%, Past 5 years, 16",496.71,No Information,No Information,No Information,"38.2% (Price: 500.1566), 5.33% below, Upmove Bounce Back","2025-11-03 (Price: 473.15), 2025-11-28 (Price: 516.85)",No Information,12.32%/0.4%/8.22%,"1.62%, 25.23%",1.4 year/1.1 month/4.4 months,18.11%,11.63%,6.48%,1.04,0.83,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),3.56%/4.38%,"-2.06%, 2 days","2026-01-28 (Price: 473.49), 2.06% below",501.8902 (Historic Rise or Fall to Pivot)/494.2514 (Avg % Gain of Historic Winning trades)/498.07 (Function Specific Target)/512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/495.2 (EMA 200)/501.8419 (Backtested Max)/490.3353 (Backtested Min),2026-03-27 (Max)/2026-02-10 (Avg),478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 4 years, 12",478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,4.18%,10.92%,-6.74%,0.08,0.77,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2026-01-09 (Price: 499.1)",Daily,No Exit Yet,No Price Target,2026-01-26 (Avg),5.94%/6.15%,"-5.13%, 19 days","2026-01-28 (Price: 473.49), 5.13% below",528.3473 (Historic Rise or Fall to Pivot)/513.8734 (Avg % Gain of Historic Winning trades)/501.6 (Function Specific Target)/512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/524.1548 (Backtested Max)/502.5937 (Backtested Min),2026-03-15 (Max),496.12/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/497.22,"100.0%, Past 4 years, 19",498.94,No Information,No Information,No Information,No Information,No Information,5.13% below/5.13% below/5.13% below,5.02%/0.7%/2.96%,"0%, 7.4%",1.5 month/6 days/12 days,14.99%,9.63%,5.36%,2.13,0.58,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,3.07%/4.63%,"11.86%, 9.9 months","2026-01-28 (Price: 38.68), 11.86% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max)/39.8673 (Backtested Min),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 20.27% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-31 (Price: 36.5)",Monthly,No Exit Yet,38.8663 (Horizontal),No Date Target,5.82%/13.84%,"5.97%, 8.1 months","2026-01-28 (Price: 38.68), 5.97% above",45.4936 (Historic Rise or Fall to Pivot)/44.2782 (Avg % Gain of Historic Winning trades)/55.32 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.7965 (Backtested Max)/44.0336 (Backtested Min),2034-07-20 (Max)/2030-02-14 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 24 years, 7",33.05,No Information,No Information,No Information,"23.66% (Price: 32.0779), 20.58% above, Upmove Bounce Back","2016-11-30 (Price: 8.13), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
BAND MATRIX,"FPH.NZ, Long, 2025-02-23 (Price: 35.1)",Weekly,No Exit Yet,39.0375 (Horizontal),No Date Target,5.82%/11.66%,"10.2%, 11.3 months","2026-01-28 (Price: 38.68), 10.2% above",50.6669 (Avg % Gain of Historic Winning trades)/43.19 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/61.3337 (Backtested Max)/44.3278 (Backtested Min),2030-07-28 (Max)/2026-09-19 (Min)/2028-02-23 (Avg),23.8/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",35.9,No Information,No Information,No Information,No Information,No Information,No Information,74.74%/26.29%/44.35%,"-0.0%, 48.79%",3.8 years/1.1 year/2.1 years,13.14%,12.4%,0.74%,1.4,0.68,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
