"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WPM.TO, Long, 2025-12-22 (Price: 168.04)",No Exit Yet,"0.0%, 0 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-22 (Price: 168.04), 0.0% below",0 days,"2, 2025-10-31 (Price: 135.45)",2025-12-18 (Price: 159.04),2025-12-22 (Price: 168.04),4/0/0 days,5.66% above/0.0% below/0.0% below,2025-10-31 (Price: 151.5415)/2025-12-22 (Price: 158.4646),9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-07-01/2025-12-30/2026-02-03,12.04%,18.03%,-5.99%,0.06,0.87,180.8951/176.5092/187.59/No Horizontal Resistance/177.4321/184.9838/No EMA 200 Target,145.49/52.782/150.6362/140.1747/142.2388/125.0802/130.56,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"TRI.TO, Long, 2025-12-22 (Price: 182.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-22 (Price: 182.89), 0.0% below",0 days,"4, 2025-07-02 (Price: 269.9)",2025-12-19 (Price: 182.02),2025-12-22 (Price: 182.89),3/0/0 days,0.48% above/0.0% below/0.0% below,2025-07-02 (Price: 303.0042)/2025-12-22 (Price: 180.1944),7.54%/0.59%/3.7%,"0%, 12.09%",5.6 months/6 days/1.6 month,2026-08-22/2025-12-30/2026-03-01,14.91%,7.98%,6.93%,1.41,0.45,195.4911/189.6569/235.1/240.8933/308.8111/326.8654/239.03,178.26/116.89/175.5204/No support/No support/No support/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"GLD, Long, 2025-12-22 (Price: 408.23)",No Exit Yet,"0.0%, 0 days","85.19%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 406.98 prior to 2025-12-26,"2025-12-22 (Price: 408.23), 0.0% below",0 days,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-22 (Price: 408.23),1/0/0 days,2.31% above/0.0% below/0.0% below,2024-08-11 (Price: 229.74)/2025-12-22 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-23/2026-01-31/2026-05-14,4.9%,5.02%,-0.12%,1.33,0.26,434.9282/432.8463/518.43/No Horizontal Resistance/408.5544/581.2346/No EMA 200 Target,236.59/150.8/288.3021/225.9189/347.489/309.9831/328.08,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-22 (Price: 303.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-22 (Price: 303.84), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-22 (Price: 303.84),2025-11-21 (Price: 270.83),0/31/0 days,0.0% below/12.19% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-22 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-07/2027-10-30/2028-09-07,16.0%,8.74%,7.26%,0.66,0.45,405.4441/448.9236/467.73/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/242.99,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-12-22 (Price: 1575.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 24","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1573.5 prior to 2025-12-26,"2025-12-22 (Price: 1575.4), 0.0% below",0 days,"0, 2021-09-05 (Price: 1102.2924)",2025-12-21 (Price: 1565.1),2025-12-22 (Price: 1575.4),1/0/0 days,0.66% above/0.0% below/0.0% below,2021-09-05 (Price: 1440.3064)/2025-12-22 (Price: 1564.2171),22.06%/2.38%/9.6%,"0%, 35.61%",1.4 year/1.2 month/4.5 months,2027-12-20/2026-02-12/2026-07-05,15.14%,8.98%,6.16%,1.75,0.48,1689.774/1726.6384/1859.26/No Horizontal Resistance/1617.1679/1804.6011/No EMA 200 Target,1357.2/1025.8126/1324.16/1138.1652/No support/No support/1412.67,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"^NSEI, Long, 2025-12-22 (Price: 26172.4004)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 26107.0735 prior to 2025-12-26,"2025-12-22 (Price: 26172.4004), 0.0% below",0 days,"0, 2021-09-05 (Price: 17323.5996)",2025-12-21 (Price: 25966.4004),2025-12-22 (Price: 26172.4004),1/0/0 days,0.79% above/0.0% below/0.0% below,2021-09-05 (Price: 23206.6463)/2025-12-22 (Price: 25977.1875),8.4%/1.59%/4.23%,"-0.0%, 12.99%",8.6 months/1.2 month/3.3 months,2026-12-30/2026-02-12/2026-05-14,8.66%,7.17%,1.49%,1.5,0.46,27876.2237/27279.4929/31481.68/No Horizontal Resistance/31657.0022/45908.3871/No EMA 200 Target,24363.3/15428.8669/22849.1349/17405.6173/25241.664/24575.4193/24821.54,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"GS, Long, 2025-12-22 (Price: 899.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 896.52 prior to 2025-12-26,"2025-12-22 (Price: 899.0), 0.0% below",0 days,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-22 (Price: 899.0),8/0/0 days,1.24% above/0.0% below/0.0% below,2024-08-11 (Price: 536.6316)/2025-12-22 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-12/2026-02-20/2026-09-13,9.45%,7.78%,1.67%,2.03,0.4,921.7447/977.5726/1144.24/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,470.81/288.555/818.1554/728.9736/732.6/617.9885/695.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MAR, Long, 2025-12-22 (Price: 313.75)",No Exit Yet,"0.0%, 0 days","81.48%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 310.735 prior to 2025-12-26,"2025-12-22 (Price: 313.75), 0.0% below",0 days,"2, 2025-05-18 (Price: 273.23)",2025-12-21 (Price: 310.16),2025-12-22 (Price: 313.75),1/0/0 days,1.16% above/0.0% below/0.0% below,2025-05-18 (Price: 276.02)/2025-12-22 (Price: 306.94),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-03-31/2026-01-31/2026-04-09,11.8%,10.04%,1.76%,0.46,0.51,360.185/337.595/338.06/No Horizontal Resistance/313.5051/355.3234/No EMA 200 Target,260.2/129.12/297.0775/283.8827/271.7733/244.963/265.18,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-22 (Price: 3.71)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-22 (Price: 3.71), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),52/24/0 days,13.8% above/10.75% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-22 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-13/2026-07-27/2026-08-09,5.5%,0.69%,4.81%,1.23,0.0,4.3348/4.4846/5.85/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.22,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-22 (Price: 68.55)",No Exit Yet,"0.0%, 0 days","90.91%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 68.29 prior to 2025-12-26,"2025-12-22 (Price: 68.55), 0.0% below",0 days,"4, 2024-06-16 (Price: 69.0)",2025-12-21 (Price: 68.26),2025-12-22 (Price: 68.55),1/0/0 days,0.42% above/0.0% below/0.0% below,2024-06-16 (Price: 78.9982)/2025-12-22 (Price: 66.4602),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-09-08/2026-01-31/2026-07-01,9.15%,10.41%,-1.26%,1.17,0.61,73.8215/72.567/68.82/85.45/101.7951/111.6887/No EMA 200 Target,58.66/55.185/65.1894/42.5658/No support/No support/63.83,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
