Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BAND MATRIX,"INDA, Long, 2026-02-06 (Price: 53.145)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Weekly, is CONFIRMED on 2026-02-06",No Cancellation Possible,"2026-02-06 (Price: 53.145), 0.0% below",0 days,51.72,No Information,No Information,No Information,No Information,No Information,No Information,76.73%/12.39%/34.5%,"0%, 39.17%",5.2 years/6.8 months/2.3 years,2033-07-10/2026-11-28/2029-05-18,11.49%,3.68%,7.81%,1.13,0.14,52.6189/71.48/62.05/55.3975/60.4014/73.8934/53.69,51.24/39.06/52.5567/48.6731/No support/No support/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
FRACTAL TRACK,"META, Long, 2026-02-06 (Price: 670.21)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 6","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 670.21), 0.0% below",0 days,714.37,No Information,No Information,No Information,"23.66% (Price: 613.221), 9.29% above, Upmove Bounce Back","2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",No Information,20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-05/2026-03-08/2027-03-04,19.03%,15.86%,3.17%,8.93,0.74,833.3391/785.6872/1134.36/No Horizontal Resistance/875.5866/915.851/684.01,620.25/276.89/627.6205/591.2141/628.6993/525.7329/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-02-06 (Price: 323.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-05 (Price: 323.48), 0.0% below",0 days,319.0,No Information,No Information,No Information,No Information,No Information,2.69% above/0.0% below/0.0% below,10.85%/1.47%/4.93%,"-0.0%, 16.82%",10.3 months/1.2 month/4.3 months,2027-04-29/2026-03-30/2026-08-11,7.74%,6.97%,0.77%,1.29,0.42,345.0561/339.4276/324.79/No Horizontal Resistance/322.837/371.0748/No EMA 200 Target,303.26/228.4467/306.2751/267.8324/308.0602/295.7695/306.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"ETH-USD, Long, 2026-02-06 (Price: 1978.0664)",No Exit Yet,"0.0%, 0 days","86.67%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 1978.0664), 0.0% below",0 days,1823.203,No Information,No Information,No Information,No Information,No Information,No Information,18.77%/4.94%/11.2%,"24.06%, 28.71%",1.1 month/1 day/9 days,2026-03-25/2026-02-07/2026-02-19,24.3%,11.69%,12.61%,0.56,0.5,2100.5087/2199.6098/2150.06/4922.7188/5483.4169/7318.9774/3637.89,1821.68/1370.4997/No F-Stack Support/No F-Stack Support/1764.4405/1358.6781/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"^BVSP, Long, 2026-02-05 (Price: 182127.0)",No Exit Yet,"-0.04%, 1 day","81.25%, Past 6 years, 16","Daily, is Confirmed on 2026-02-05",No Cancellation Possible,"2026-02-06 (Price: 182050.7344), 0.04% below",1 day,181709.0,No Information,No Information,No Information,No Information,No Information,No Information,22.07%/5.37%/9.84%,"11.51%, 14.48%",9.9 months/1 day/3.2 months,2027-04-11/2026-02-06/2026-06-24,14.92%,3.63%,11.29%,0.59,0.16,192307.8993/200048.2968/264084.15/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,No Recent Minima/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/146782.08,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"GS, Long, 2026-02-05 (Price: 890.41)",No Exit Yet,"0.0%, 0 days","77.78%, Past 5 years, 9","Daily, is CONFIRMED on 2026-02-05",No Cancellation Possible,"2026-02-05 (Price: 890.41), 0.0% below",0 days,901.67,No Information,No Information,No Information,No Information,No Information,No Information,37.38%/0.34%/16.87%,"10.1%, 31.34%",9.6 months/1.2 month/3.3 months,2027-03-29/2026-03-29/2026-06-28,20.53%,16.43%,4.1%,0.73,0.9,968.677/1040.6222/1004.65/No Horizontal Resistance/1261.1009/1964.4733/No EMA 200 Target,879.0/288.555/858.2074/794.5775/No F-Track Level/No F-Track Level/753.07,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2026-02-05 (Price: 116.55)",No Exit Yet,"0.0%, 0 days","84.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-05 (Price: 116.55), 0.0% below",0 days,116.0,No Information,No Information,No Information,No Information,No Information,0.16% below/0.0% below/0.0% below,12.72%/0.81%/3.61%,"11.68%, 27.88%",4.4 months/6 days/19 days,2026-08-15/2026-02-13/2026-03-04,3.68%,1.44%,2.24%,0.17,0.08,118.8693/120.7575/126.19/221.2667/228.7501/295.6013/No EMA 200 Target,103.7/107.93/112.825/No support/No F-Track Level/No F-Track Level/95.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NKE, Long, 2026-02-04 (Price: 64.22)",No Exit Yet,"-2.37%, 1 day","73.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-05 (Price: 62.7), 2.37% below",1 day,61.72,No Information,No Information,No Information,No Information,No Information,2.37% below/2.37% below/2.37% below,6.0%/1.77%/4.38%,"12.57%, 30.95%",28 days/7 days/15 days,2026-03-16/2026-02-14/2026-02-25,-4.3%,-5.3%,1.0%,-0.15,-0.16,65.3117/67.0328/70.58/176.74/171.1647/206.9588/66.97,61.81/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"AIA.NZ, Long, 2026-02-03 (Price: 8.28)",No Exit Yet,"1.45%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-05 (Price: 8.4), 1.45% above",2 days,8.36,No Information,No Information,No Information,"23.66% (Price: 8.3078), 1.11% above, Upmove Bounce Back","2025-07-16 (Price: 7.365), 2026-01-12 (Price: 8.6)",No Information,12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2027-12-12/2026-05-26/2027-02-03,14.01%,-0.21%,14.22%,1.2,-0.11,8.5143/8.8662/9.02/8.8962/11.1706/12.8535/No EMA 200 Target,8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.9,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"^NZ50, Long, 2026-02-03 (Price: 13421.5195)",No Exit Yet,"0.17%, 2 days","100.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-05 (Price: 13444.0195), 0.17% above",2 days,13412.4404,No Information,No Information,No Information,"23.66% (Price: 13033.3071), 3.15% above, Upmove Bounce Back","2023-10-30 (Price: 10695.9902), 2026-01-14 (Price: 13757.71)",No Information,10.49%/1.11%/5.43%,"-0.0%, 19.48%",4.1 years/7.1 months/1.6 year,2031-12-10/2026-12-08/2028-05-17,1.64%,0.55%,1.09%,0.94,-0.28,13667.1333/14150.308/15258.55/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13339.77/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13070.47,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
