Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"JNK, Long, 2025-12-05 (Price: 97.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 97.29), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 96.3874), 0.94% above, Upmove Bounce Back","2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",No Information,6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year/1.3 year/1.3 year,2027-10-08/2027-10-08/2027-10-08,3.41%,-2.09%,5.5%,0.2,-0.45,97.3386/103.4095/101.99/108.635/169.7114/218.5371/No Moving Avg Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/99.6721/100.7612/96.31,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2025-12-05 (Price: 64.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 31","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 64.5), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 57.8675), 11.46% above, Upmove Bounce Back","2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",No Information,264.61%/8.43%/69.0%,"-0.0%, 53.27%",5.1 years/2.0 month/2.0 years,2033-04-05/2026-02-28/2028-11-05,6.02%,12.31%,-6.29%,0.53,0.43,68.5506/109.005/88.82/No Horizontal Resistance/77.1458/95.5947/No Moving Avg Target,61.05/13.0762/52.397/46.0224/59.0818/50.3135/56.96,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"COIN, Long, 2025-12-05 (Price: 269.73)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 4","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 269.73), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 228.1976), 18.2% above, Upmove Bounce Back","2023-01-08 (Price: 31.55), 2024-12-08 (Price: 349.75)",No Information,22.41%/22.41%/22.41%,"-0.0%, 30.3%",3.3 months/3.3 months/3.3 months,2026-04-27/2026-04-27/2026-04-27,68.35%,0.11%,68.24%,0.51,0.47,262.2315/330.1765/460.65/289.6467/484.6953/510.6138/281.98,240.41/86.505/No F-Stack Support/No F-Stack Support/257.9707/207.223/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-05 (Price: 311.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 311.23), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,10.85%/0.38%/4.61%,"-0.0%, 16.82%",7.3 months/19 days/2.2 months,2026-10-18/2026-01-01/2026-03-10,16.19%,9.08%,7.1%,1.39,0.37,323.5547/325.5777/325.49/321.3575/322.837/371.0748/No Moving Avg Target,297.01/228.4467/306.2751/267.8324/306.7319/294.6942/305.89,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-12-05 (Price: 250.77)",No Exit Yet,"0.0%, 0 days","97.56%, Past 20 years, 41","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 250.77), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 233.5959), 7.35% above, Upmove Bounce Back","2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",No Information,108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years/1.8 month/2.2 years,2033-05-04/2026-02-21/2029-01-13,5.07%,6.62%,-1.55%,0.38,0.22,253.2025/352.2566/299.39/No Horizontal Resistance/270.9222/282.5179/No Moving Avg Target,235.6/162.3167/245.3626/196.8345/233.5959/221.8127/221.03,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-12-05 (Price: 11.78)",No Exit Yet,"0.0%, 0 days","97.3%, Past 10 years, 37","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 11.78), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,32.14%/0.49%/5.58%,"5.74%, 24.36%",9.3 months/19 days/3.0 months,2027-01-13/2026-01-01/2026-04-15,12.37%,13.18%,-0.81%,0.92,0.59,12.2877/12.4373/14.34/11.925/13.8771/15.9169/No Moving Avg Target,11.55/7.3167/11.3804/9.6206/14.3361/14.9482/11.34,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",No Exit Yet,"0.0%, 0 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 3238.2), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.28% above/0.0% below/0.0% below,13.38%/0.84%/4.51%,"12.98%, 25.8%",3.1 months/5 days/15 days,2026-04-18/2025-12-12/2025-12-26,36.95%,5.27%,31.68%,0.86,0.17,3330.4887/3384.2428/3396.9/4543.575/No Next Fib Ext/No Next Fib Ext/3279.96,2990.2/2923.4601/No F-Stack Support/No F-Stack Support/4955.7149/5179.0784/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WMT, Long, 2025-12-05 (Price: 115.11)",No Exit Yet,"0.0%, 0 days","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 115.11), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.61% above/0.0% below/0.0% below,12.24%/0.97%/3.78%,"14.39%, 26.01%",1.8 month/4 days/19 days,2026-02-22/2025-12-10/2026-01-01,43.52%,16.53%,26.99%,0.61,0.68,117.8496/119.4612/122.3/No Horizontal Resistance/137.8139/No Next Fib Ext/No Moving Avg Target,100.61/42.3916/85.5556/53.2582/107.6436/102.3423/98.23,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"BN.TO, Long, 2025-12-05 (Price: 64.54)",No Exit Yet,"0.0%, 0 days","96.3%, Past 1 years, 27","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 64.54), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 58.0258), 11.23% above, Upmove Bounce Back","2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",No Information,150.14%/4.17%/65.27%,"0.94%, 36.57%",3.8 years/3.6 months/1.8 year,2031-04-26/2026-05-11/2028-07-02,6.26%,12.66%,-6.4%,0.77,0.46,66.0244/106.6653/80.82/No Horizontal Resistance/69.5978/79.2394/No Moving Avg Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.33,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-12-05 (Price: 545.52)",No Exit Yet,"0.0%, 0 days","93.33%, Past 19 years, 30","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 545.52), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 535.7184), 1.83% above, Upmove Bounce Back","2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",No Information,183.03%/7.86%/74.84%,"10.74%, 37.99%",3.8 years/1.6 month/1.7 year,2031-05-10/2026-02-13/2028-05-09,8.62%,27.38%,-18.77%,0.51,0.97,569.5774/953.7872/649.27/592.9033/716.5814/751.3605/559.74,540.4/306.91/515.4888/442.8637/524.8987/477.6582/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
