"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ETH-USD, Long, 2025-12-10 (Price: 3350.5095)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-10 (Price: 3350.5095), 0.0% below",0 days,"4, 2025-09-29 (Price: 4217.3418)",2025-12-09 (Price: 3321.115),2025-12-10 (Price: 3350.5095),1/0/0 days,0.89% above/0.0% below/0.0% below,2025-09-29 (Price: 4957.0403)/2025-12-10 (Price: 3140.6592),39.76%/1.01%/13.37%,"17.31%, 42.86%",3 days/5 days/23 days,2026-04-19/2025-12-17/2026-01-12,60.18%,45.2%,14.98%,0.97,1.15,4083.936/3798.4726/3870.61/4922.7188/5483.4169/7318.9774/3551.12,2800.19/1370.4997/No F-Stack Support/No F-Stack Support/No support/2924.9209/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"ABNB, Long, 2025-12-10 (Price: 127.57)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-10 (Price: 127.57), 0.0% below",0 days,"0, 2024-02-26 (Price: 149.27)",2025-12-09 (Price: 125.39),2025-12-10 (Price: 127.57),1/0/0 days,1.74% above/0.0% below/0.0% below,2024-02-26 (Price: 192.9862)/2025-12-10 (Price: 124.1457),13.07%/1.63%/7.15%,"39.55%, 57.01%",3 days/6 days/26 days,2026-04-28/2025-12-18/2026-01-16,10.28%,-2.98%,13.26%,0.22,0.05,126.8939/136.6913/140.59/178.025/223.0579/259.5851/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No support/No support/126.77,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"MX.TO, Long, 2025-12-10 (Price: 54.01)",No Exit Yet,"0.0%, 0 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-10 (Price: 54.01), 0.0% below",0 days,"2, 2025-09-16 (Price: 54.14)",2025-12-09 (Price: 54.14),2025-12-10 (Price: 54.01),1/0/0 days,0.24% below/0.0% below/0.0% below,2025-09-16 (Price: 58.0859)/2025-12-10 (Price: 53.1714),8.52%/0.48%/4.54%,"6.93%, 41.4%",3 days/6 days/1 day,2026-05-15/2025-12-18/2026-01-26,15.61%,-0.38%,15.99%,1.09,0.16,60.0537/56.4621/54.09/73.435/118.0011/153.5474/No EMA 200 Target,48.06/38.425/47.9234/44.2912/No support/No support/48.98,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"GOOG, Long, 2025-12-10 (Price: 321.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 317.475 prior to 2025-12-31,"2025-12-10 (Price: 321.0), 0.0% below",0 days,"2, 2023-12-31 (Price: 140.93)",2025-10-31 (Price: 281.82),2025-12-09 (Price: 317.75),40/1/0 days,13.9% above/1.02% above/0.0% below,2023-12-31 (Price: 155.9446)/2025-12-10 (Price: 253.446),63.04%/12.61%/46.43%,"-0.0%, 18.92%",10 days/5 days/6 days,2027-02-26/2026-07-19/2026-09-05,13.15%,17.12%,-3.97%,1.16,0.87,391.5558/470.0403/429.04/No Horizontal Resistance/330.6546/480.687/No EMA 200 Target,156.23/84.51/306.4481/243.1061/270.6509/234.996/208.56,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"QQQ, Long, 2025-12-10 (Price: 627.61)",No Exit Yet,"0.0%, 0 days","88.24%, Past 10 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 627.21 prior to 2025-12-12,"2025-12-10 (Price: 627.61), 0.0% below",0 days,"6, 2024-07-28 (Price: 462.97)",2025-11-30 (Price: 619.25),2025-12-10 (Price: 627.61),10/0/0 days,1.35% above/0.0% below/0.0% below,2024-07-28 (Price: 496.5412)/2025-12-10 (Price: 610.2629),12.07%/1.74%/6.6%,"10.15%, 35.46%",4 days/1 day/2 days,2026-06-10/2026-01-31/2026-03-19,8.62%,11.98%,-3.36%,0.65,0.79,712.8394/669.0323/726.39/No Horizontal Resistance/765.0054/903.4157/No EMA 200 Target,422.67/256.995/578.1694/464.7077/546.4514/490.7995/548.89,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-10 (Price: 316.33)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-10 (Price: 316.33), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-10 (Price: 316.33),2025-11-21 (Price: 270.83),0/19/0 days,0.0% below/16.8% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-10 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3 days/1 day/1 day,2030-08-26/2027-10-18/2028-08-26,16.0%,8.74%,7.26%,0.66,0.45,422.1108/467.3776/487.71/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/239.27,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"^NDX, Long, 2025-12-10 (Price: 25776.4375)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 25758.8203 prior to 2025-12-12,"2025-12-10 (Price: 25776.4375), 0.0% below",0 days,"6, 2024-07-28 (Price: 19023.6602)",2025-11-30 (Price: 25434.8906),2025-12-10 (Price: 25776.4375),10/0/0 days,1.34% above/0.0% below/0.0% below,2024-07-28 (Price: 20388.6648)/2025-12-10 (Price: 25081.9314),3.95%/1.69%/2.62%,"-0.0%, 35.49%",4 days/1 day/2 days,2026-06-19/2026-01-31/2026-04-15,3.75%,13.42%,-9.67%,0.85,0.8,27802.4655/26451.7802/29828.1/No Horizontal Resistance/31284.5255/34778.0694/No EMA 200 Target,17397.7/10555.915/22960.0831/19028.9478/22457.6702/20168.8619/22553.78,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"CSCO, Long, 2025-12-10 (Price: 80.25)",No Exit Yet,"0.0%, 0 days","94.74%, Past 10 years, 19","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 78.21 prior to 2025-12-12,"2025-12-10 (Price: 80.25), 0.0% below",0 days,"6, 2024-07-28 (Price: 47.88)",2025-12-07 (Price: 77.97),2025-12-08 (Price: 78.86),3/2/0 days,2.92% above/1.76% above/0.0% below,2024-07-28 (Price: 55.7553)/2025-12-10 (Price: 77.5632),14.42%/0.74%/6.58%,"16.99%, 36.88%",8 days/28 days/2 days,2026-12-18/2026-01-19/2026-04-10,7.98%,6.55%,1.43%,0.74,0.34,87.946/85.5305/99.67/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,66.2/40.92/73.1467/64.9561/69.36/62.3205/66.59,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"INFY, Long, 2025-12-10 (Price: 18.07)",No Exit Yet,"0.0%, 0 days","85.71%, Past 10 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 18.06 prior to 2025-12-12,"2025-12-10 (Price: 18.07), 0.0% below",0 days,"0, 2021-08-22 (Price: 23.88)",2025-11-30 (Price: 17.48),2025-12-10 (Price: 18.07),10/0/0 days,3.38% above/0.0% below/0.0% below,2021-08-22 (Price: 38.9991)/2025-12-10 (Price: 16.8991),13.75%/4.91%/9.22%,"22.12%, 43.24%",1 day/1 day/2 days,2027-05-15/2026-02-08/2026-04-15,6.33%,3.02%,3.31%,0.38,0.15,19.7505/19.7361/21.56/23.796/25.6134/28.2828/No EMA 200 Target,16.23/16.0317/17.6922/16.4829/No support/16.6189/17.58,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"VGT, Long, 2025-12-10 (Price: 779.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 772.16 prior to 2025-12-12,"2025-12-10 (Price: 779.16), 0.0% below",0 days,"6, 2024-07-28 (Price: 561.56)",2025-12-07 (Price: 767.97),2025-12-08 (Price: 774.68),3/2/0 days,1.46% above/0.58% above/0.0% below,2024-07-28 (Price: 599.2948)/2025-12-10 (Price: 745.4922),12.53%/2.97%/5.81%,"-0.0%, 12.72%",4 days/28 days/2 days,2026-06-19/2026-01-19/2026-03-15,9.27%,12.34%,-3.07%,1.8,0.78,844.1419/824.4292/909.72/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,718.89/311.83/671.1312/639.8848/685.0535/610.1187/662.45,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
