"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GBPSGD=X, Long, 2026-02-23 (Price: 1.7075)",No Exit Yet,"0.0%, 0 days","71.43%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-02-23 (Price: 1.7075), 0.0% below",0 days,2.71%/0.41%/0.84%,"2.69%, 2.78%",1.9 month/1 day/14 days,2026-05-16/2026-02-24/2026-03-15,3.25%,-0.71%,3.96%,0.01,-0.92,1.7258/1.7218/1.72/1.8577/4.0285/5.5304/1.73,No support/1.6858/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),1.7066
"UBER, Long, 2026-02-23 (Price: 70.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < nan or > 74.9215 prior to 2026-02-27,"2026-02-23 (Price: 70.72), 0.0% below",0 days,32.55%/10.16%/16.89%,"0%, 19.43%",4.4 months/21 days/2 months,2026-09-02/2026-03-25/2026-05-20,15.68%,6.33%,9.35%,1.66,0.38,82.7424/82.6646/82.7/82.12/103.1697/130.9341/88.75,69.99/34.6025/No F-Stack Support/No F-Stack Support/70.6297/60.9425/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),72.99
"TRI.TO, Long, 2026-02-23 (Price: 110.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < nan or > 157.1107 prior to 2026-02-27,"2026-02-23 (Price: 110.84), 0.0% below",0 days,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2028-02-21/2026-03-15/2026-10-24,5.14%,6.08%,-0.94%,1.52,0.34,115.9386/117.6788/116.81/240.8933/308.8111/326.8654/219.81,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),113.04
"NFLX, Long, 2026-02-22 (Price: 78.67)",No Exit Yet,"-3.37%, 1 day","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 76.02), 3.37% below",1 day,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-08-01/2026-03-24/2026-05-28,0.19%,16.07%,-15.88%,-0.03,0.7,90.738/91.3595/91.05/82.231/139.352/152.4292/110.71,76.87/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),76.92
"KXS.TO, Long, 2026-02-22 (Price: 124.2)",No Exit Yet,"-4.12%, 1 day","100.0%, Past 11 years, 4","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 119.08), 4.12% below",1 day,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,2026-07-24/2026-05-15/2026-06-19,12.67%,15.77%,-3.1%,14.45,0.74,147.6862/139.3151/143.5/209.885/245.9157/289.1348/180.59,123.77/No Horizontal Support/118.5983/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),122.9
"SUM.NZ, Long, 2026-02-19 (Price: 10.51)",No Exit Yet,"-1.9%, 4 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 10.31), 1.9% below",4 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-05-16/2026-02-20/2026-03-18,5.72%,-0.28%,6.0%,0.18,-0.09,10.6456/10.9062/10.78/12.55/19.8479/26.5969/11.5,10.42/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),10.41
"ORCL, Long, 2026-02-15 (Price: 160.14)",No Exit Yet,"-11.76%, 8 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-23 (Price: 141.31), 11.76% below",8 days,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,2026-03-17/2026-02-25/2026-03-10,5.26%,6.77%,-1.51%,0.27,0.34,214.1232/179.6771/196.9/No Horizontal Resistance/300.069/376.1425/220.71,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),148.49
"CNU.NZ, Long, 2026-02-13 (Price: 9.13)",2026-02-19 (Price: 9.51),"4.16%, 6 days","81.25%, Past 4 years, 16","Daily, was CONFIRMED on 2026-02-13",Already confirmed,"2026-02-23 (Price: 9.69), 6.13% above",10 days,4.77%/1.66%/2.83%,"8.37%, 8.37%",1.4 month/2 days/12 days,2026-04-14/2026-02-15/2026-03-02,5.82%,1.9%,3.92%,0.19,0.03,9.4103/9.3884/9.4/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.1,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),9.13
"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",2026-02-19 (Price: 8.028),"1.11%, 8 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-23 (Price: 8.249), 3.89% above",12 days,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,2026-03-22/2026-02-12/2026-03-03,10.19%,8.7%,1.49%,0.56,0.47,8.4688/8.2385/8.35/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,7.7/2.942/6.3611/No support/No F-Track Level/No F-Track Level/7.43,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),8.001
"ABNB, Long, 2026-02-06 (Price: 122.18)",2026-02-20 (Price: 127.89),"4.67%, 14 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-23 (Price: 122.96), 0.64% above",17 days,14.03%/1.79%/6.57%,"12.41%, 13.94%",1.1 month/2 days/15 days,2026-03-25/2026-02-08/2026-02-27,17.54%,-6.79%,24.33%,0.79,-0.1,125.7354/130.2072/127.97/178.025/226.4968/256.334/128.49,121.27/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),121.27
"IHI, Long, 2026-02-06 (Price: 58.36)",2026-02-18 (Price: 59.45),"1.87%, 12 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-23 (Price: 59.54), 2.02% above",17 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-03-05/2026-02-07/2026-02-16,10.24%,1.25%,8.99%,0.38,-0.05,62.1651/59.9474/61.06/66.34/68.9264/76.3906/61.3,57.93/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),58.24
"INFY, Long, 2026-02-06 (Price: 16.84)",2026-02-23 (Price: 13.91),"-17.4%, 17 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-23 (Price: 13.91), 17.4% below",17 days,6.12%/2.34%/3.66%,"11.63%, 13.01%",24 days/2 days/10 days,2026-03-12/2026-02-08/2026-02-20,7.26%,0.48%,6.78%,0.2,-0.0,17.1465/17.4563/17.3/23.796/31.8515/41.1179/17.43,16.74/16.0317/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),16.53
"NFLX, Long, 2025-12-28 (Price: 94.47)",2026-02-15 (Price: 76.87),"-18.63%, 1.6 month","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-23 (Price: 76.02), 19.53% below",1.9 month,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-06-06/2026-01-27/2026-04-02,0.19%,16.07%,-15.88%,-0.03,0.7,108.9617/109.708/109.33/No Horizontal Resistance/139.352/152.4292/110.71,94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),94.71
"TD, Short, 2026-02-23 (Price: 95.82)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 30 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 56.0801 or > 67.3774 prior to 2026-02-27,"2026-02-23 (Price: 95.82), 0.0% below",0 days,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-07-03/2026-04-07/2026-05-20,4.69%,4.88%,-0.19%,0.28,0.39,91.8531/89.2563/90.55/54.526/92.1326/76.2219/80.35,No Recent Maxima/54.526/92.1326/76.2219/87.7328/80.7842/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),93.11
"MAR, Short, 2026-02-12 (Price: 355.08)",2026-02-20 (Price: 347.93),"2.01%, 8 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-02-12",Already confirmed,"2026-02-23 (Price: 342.62), 3.51% below",11 days,5.11%/1.43%/2.38%,"2.62%, 8.68%",26 days/1 day/6 days,2026-03-21/2026-02-13/2026-02-20,7.58%,3.82%,3.76%,1.01,0.73,348.44/346.6291/347.53/129.12/275.4012/235.5515/283.94,No support/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/No EMA 200 Support,84.38%/32/5 days (Across ALL Assets),74.29%/70/5 days (Across ALL Assets),361.98
"GS, Short, 2026-01-04 (Price: 914.34)",2026-02-23 (Price: 892.31),"2.41%, 1.7 month","100.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-02-23 (Price: 892.31), 2.41% below",1.7 month,6.3%/2.62%/4.56%,"0%, 10.89%",3.3 months/7 days/26 days,2026-05-27/2026-01-14/2026-02-10,7.61%,4.79%,2.82%,3.08,0.42,963.7144/872.6461/918.18/288.555/794.5775/634.5288/775.99,No Recent Maxima/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/7/1.1 month (Across ALL Assets),75.86%/29/29 days (Across ALL Assets),906.45
"TSM, Short, 2025-12-31 (Price: 303.89)",2026-02-23 (Price: 370.04),"-21.77%, 1.8 month","80.0%, Past 28 years, 5","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-23 (Price: 370.04), 21.77% above",1.8 month,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-04-27/2026-03-27/2026-08-09,4.9%,4.88%,0.02%,0.28,0.54,280.1866/261.8316/271.01/83.575/274.027/233.1074/269.29,No Recent Maxima/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),286.92
"TD.TO, Short, 2025-11-30 (Price: 117.65)",2026-02-23 (Price: 131.3),"-11.6%, 2.8 months","100.0%, Past 54 years, 6","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-23 (Price: 131.3), 11.6% above",2.8 months,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,2026-02-24/2026-01-12/2026-01-29,5.19%,4.88%,0.31%,1.28,0.43,106.4144/111.8734/109.14/73.6233/101.1064/83.3451/111.07,No Recent Maxima/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),115.02
