"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"INDA, Long, 2026-02-03 (Price: 53.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Weekly, will be confirmed as valid at the end of this week",No Cancellation Possible,"2026-02-03 (Price: 53.28), 0.0% below",0 days,76.73%/12.39%/34.5%,"0%, 39.17%",5.2 years/6.8 months/2.3 years,2033-07-07/2026-11-25/2029-05-15,11.49%,3.68%,7.81%,1.13,0.14,52.7525/71.6616/62.21/55.3975/60.4014/73.8934/53.68,51.24/39.06/52.5567/48.6731/No support/No support/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),51.72
"CNR.TO, Long, 2026-02-02 (Price: 130.79)",No Exit Yet,"0.0%, 0 days","70.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-02-02",No Cancellation Possible,"2026-02-02 (Price: 130.79), 0.0% below",0 days,12.68%/3.59%/8.54%,"6.58%, 16.7%",1.5 year/1 month/4.8 months,2028-03-25/2026-03-17/2026-08-29,10.42%,-0.9%,11.32%,0.54,-0.19,136.4924/141.9595/139.23/173.435/218.156/349.4971/135.86,128.08/127.536/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),137.0
"XLV, Long, 2026-01-30 (Price: 154.74)",No Exit Yet,"0.61%, 3 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-02 (Price: 155.69), 0.61% above",3 days,8.23%/1.41%/5.28%,"0%, 18.11%",1.9 year/1 month/10 months,2028-10-16/2026-03-14/2027-04-09,6.21%,5.05%,1.16%,2.09,0.27,162.2139/162.9103/162.56/159.295/174.1807/202.706/No EMA 200 Target,153.82/121.1/153.114/117.2225/No F-Track Level/No F-Track Level/141.94,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),154.12
"PLTR, Long, 2026-01-30 (Price: 146.59)",No Exit Yet,"0.8%, 3 days","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-02 (Price: 147.76), 0.8% above",3 days,72.52%/7.59%/47.15%,"59.64%, 74.92%",5.4 months/1.3 month/2.9 months,2026-09-21/2026-03-27/2026-06-05,30.7%,28.98%,1.72%,0.56,1.12,191.8423/215.7072/203.77/No Horizontal Resistance/236.8667/248.6965/159.17,130.68/7.205/125.5072/97.1748/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),150.05
"ATD.TO, Long, 2026-01-30 (Price: 70.84)",No Exit Yet,"4.38%, 3 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-02 (Price: 73.94), 4.38% above",3 days,29.23%/0.22%/10.51%,"9.62%, 20.63%",8.6 months/1.8 month/4.1 months,2027-02-07/2026-04-18/2026-07-25,16.38%,7.89%,8.49%,0.66,0.43,73.3336/78.2853/75.81/85.51/85.3936/96.14/72.13,69.19/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),71.47
"HDB, Long, 2026-01-25 (Price: 32.06)",No Exit Yet,"5.4%, 9 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-01-25",No Cancellation Possible,"2026-02-03 (Price: 33.79), 5.4% above",9 days,218.12%/6.34%/64.35%,"0%, 32.59%",6.4 years/1.1 year/2.5 years,2035-03-16/2027-08-21/2029-08-20,16.45%,7.23%,9.22%,0.72,0.37,29.1586/52.6906/40.92/39.3812/40.717/47.4928/36.19,29.16/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),32.18
"USCI, Long, 2025-11-25 (Price: 76.97)",2026-02-02 (Price: 80.53) (Today),"4.63%, 2.3 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-25",No Cancellation Possible,"2026-02-02 (Price: 80.53), 4.63% above",2.3 months,30.17%/1.73%/14.57%,"-0.0%, 16.38%",1.6 year/2.6 months/10 months,2028-03-08/2026-03-17/2027-02-02,13.97%,13.72%,0.25%,0.89,0.99,79.4715/88.1845/83.83/No Horizontal Resistance/81.0354/90.2685/No EMA 200 Target,76.9/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/75.99,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),76.75
"DBC, Long, 2025-08-05 (Price: 21.82)",2026-02-02 (Price: 23.54) (Today),"7.88%, 6 months","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2025-08-05",No Cancellation Possible,"2026-02-02 (Price: 23.54), 7.88% above",6 months,26.23%/6.43%/15.25%,"18.84%, 24.85%",3.5 months/2 months/2.6 months,2026-01-04/2025-10-30/2025-11-25,10.2%,6.83%,3.37%,0.41,0.39,24.3991/25.1476/24.77/28.58/60.6441/65.878/22.35,21.8/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),21.94
"INFY, Long, 2025-03-16 (Price: 18.4)",2026-02-01 (Price: 17.58),"-4.46%, 10.7 months","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2026-02-03 (Price: 18.34), 0.33% below",10.8 months,175.09%/39.66%/107.38%,"10.82%, 34.36%",6.7 years/1.8 year/4.3 years,2034-10-08/2027-10-10/2031-05-06,10.72%,3.02%,7.7%,0.62,0.15,21.4838/38.1579/29.82/23.796/31.8515/41.1179/No EMA 200 Target,16.75/16.315/13.0115/No support/No F-Track Level/No F-Track Level/17.54,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),19.75
"NA.TO, Long, 2025-02-23 (Price: 124.43)",2026-02-01 (Price: 162.25),"30.39%, 11.4 months","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,"2026-02-03 (Price: 163.94), 31.75% above",11.5 months,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,2030-06-06/2026-04-03/2028-01-01,11.98%,7.53%,4.45%,1.22,0.44,128.4242/165.2679/146.85/No Horizontal Resistance/188.6608/207.1743/149.26,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),125.91
