Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-01-28 (Price: 76.62)",No Exit Yet,"0.0%, 0 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-01-28 (Price: 76.62), 0.0% below",0 days,76.26,No Information,No Information,No Information,No Information,No Information,1.27% above/0.0% below/0.0% below,7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-10/2026-02-05/2026-04-24,13.27%,-3.97%,17.24%,0.8,-0.03,76.7809/79.2481/79.58/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No support/No support/71.92,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",No Exit Yet,"0.0%, 0 days","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-01-28",No Cancellation Possible,"2026-01-28 (Price: 43.33), 0.0% below",0 days,43.5,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,2026-12-28/2026-02-11/2026-05-20,16.95%,4.08%,12.87%,0.47,0.18,46.0251/47.273/49.4/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,No Recent Minima/29.8725/43.1213/32.1431/No support/42.5398/42.39,68.21%/151/0 days (Across ALL Assets),63.74%/353/0 days (Across ALL Assets)
BAND MATRIX,"DOL.TO, Long, 2026-01-28 (Price: 186.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-01-28 (Price: 186.3), 0.0% below",0 days,186.34,No Information,No Information,No Information,No Information,No Information,No Information,39.41%/3.85%/15.01%,"-0.0%, 11.58%",10.7 months/29 days/3.8 months,2027-05-07/2026-03-11/2026-07-12,37.24%,20.61%,16.63%,1.17,1.4,208.0785/214.2636/211.17/197.56/252.753/384.8349/187.25,180.3/53.2967/171.1219/120.6711/177.877/158.1608/No EMA 200 Support,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
BAND MATRIX,"USDCHF=X, Long, 2026-01-28 (Price: 0.768)",No Exit Yet,"0.0%, 0 days","71.43%, Past 5 years, 7","Daily, is CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-01-28 (Price: 0.768), 0.0% below",0 days,0.7611,No Information,No Information,No Information,No Information,No Information,No Information,3.33%/2.11%/2.55%,"10.2%, 13.75%",7.8 months/1.3 month/3.7 months,2027-01-01/2026-03-25/2026-07-07,-1.75%,-1.33%,-0.42%,-0.3,-0.75,0.7721/0.7876/0.78/1.0105/No Next Fib Ext/No Next Fib Ext/0.8,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
TRENDPULSE,"CSCO, Long, 2026-01-27 (Price: 78.68)",No Exit Yet,"0.36%, 1 day","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-28 (Price: 78.96), 0.36% above",1 day,77.19,No Information,No Information,No Information,No Information,No Information,5.86% above/0.36% above/0.36% above,5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-03-15/2026-02-04/2026-02-13,6.96%,6.16%,0.8%,0.14,0.32,81.2922/80.765/79.24/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.35/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/68.98,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2026-01-27 (Price: 60.34)",No Exit Yet,"0.68%, 1 day","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-28 (Price: 60.75), 0.68% above",1 day,59.97,No Information,No Information,No Information,No Information,No Information,2.67% above/0.68% above/0.68% above,4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-06-10/2026-02-04/2026-02-26,2.19%,2.36%,-0.17%,0.01,0.07,63.0674/61.933/63.94/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,52.6/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.88,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",No Exit Yet,"-0.42%, 1 day","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-28 (Price: 312.8), 0.42% below",1 day,312.32,No Information,No Information,No Information,No Information,No Information,0.05% below/0.42% below/0.42% below,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,324.5591/322.1403/341.41/321.444/370.0426/590.3302/No EMA 200 Target,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2026-01-27 (Price: 56.69)",No Exit Yet,"-4.36%, 1 day","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-28 (Price: 54.22), 4.36% below",1 day,56.53,No Information,No Information,No Information,No Information,No Information,1.83% below/4.36% below/4.36% below,10.73%/0.36%/5.34%,"8.73%, 19.35%",1.1 month/6 days/15 days,2026-03-15/2026-02-04/2026-02-17,11.77%,2.75%,9.02%,0.55,0.11,58.9916/59.7172/63.54/No Horizontal Resistance/58.6089/65.2057/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/43.35,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2026-01-27 (Price: 769.9)",No Exit Yet,"0.69%, 1 day","100.0%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-28 (Price: 775.18), 0.69% above",1 day,766.41,No Information,No Information,No Information,No Information,No Information,1.94% above/0.69% above/0.69% above,6.35%/1.16%/3.51%,"0%, 20.19%",3.5 months/7 days/23 days,2026-06-28/2026-02-06/2026-03-01,15.33%,14.37%,0.96%,2.27,0.77,807.0092/796.9235/788.87/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,738.69/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/693.85,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"META, Long, 2026-01-26 (Price: 672.36)",No Exit Yet,"-0.54%, 2 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-28 (Price: 668.73), 0.54% below",2 days,665.13,No Information,No Information,No Information,No Information,No Information,1.51% above/0.54% below/0.54% below,7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,2026-08-09/2026-02-06/2026-03-09,19.23%,15.29%,3.94%,0.63,0.7,738.1168/697.3046/717.58/No Horizontal Resistance/842.484/1305.5879/678.46,604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
