"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TCS.NS, Long, 2026-03-08 (Price: 2557.6001)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 2557.6001), 0.0% below",0 days,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,2026-05-29/2026-04-07/2026-04-29,4.8%,8.26%,-3.46%,0.2,0.45,2789.3187/2767.8348/2778.58/4543.575/4920.1406/5233.5809/3135.93,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),2592.0
"WIPRO.NS, Long, 2026-03-08 (Price: 195.4)",No Exit Yet,"0.0%, 0 days","71.43%, Past 15 years, 7","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 195.4), 0.0% below",0 days,9.84%/6.43%/8.22%,"21.48%, 23.67%",3.3 months/7 days/1.5 month,2026-07-29/2026-03-18/2026-05-12,3.18%,5.02%,-1.84%,0.04,0.25,220.3917/211.4619/215.93/366.6625/374.6319/404.5107/247.88,189.65/187.6063/184.3156/No support/No support/No support/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),195.0
"INFY, Long, 2026-03-08 (Price: 14.44)",No Exit Yet,"0.0%, 0 days","87.5%, Past 15 years, 8","Weekly, is CONFIRMED on 2026-03-08",Already confirmed,"2026-03-08 (Price: 14.44), 0.0% below",0 days,16.57%/6.3%/10.74%,"21.95%, 25.26%",8.9 months/1.4 month/3.3 months,2027-03-29/2026-05-07/2026-07-29,6.63%,3.65%,2.98%,0.56,0.18,17.0811/15.9909/16.54/23.796/25.6134/28.2828/17.25,No Recent Minima/No Horizontal Support/14.1529/13.3229/11.7334/9.4094/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),14.09
"BABA, Long, 2026-03-06 (Price: 130.79)",No Exit Yet,"0.0%, 0 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-06 (Price: 130.79), 0.0% below",0 days,12.26%/3.97%/6.89%,"17.99%, 17.99%",1.2 month/1 day/14 days,2026-04-27/2026-03-07/2026-03-26,10.65%,-5.22%,15.87%,0.35,0.01,142.0641/139.8014/140.93/181.595/395.5515/453.696/145.27,130.35/67.495/108.0763/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),129.3
"NIFTY_MIDCAP_100.NS, Long, 2026-03-06 (Price: 57393.3516)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-06 (Price: 57393.3516), 0.0% below",0 days,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-04-03/2026-03-08/2026-03-16,9.79%,15.36%,-5.57%,0.56,1.16,61680.635/58977.4081/60329.02/60128.6094/69983.5191/76335.2565/58850.02,56925.15/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),57692.1484
"FRW.NZ, Long, 2026-03-06 (Price: 13.96)",No Exit Yet,"0.0%, 0 days","71.43%, Past 4 years, 7","Daily, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-06 (Price: 13.96), 0.0% below",0 days,5.37%/2.86%/4.01%,"13.71%, 14.11%",1.2 month/1 day/9 days,2026-04-27/2026-03-07/2026-03-19,0.71%,4.01%,-3.3%,-0.04,0.19,14.6859/14.5198/14.6/14.785/16.2179/21.849/No EMA 200 Target,13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.92,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),14.0
"EURUSD=X, Long, 2026-03-05 (Price: 1.1636)",No Exit Yet,"-0.24%, 1 day","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-06 (Price: 1.1608), 0.24% below",1 day,1.61%/0.52%/0.99%,"2.53%, 3.21%",1 month/1 day/8 days,2026-04-17/2026-03-06/2026-03-16,3.62%,-0.41%,4.03%,0.09,-0.64,1.1843/1.1751/1.18/1.1998/1.6296/1.7649/1.17,1.16/1.0069/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),1.1635
"HDFCBANK.NS, Long, 2026-03-05 (Price: 877.75)",No Exit Yet,"-2.36%, 1 day","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-06 (Price: 857.05), 2.36% below",1 day,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-06-30/2026-03-07/2026-04-11,5.13%,4.11%,1.02%,0.21,0.19,912.9478/903.6436/908.3/1009.6/1098.0619/1305.7899/972.07,868.65/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),873.85
"INDA, Long, 2026-03-05 (Price: 50.37)",No Exit Yet,"-0.75%, 1 day","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-06 (Price: 49.99), 0.75% below",1 day,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-04-14/2026-03-07/2026-03-18,5.73%,3.54%,2.19%,0.28,0.12,52.8633/51.594/52.23/55.3975/66.8401/79.771/53.56,50.22/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),50.47
"MTY.TO, Long, 2026-03-05 (Price: 39.8)",No Exit Yet,"-0.83%, 1 day","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-06 (Price: 39.47), 0.83% below",1 day,16.04%/1.91%/5.15%,"10.87%, 15.04%",1.2 month/2 days/12 days,2026-04-26/2026-03-07/2026-03-22,7.41%,-2.61%,10.02%,0.18,-0.1,42.4785/41.8497/42.16/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.19,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),39.93
