"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WPM.TO, Long, 2025-12-18 (Price: 159.04)",No Exit Yet,"0.0%, 0 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 159.04), 0.0% below",0 days,"2, 2025-10-29 (Price: 132.75)",2025-12-18 (Price: 159.04),2025-12-18 (Price: 159.04),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-10-29 (Price: 151.1569)/2025-12-18 (Price: 158.08),9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-27/2025-12-26/2026-01-30,12.04%,18.03%,-5.99%,0.06,0.87,171.2066/167.0556/174.81/No Horizontal Resistance/177.4321/184.9838/No EMA 200 Target,145.49/52.782/150.6362/140.1747/138.8722/122.3548/129.9,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"MCD, Long, 2025-12-18 (Price: 319.65)",No Exit Yet,"0.0%, 0 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 319.65), 0.0% below",0 days,"2, 2025-10-28 (Price: 306.4)",2025-12-17 (Price: 318.69),2025-12-18 (Price: 319.65),1/0/0 days,0.3% above/0.0% below/0.0% below,2025-10-28 (Price: 307.6786)/2025-12-18 (Price: 316.4214),4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-06-05/2025-12-28/2026-02-12,12.38%,5.6%,6.78%,1.08,0.28,330.2624/327.8011/327.6/321.3575/322.837/371.0748/No EMA 200 Target,300.72/228.4467/306.2751/267.8324/No support/No support/306.22,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-18 (Price: 292.04)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-18 (Price: 292.04), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-18 (Price: 292.04),2025-11-21 (Price: 270.83),0/27/0 days,0.0% below/7.83% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-18 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-03/2027-10-26/2028-09-03,16.0%,8.74%,7.26%,0.66,0.45,389.6982/431.4891/448.85/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/241.52,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"RHHBY, Long, 2025-12-18 (Price: 50.28)",No Exit Yet,"0.0%, 0 days","87.5%, Past 10 years, 32","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 50.25 prior to 2025-12-19,"2025-12-18 (Price: 50.28), 0.0% below",0 days,"2, 2025-07-06 (Price: 40.44)",2025-12-14 (Price: 50.04),2025-12-18 (Price: 50.28),4/0/0 days,0.48% above/0.0% below/0.0% below,2025-07-06 (Price: 40.6429)/2025-12-18 (Price: 49.0534),18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-04/2026-02-08/2026-07-01,3.03%,4.77%,-1.74%,0.42,0.23,52.1957/54.946/56.18/52.46/52.5578/54.7393/No EMA 200 Target,38.23/34.5167/44.2574/33.9225/46.0253/42.8207/41.91,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-18 (Price: 3.65)",No Exit Yet,"0.0%, 0 days","88.89%, Past 10 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 3.63 prior to 2025-12-19,"2025-12-18 (Price: 3.65), 0.0% below",0 days,"6, 2024-08-04 (Price: 3.13)",2025-12-07 (Price: 3.64),2025-12-18 (Price: 3.65),11/0/0 days,0.27% above/0.0% below/0.0% below,2024-08-04 (Price: 3.5637)/2025-12-18 (Price: 3.321),5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2027-07-14/2026-05-19/2027-02-25,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.5336/3.827/3.96/7.985/12.6329/13.7816/No EMA 200 Target,2.94/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.21,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-18 (Price: 3.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-18 (Price: 3.65), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),48/20/0 days,11.96% above/8.96% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-18 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-09/2026-07-23/2026-08-05,5.5%,0.69%,4.81%,1.23,0.0,4.2647/4.4121/5.82/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.21,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-18 (Price: 67.75)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-18 (Price: 67.75), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-18 (Price: 67.75),2025-12-18 (Price: 67.75),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-18 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-13/2026-07-23/2026-12-22,9.96%,11.66%,-1.7%,0.82,0.67,105.0396/76.7472/68.8/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-18 (Price: 74.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-18 (Price: 74.12), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-18 (Price: 74.12),79/0/0 days,20.76% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-18 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-13/2027-10-26/2028-03-31,16.49%,8.5%,7.99%,0.7,0.42,152.8873/191.8448/99.59/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/54.26,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"XLY, Long, 2025-12-16 (Price: 121.93)",No Exit Yet,"0.34%, 2 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-16",Already confirmed,"2025-12-18 (Price: 122.34), 0.34% above",2 days,"2, 2025-10-24 (Price: 118.83)",2025-12-12 (Price: 120.7),2025-12-16 (Price: 121.93),6/2/2 days,1.36% above/0.34% above/0.34% above,2025-10-24 (Price: 121.6814)/2025-12-16 (Price: 119.7314),7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-04-16/2025-12-24/2026-01-03,17.38%,7.88%,9.5%,1.07,0.42,126.8804/125.5635/123.79/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,117.98/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/110.2,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"^TNX, Long, 2025-12-15 (Price: 4.182)",No Exit Yet,"-1.58%, 3 days","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2025-12-18 (Price: 4.116), 1.58% below",3 days,"6, 2025-03-28 (Price: 4.255)",2025-12-11 (Price: 4.141),2025-12-15 (Price: 4.182),7/3/3 days,0.6% below/1.58% below/1.58% below,2025-03-28 (Price: 4.6957)/2025-12-15 (Price: 4.1036),14.35%/1.59%/5.42%,"7.92%, 30.24%",2.1 months/6 days/19 days,2026-03-16/2025-12-23/2026-01-11,26.36%,9.62%,16.74%,0.75,0.51,4.7052/4.4087/4.23/4.6918/17.4008/18.8284/4.24,4.0/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
