Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-17 (Price: 9.22)",Daily,No Exit Yet,No Price Target,2026-02-11 (Min),2.78%/3.55%,"4.01%, 1.9 month","2026-02-13 (Price: 9.59), 4.01% above",9.8562 (Avg % Gain of Historic Winning trades)/9.93 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.3292 (Backtested Max),2030-02-06 (Max)/2027-04-08 (Avg),8.95/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.91%, Past 5 years, 11",9.19,No Information,No Information,No Information,"50% (Price: 9.305), 3.06% above, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-02-02 (Price: 9.48)",Daily,2026-02-12 (Price: 9.78),No Price Target,No Date Target,2.71%/6.33%,"1.16%, 11 days","2026-02-13 (Price: 9.59), 1.16% above",9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.1967 (Backtested Max),2026-07-12 (Max)/2026-03-04 (Min)/2026-04-03 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"83.33%, Past 4 years, 30",9.35,No Information,No Information,No Information,No Information,No Information,1.16% above/1.16% above/1.16% above,7.56%/1.51%/2.76%,"5.63%, 16.17%",3.7 months/21 days/1.4 month,0.18%,2.84%,-2.66%,0.35,0.12,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,2026-02-11 (Price: 9.67),No Price Target,No Date Target,2.71%/4.98%,"2.46%, 25 days","2026-02-13 (Price: 9.59), 2.46% above",9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max),2026-06-28 (Max)/2026-02-18 (Min)/2026-03-20 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"83.33%, Past 4 years, 30",9.34,No Information,No Information,No Information,No Information,No Information,2.46% above/2.46% above/2.46% above,7.56%/1.51%/2.76%,"5.63%, 16.17%",3.7 months/21 days/1.4 month,0.18%,2.84%,-2.66%,0.35,0.12,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-11-04 (Price: 9.53)",Daily,2026-02-13 (Price: 9.59),No Price Target,No Date Target,2.12%/6.89%,"0.63%, 3.4 months","2026-02-13 (Price: 9.59), 0.63% above",9.793 (Avg % Gain of Historic Winning trades)/10.51 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.2505 (Backtested Max),2026-04-13 (Max),8.95/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.12,"83.33%, Past 4 years, 30",9.45,No Information,No Information,No Information,No Information,No Information,1.59% above/0.63% above/0.63% above,7.56%/1.51%/2.76%,"5.63%, 16.17%",3.7 months/21 days/1.4 month,0.18%,2.84%,-2.66%,0.35,0.12,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-13 (Price: 207.32),No Price Target,No Date Target,21.24%/63.05%,"17.59%, 6.6 months","2026-02-13 (Price: 207.32), 17.59% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,87.23% above/43.81% above/17.59% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-13 (Price: 207.32),No Price Target,No Date Target,78.05%/87.35%,"7.68%, 2 years","2026-02-13 (Price: 207.32), 7.68% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,40.64% above/14.0% above/7.68% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-13 (Price: 207.32),No Price Target,No Date Target,55.08%/63.18%,"23.63%, 2.1 years","2026-02-13 (Price: 207.32), 23.63% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,40.64% above/41.83% above/23.63% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-05 (Price: 5.71)",Daily,No Exit Yet,No Price Target,2026-02-15 (Min),2.23%/2.6%,"0.88%, 8 days","2026-02-13 (Price: 5.76), 0.88% above",5.9178 (Historic Rise or Fall to Pivot)/5.8887 (Avg % Gain of Historic Winning trades)/5.91 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.0532 (Backtested Max),2027-01-31 (Max)/2026-02-15 (Min)/2026-06-11 (Avg),5.52/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 4 years, 34",5.63,No Information,No Information,No Information,No Information,No Information,2.49% above/0.88% above/0.88% above,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",Daily,2026-02-12 (Price: 5.79),No Price Target,No Date Target,0.8%/1.3%,"2.31%, 1 month","2026-02-13 (Price: 5.76), 2.31% above",5.8349 (Historic Rise or Fall to Pivot)/5.8062 (Avg % Gain of Historic Winning trades)/5.88 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.9684 (Backtested Max),2027-01-09 (Max)/2026-05-20 (Avg),5.55/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 4 years, 34",5.61,No Information,No Information,No Information,No Information,No Information,2.31% above/2.31% above/2.31% above,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-09 (Price: 6.02)",Daily,No Exit Yet,No Price Target,2026-02-12 (Avg),4.99%/7.29%,"-4.32%, 4.2 months","2026-02-13 (Price: 5.76), 4.32% below",6.2391 (Historic Rise or Fall to Pivot)/6.2084 (Avg % Gain of Historic Winning trades)/6.18 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/6.3818 (Backtested Max)/6.0477 (Backtested Min),2026-10-04 (Max),5.57/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,"88.24%, Past 4 years, 34",5.93,No Information,No Information,No Information,No Information,No Information,3.36% below/4.32% below/4.32% below,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
