Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2026-01-08 (Price: 75.49)",No Exit Yet,"0.0%, 0 days","91.3%, Past 5 years, 23","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-01-08 (Price: 75.49), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 74.7813), 0.95% above, Upmove Bounce Back","2025-11-07 (Price: 68.3), 2025-11-28 (Price: 76.79)",No Information,11.38%/1.13%/7.56%,"1.21%, 14.84%",5.9 months/18 days/2.5 months,2026-09-21/2026-02-03/2026-04-26,29.53%,7.89%,21.64%,0.97,0.43,75.8297/81.197/80.58/85.51/100.8822/111.119/No EMA 200 Target,73.81/45.49/73.9889/69.1528/No support/No support/71.81,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-01-08 (Price: 75.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-01-08 (Price: 75.49), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.72% above/0.0% below/0.0% below,4.54%/1.18%/3.66%,"-0.0%, 15.84%",4.4 months/7 days/2.5 months,2026-07-18/2026-01-18/2026-04-26,12.4%,6.76%,5.64%,3.05,0.35,76.4336/78.2529/78.6/85.51/100.8822/111.119/No EMA 200 Target,73.81/45.49/73.9889/69.1528/No support/No support/71.81,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-01-07 (Price: 241.56)",No Exit Yet,"1.96%, 1 day","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-08 (Price: 246.29), 1.96% above",1 day,No Information,No Information,No Information,No Information,No Information,5.68% above/1.96% above/1.96% above,6.5%/1.02%/4.3%,"0%, 19.49%",4.6 months/9 days/1.1 month,2026-07-25/2026-01-20/2026-02-23,22.5%,11.67%,10.83%,2.54,0.57,256.4401/251.9471/248.95/No Horizontal Resistance/317.6152/339.3352/No EMA 200 Target,226.5/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/217.67,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"MA, Long, 2026-01-07 (Price: 579.92)",No Exit Yet,"0.03%, 1 day","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-08 (Price: 580.07), 0.03% above",1 day,No Information,No Information,No Information,No Information,No Information,2.02% above/0.03% above/0.03% above,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,2026-06-08/2026-01-12/2026-03-04,5.71%,7.58%,-1.87%,0.98,0.39,586.4731/596.9696/587.58/592.9033/716.5814/751.3605/No EMA 200 Target,563.13/305.0867/554.0572/515.4888/No F-Track Level/No F-Track Level/561.98,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"ABNB, Long, 2026-01-06 (Price: 138.02)",No Exit Yet,"0.46%, 2 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 138.66), 0.46% above",2 days,No Information,No Information,No Information,No Information,No Information,2.05% above/0.46% above/0.46% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-05-25/2026-01-14/2026-02-12,10.28%,-2.98%,13.26%,0.22,0.05,137.2885/147.8884/146.55/178.025/226.4968/256.334/No EMA 200 Target,133.01/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.96,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2026-01-06 (Price: 47.91)",No Exit Yet,"0.02%, 2 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 47.92), 0.02% above",2 days,No Information,No Information,No Information,No Information,No Information,1.42% above/0.02% above/0.02% above,2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-11/2026-01-14/2026-02-12,10.25%,7.22%,3.03%,2.78,0.44,49.1413/48.7388/49.06/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,44.51/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/42.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"XLY, Long, 2026-01-06 (Price: 121.07)",No Exit Yet,"1.53%, 2 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 122.92), 1.53% above",2 days,No Information,No Information,No Information,No Information,No Information,2.18% above/1.53% above/1.53% above,7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-05-07/2026-01-14/2026-01-24,17.38%,7.88%,9.5%,1.07,0.42,125.9854/124.6779/122.34/121.1117/125.4815/133.9156/No EMA 200 Target,118.35/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/111.58,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
FRACTAL TRACK,"XLY, Long, 2026-01-06 (Price: 121.07)",No Exit Yet,"1.53%, 2 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 122.92), 1.53% above",2 days,No Information,No Information,No Information,"23.66% (Price: 120.5152), 2.0% above, Upmove Bounce Back","2025-11-20 (Price: 110.465), 2025-12-18 (Price: 123.63)",No Information,12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-04-19/2026-02-05/2027-01-19,13.85%,5.91%,7.94%,1.09,0.3,124.0483/130.4892/128.97/121.1117/125.4815/133.9156/No EMA 200 Target,118.35/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/111.8,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
TRENDPULSE,"TCEHY, Long, 2026-01-05 (Price: 81.07)",No Exit Yet,"-2.62%, 3 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-01-08 (Price: 78.95), 2.62% below",3 days,No Information,No Information,No Information,No Information,No Information,3.14% above/2.62% below/2.62% below,11.98%/0.95%/5.68%,"35.17%, 59.22%",19 days/4 days/9 days,2026-02-01/2026-01-10/2026-01-18,-2.67%,6.59%,-9.26%,0.04,0.36,90.4903/85.6748/82.69/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,76.55/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/72.51,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2026-01-04 (Price: 226.5)",No Exit Yet,"8.74%, 4 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 246.29), 8.74% above",4 days,No Information,No Information,No Information,"38.2% (Price: 221.462), 11.21% above, Upmove Bounce Back","2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",No Information,31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-01-01/2026-02-13/2026-11-21,13.55%,17.13%,-3.58%,1.66,0.81,266.9529/264.6879/284.83/239.3/317.6152/339.3352/No EMA 200 Target,213.04/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/217.89,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
