"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AIA.NZ, Long, 2026-02-03 (Price: 8.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-03 (Price: 8.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 8.3078),0.33% below,"2025-07-16 (Price: 7.365), 2026-01-12 (Price: 8.6)",12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2027-12-12/2026-05-26/2027-02-03,14.01%,-0.21%,14.22%,1.2,-0.11,8.5143/8.8662/9.02/8.8962/10.792/12.737/No EMA 200 Target,8.13/7.0017/8.0885/7.295/No support/No support/7.9,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),8.36
"^NZ50, Long, 2026-02-03 (Price: 13421.5195)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 8","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-03 (Price: 13421.5195), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 13033.3071),2.98% above,"2023-10-30 (Price: 10695.9902), 2026-01-14 (Price: 13757.71)",10.49%/1.11%/5.43%,"-0.0%, 19.48%",4.1 years/7.1 months/1.6 year,2031-12-10/2026-12-08/2028-05-17,1.64%,0.55%,1.09%,0.94,-0.28,13667.1333/14150.308/15258.55/No Horizontal Resistance/14523.0985/16781.6883/No EMA 200 Target,13339.77/10608.2731/12696.4249/9172.411/13033.3071/12588.133/13056.52,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),13412.4404
"AAPL, Long, 2026-02-03 (Price: 270.01)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 243.42 prior to 2026-02-06,"2026-02-03 (Price: 270.01), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 243.0054),11.11% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-08/2026-04-04/2027-01-07,12.35%,17.83%,-5.48%,2.32,0.9,296.714/315.2637/341.66/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,248.04/136.57/248.4166/236.3611/260.3676/243.0054/236.99,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),260.02
"META, Long, 2026-02-03 (Price: 706.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 6","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 600.0 prior to 2026-02-06,"2026-02-03 (Price: 706.41), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 613.221),15.2% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-02/2026-03-05/2027-03-01,19.03%,15.86%,3.17%,8.93,0.74,878.3502/828.1244/1170.56/No Horizontal Resistance/875.5866/915.851/No EMA 200 Target,620.25/276.89/627.6205/591.2141/628.6993/525.7329/682.33,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),714.37
"NFLX, Long, 2026-02-03 (Price: 82.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 81.93 prior to 2026-02-06,"2026-02-03 (Price: 82.76), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 83.1713),0.49% below,"2012-08-05 (Price: 0.7544), 2025-07-06 (Price: 134.115)",29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2029-12-11/2026-03-05/2027-01-23,15.04%,21.83%,-6.79%,4.76,0.9,105.9245/100.9093/162.78/No Horizontal Resistance/138.686/152.7047/112.75,61.36/34.8663/77.3488/70.5306/75.193/61.2874/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),83.62
"C6L.SI, Long, 2026-02-03 (Price: 6.48)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-03 (Price: 6.48), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),3.87% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-10-20/2027-01-20/2028-03-26,7.09%,-1.77%,8.86%,0.77,-0.19,6.6718/8.0488/7.54/6.826/15.4629/16.7442/6.69,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-03 (Price: 11.03)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-03 (Price: 11.03), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),4.47% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-05-17/2026-09-12/2027-08-30,8.62%,8.22%,0.4%,0.91,0.49,12.69/13.386/18.09/12.825/13.8771/15.9169/11.51,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),11.05
"EFN.TO, Long, 2026-02-03 (Price: 35.05)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 33.51 prior to 2026-02-06,"2026-02-03 (Price: 35.05), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.1947),5.59% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-25/2026-05-26/2027-10-21,6.51%,10.86%,-4.35%,1.44,0.54,40.5038/41.4501/43.01/No Horizontal Resistance/48.884/73.5584/35.12,34.35/12.67/33.6344/24.2096/30.6746/26.0131/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),34.0
"TSM, Long, 2026-02-02 (Price: 341.36)",No Exit Yet,"0.0%, 0 days","95.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-02 (Price: 341.36), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 331.3349),3.03% above,"2025-11-21 (Price: 266.82), 2026-01-15 (Price: 351.33)",13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2029-02-01/2026-02-25/2026-07-17,37.14%,15.53%,21.61%,2.66,0.73,372.4579/380.6164/392.07/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,276.96/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/255.74,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),330.755
"ATD.TO, Long, 2026-02-02 (Price: 73.94)",No Exit Yet,"0.0%, 0 days","91.3%, Past 5 years, 23","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-02 (Price: 73.94), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 72.036),2.64% above,"2025-11-07 (Price: 68.3), 2026-01-22 (Price: 78.08)",11.38%/1.13%/7.56%,"1.21%, 14.84%",5.9 months/18 days/2.5 months,2026-10-16/2026-02-28/2026-05-21,29.53%,7.89%,21.64%,0.97,0.43,74.2727/79.5299/79.81/85.51/85.3936/96.14/No EMA 200 Target,70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.13,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),71.47
