Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",Daily,No Exit Yet,No Price Target,2025-12-04 (Min),6.09%/6.17%,"-1.03%, 1 day","2025-12-03 (Price: 179.59), 1.03% below",194.7247 (Historic Rise or Fall to Pivot)/200.0597 (Avg % Gain of Historic Winning trades)/190.53 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/220.8368 (Backtested Best)/190.6782 (Backtested Worst),2026-02-19 (Max)/2025-12-04 (Min)/2025-12-15 (Avg),No Recent Minima/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/154.31,"86.84%, Past 6 years, 38",No Information,No Information,No Information,No Information,No Information,No Information,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month/2 days/9 days,166.42%,81.52%,84.9%,0.34,2.03,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2025-12-01 (Price: 133.81)",Daily,No Exit Yet,137.6102 (Avg % Gain of Historic Winning trades),2025-12-06 (Min),8.16%/15.1%,"2.9%, 2 days","2025-12-03 (Price: 137.69), 2.9% above",158.48 (Exit Rule)/173.435 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/148.9305 (Backtested Best),2026-02-24 (Max)/2025-12-06 (Min)/2025-12-15 (Avg),128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No Moving Avg Support,"86.11%, Past 4 years, 36",No Information,No Information,No Information,No Information,No Information,4.45% above/2.9% above/2.9% above,11.3%/0.17%/2.84%,"18.84%, 26.48%",2.0 month/4 days/10 days,10.09%,1.42%,8.67%,0.18,-0.02,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-30 (Price: 430.17)",Weekly,No Exit Yet,445.7422 (Backtested Worst),No Date Target,6.48%/9.71%,"3.85%, 2 days","2025-12-03 (Price: 446.74), 3.85% above",475.682 (Historic Rise or Fall to Pivot)/4598.1301 (Avg % Gain of Historic Winning trades)/716.21 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/29749.4388 (Backtested Best),2035-02-02 (Max)/2026-04-15 (Min)/2028-12-03 (Avg),391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/341.62,"80.65%, Past 15 years, 31",No Information,No Information,No Information,"23.66% (Price: 375.7432), 18.9% above, Upmove Bounce Back","2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",No Information,6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,14.07%,45.46%,-31.4%,0.27,1.18,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),3.09%/3.37%,"-1.8%, 3 days","2025-12-03 (Price: 150.7), 1.8% below",159.2251 (Historic Rise or Fall to Pivot)/161.343 (Avg % Gain of Historic Winning trades)/155.78 (Exit Rule)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/178.0712 (Backtested Best)/155.3577 (Backtested Worst),2026-04-13 (Max)/2025-12-22 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"93.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,0.85% above/1.8% below/1.8% below,16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,31.81%,24.47%,7.34%,0.41,0.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),2.77%/2.89%,"-0.33%, 3 days","2025-12-03 (Price: 168.4), 0.33% below",173.2751 (Historic Rise or Fall to Pivot)/173.0724 (Avg % Gain of Historic Winning trades)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Best),2026-02-28 (Max)/2025-12-22 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"93.1%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.33% below/0.33% below/0.33% below,4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,18.74%,14.44%,4.3%,1.0,0.56,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"TFII.TO, Long, 2025-11-28 (Price: 121.87)",Daily,2025-12-03 (Price: 129.88) (Today),No Price Target,2025-11-29 (Min),4.4%/22.55%,"6.57%, 3 days","2025-12-03 (Price: 129.88), 6.57% above",135.5926 (Avg % Gain of Historic Winning trades)/219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/159.1622 (Backtested Best),2026-02-22 (Max)/2025-12-29 (Avg),No Recent Minima/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.19%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,34.87%,19.04%,15.83%,0.15,0.63,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),0.91%/1.64%,"-0.7%, 3 days","2025-12-03 (Price: 1000.5), 0.7% below",1018.6836 (Historic Rise or Fall to Pivot)/1051.8336 (Avg % Gain of Historic Winning trades)/1024.94 (Exit Rule)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1104.8334 (Backtested Best)/1016.8699 (Backtested Worst),2026-03-05 (Max)/2026-01-07 (Avg),982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.34% below/0.7% below/0.7% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,2025-12-02 (Price: 7.821),7.8124 (Backtested Worst),No Date Target,2.04%/4.99%,"1.56%, 5 days","2025-12-03 (Price: 7.82), 1.56% above",8.4384 (Historic Rise or Fall to Pivot)/7.9795 (Avg % Gain of Historic Winning trades)/8.21 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/8.2213 (Backtested Best),2025-12-23 (Max)/2025-12-11 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.73,"100.0%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.46%/3.63%,"0%, 5.4%",19 days/2 days/11 days,15.05%,19.63%,-4.58%,2.34,0.75,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),2.29%/7.78%,"1.56%, 5 days","2025-12-03 (Price: 7.82), 1.56% above",7.9988 (Historic Rise or Fall to Pivot)/10.0624 (Avg % Gain of Historic Winning trades)/9.88 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/13.6829 (Backtested Best),2029-06-27 (Max)/2026-12-22 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.73,"100.0%, Past 5 years, 26",No Information,No Information,No Information,"23.66% (Price: 7.5388), 3.73% above, Upmove Bounce Back","2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",No Information,77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,12.36%,12.69%,-0.32%,0.72,0.48,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-11-24 (Price: 175.83)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),5.35%/5.39%,"-1.29%, 9 days","2025-12-03 (Price: 173.56), 1.29% below",182.9159 (Historic Rise or Fall to Pivot)/184.305 (Avg % Gain of Historic Winning trades)/192.91 (Exit Rule)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/182.84 (Moving Avg)/194.5207 (Backtested Best),2026-03-06 (Max)/2025-12-22 (Avg),170.26/126.33/151.1683/123.9058/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.29%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,1.55% below/1.29% below/1.29% below,10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,7.29%,9.5%,-2.21%,0.1,0.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
