Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 276.98)",No Exit Yet,"0.0%, 0 days","75.0%, Past 5 years, 8","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 276.98), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",387 days/40 days/121 days,2027-06-01/2026-01-14/2026-05-12,21.14%,22.72%,-1.58%,0.78,0.76,314.3169/329.3846/321.85/No Horizontal Resistance/320.8469/358.5021,271.99/110.475/267.2317/244.4067/No F-Track Level/No F-Track Level,283.43/233.69,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"BABA, Long, 2025-11-18 (Price: 159.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 17","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 159.72), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 155.6389), 2.62% above, Upmove Bounce Back","2025-04-09 (Price: 95.73), 2025-10-02 (Price: 192.67)",No Information,74.52%/8.42%/42.02%,"-0.0%, 62.51%",1022 days/45 days/383 days,2029-12-07/2026-01-22/2027-05-26,14.96%,-10.23%,25.19%,0.53,-0.05,157.2284/226.8343/217.88/No Horizontal Resistance/433.8283/634.7074,153.8/67.495/No F-Stack Support/No F-Stack Support/160.8988/168.5614,168.51/133.74,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2025-11-16 (Price: 508.94)",No Exit Yet,"-0.9%, 1 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-18 (Price: 504.37), 0.9% below",1 days,No Information,No Information,No Information,No Information,No Information,0.9% below/0.9% below/0.9% below,11.6%/2.26%/5.43%,"13.62%, 25.57%",209 days/24 days/60 days,2026-09-14/2025-12-20/2026-02-10,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/630.85/709.9376,477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level,493.55/496.0,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"-2.89%, 4 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 77.94), 2.89% below",4 days,No Information,No Information,No Information,"38.2% (Price: 74.9697), 3.96% above, Upmove Bounce Back","2025-07-24 (Price: 58.5), 2025-10-29 (Price: 85.15)",No Information,30.4%/5.7%/13.11%,"-0.0%, 27.13%",225 days/22 days/81 days,2026-10-03/2025-12-13/2026-03-09,30.08%,5.19%,24.9%,0.54,0.19,80.6693/90.7821/96.25/106.045/116.3721/144.3517,76.69/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,77.95/68.64,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"-3.04%, 5 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 230.29), 3.04% below",5 days,No Information,No Information,No Information,"38.2% (Price: 222.0575), 3.71% above, Upmove Bounce Back","2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",No Information,113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/273.8526/307.9609,233.54/72.6533/219.0648/187.3421/No F-Track Level/No F-Track Level,211.32/146.99,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"-3.26%, 12 days","95.45%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-18 (Price: 6617.3198), 3.26% below",12 days,No Information,No Information,No Information,No Information,No Information,1.06% below/3.26% below/3.26% below,17.02%/3.9%/10.39%,"7.48%, 24.77%",631 days/87 days/193 days,2028-05-01/2026-03-06/2026-08-06,9.69%,6.68%,3.01%,1.42,0.24,7449.662/7550.897/8982.34/No Horizontal Resistance/6767.7249/9765.5661,5569.06/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level,6640.02/6111.52,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
OSCILLATOR DELTA,"GILD, Long, 2025-09-18 (Price: 113.62)",2025-11-13 (Price: 125.2),"10.19%, 40 days","84.85%, Past 6 years, 33","Daily, is Confirmed on 2025-09-18",No Cancellation Possible,"2025-11-18 (Price: 127.18), 11.93% above",43 days,No Information,No Information,No Information,No Information,No Information,No Information,14.18%/5.02%/6.91%,"11.58%, 14.94%",153 days/3 days/46 days,2026-04-27/2025-09-22/2025-11-23,9.0%,10.38%,-1.38%,0.18,0.38,117.4376/121.4711/124.98/120.895/121.083/140.4376,No Recent Minima/56.9733/104.5806/96.4152/No F-Track Level/No F-Track Level,117.84/111.54,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
FRACTAL TRACK,"KWEB, Short, 2025-11-18 (Price: 37.84)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 12 years, 9","Monthly, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 37.84), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 38.4709), 1.64% below, Upmove Break Below","2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/6.98%,"19.33%, 16.82%",66 days/21 days/36 days,2026-02-21/2025-12-18/2026-01-09,21.98%,5.3%,16.68%,0.3,0.14,34.7825/35.1988/25.43/24.5062/No F-Stack Support/No F-Stack Support,42.01/24.5062/No F-Stack Support/No F-Stack Support/39.3865/41.3508,40.51/36.14,85.71%/7/46 days (Across ALL Assets),38.89%/18/73 days (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-18 (Price: 597.69)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-18 (Price: 597.69), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 4.93% below, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/11.97%,"-0.0%, 32.63%",65 days/20 days/37 days,2026-02-20/2025-12-16/2026-01-10,94.49%,5.3%,89.19%,0.68,0.8,534.2153/526.1465/172.79/280.19/591.2141/491.5059,773.44/280.19/591.2141/491.5059/525.7329/442.17,707.36/676.52,85.71%/7/46 days (Across ALL Assets),38.89%/18/73 days (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-18 (Price: 3024.5388) (Today),"21.38%, 12 days","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-18 (Price: 3024.5388), 21.38% below",12 days,No Information,No Information,No Information,"23.66% (Price: 3801.2773), 20.43% below, Upmove Break Below","2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",No Information,32.85%/5.87%/20.42%,"38.7%, 32.85%",43 days/21 days/25 days,2026-01-01/2025-11-30/2025-12-06,120.83%,5.2%,115.63%,0.39,0.97,3818.9966/3061.5065/924.54/1370.4997/3454.2267/2637.9184,4390.02/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level,3871.09/3473.21,85.71%/7/46 days (Across ALL Assets),38.89%/18/73 days (Across ALL Assets)
