Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,2025-12-17 (Price: 314.98),No Price Target,No Date Target,3.36%/5.09%,"-0.13%, 1.4 month","2025-12-18 (Price: 313.0), 0.13% below",323.5121 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/332.8834 (Backtested Max),2026-03-29 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,1.21% above/0.13% below/0.13% below,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,2025-12-17 (Price: 314.98),No Price Target,No Date Target,2.6%/5.09%,"0.6%, 1.6 month","2025-12-18 (Price: 313.0), 0.6% above",321.1381 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/330.4406 (Backtested Max),2026-03-23 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/274.75,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,1.15% above/0.6% above/0.6% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-12-12 (Price: 571.93)",Daily,No Exit Yet,No Price Target,2025-12-17 (Min),2.13%/2.15%,"-1.0%, 6 days","2025-12-18 (Price: 566.21), 1.0% below",578.3928 (Historic Rise or Fall to Pivot)/588.7447 (Avg % Gain of Historic Winning trades)/580.4 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/616.5977 (Backtested Max)/578.2784 (Backtested Min),2026-05-13 (Max)/2026-02-06 (Avg),537.55/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,0.5% above/1.0% below/1.0% below,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-06-08 (Price: 590.12)",Weekly,No Exit Yet,No Price Target,2025-12-20 (Avg),6.32%/9.34%,"-4.05%, 6.4 months","2025-12-18 (Price: 566.21), 4.05% below",665.4783 (Historic Rise or Fall to Pivot)/619.0949 (Avg % Gain of Historic Winning trades)/727.51 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/637.5066 (Backtested Max)/601.9814 (Backtested Min),2026-05-17 (Max)/2025-12-20 (Avg),489.77/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/528.51,"84.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,3.31% below/4.05% below/4.05% below,8.03%/2.01%/4.91%,"14.55%, 37.99%",7.9 months/1.2 month/4.5 months,8.27%,16.14%,-7.87%,0.32,0.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",Daily,2025-12-15 (Price: 126.75),127.4424 (Historic Rise or Fall to Pivot)/127.6135 (Backtested Max),No Date Target,0.92%/5.22%,"4.33%, 13 days","2025-12-18 (Price: 127.49), 4.33% above",134.15 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2),2026-02-03 (Max)/2025-12-22 (Avg),113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,6.16% above/4.33% above/4.33% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1.4 month/4 days/12 days,5.23%,5.65%,-0.42%,1.2,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-12-14 (Price: 125.8)",Weekly,No Exit Yet,127.448 (Backtested Min),No Date Target,0.92%/5.17%,"1.34%, 4 days","2025-12-18 (Price: 127.49), 1.34% above",134.9205 (Historic Rise or Fall to Pivot)/134.0776 (Avg % Gain of Historic Winning trades)/141.61 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/141.2986 (Backtested Max),2028-07-09 (Max)/2026-01-23 (Min)/2026-07-06 (Avg),81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/100.5,"90.0%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,1.34% above/3.26% above/1.34% above,12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,7.49%,5.65%,1.84%,1.01,0.31,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,2025-12-07 (Price: 3238.2),3265.7187 (Historic Rise or Fall to Pivot)/3277.2263 (Avg % Gain of Historic Winning trades)/3271.47 (Exit Rule),No Date Target,5.28%/38.49%,"8.34%, 2.2 months","2025-12-18 (Price: 3280.8), 8.34% above",4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3454.079 (Backtested Max),2026-01-02 (Max),2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,5.93%,8.39%,-2.46%,0.21,0.46,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",Daily,No Exit Yet,3279.96 (EMA 200),No Date Target,0.27%/1.8%,"1.32%, 13 days","2025-12-18 (Price: 3280.8), 1.32% above",3389.4239 (Historic Rise or Fall to Pivot)/3339.8795 (Avg % Gain of Historic Winning trades)/3396.9 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3503.0848 (Backtested Max)/3289.6874 (Backtested Min),2026-06-14 (Max)/2026-01-17 (Avg),2990.2/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.6% above/1.32% above/1.32% above,8.18%/1.59%/3.14%,"12.98%, 25.8%",4.4 months/6 days/1 month,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2024-10-13 (Price: 51.71)",Weekly,2025-12-18 (Price: 43.41) (Today),No Price Target,No Date Target,19.19%/20.8%,"-16.05%, 1.2 year","2025-12-18 (Price: 43.41), 16.05% below",52.7907 (Historic Rise or Fall to Pivot)/55.3711 (Avg % Gain of Historic Winning trades)/51.74 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/61.5918 (Backtested Max)/52.4391 (Backtested Min),No Next Date Target,43.4/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/48.05,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,9.98% below/16.05% below/16.05% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2024-04-07 (Price: 55.16)",Weekly,2025-12-18 (Price: 43.41) (Today),No Price Target,No Date Target,28.86%/29.72%,"-21.3%, 1.7 year","2025-12-18 (Price: 43.41), 21.3% below",56.3128 (Historic Rise or Fall to Pivot)/59.0653 (Avg % Gain of Historic Winning trades)/64.58 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/65.7011 (Backtested Max)/55.9378 (Backtested Min),No Next Date Target,40.81/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/43.33,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,13.86% below/21.3% below/21.3% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
