"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AMZN, Long, 2026-02-09 (Price: 208.72)",No Exit Yet,"0.0%, 0 days","77.78%, Past 5 years, 9","Daily, is CONFIRMED on 2026-02-09",No Cancellation Possible,"2026-02-09 (Price: 208.72), 0.0% below",0 days,26.36%/3.34%/12.67%,"19.29%, 44.64%",1.1 year/1.4 month/5.4 months,2027-09-05/2026-04-10/2026-10-01,12.12%,5.4%,6.72%,0.45,0.29,214.0841/235.1648/224.62/239.3/257.1563/274.1043/223.33,208.47/86.995/194.9126/182.8127/No support/No support/No EMA 200 Support,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"GOOG, Long, 2026-02-09 (Price: 324.4)",No Exit Yet,"0.0%, 0 days","80.0%, Past 5 years, 5","Daily, is CONFIRMED on 2026-02-09",No Cancellation Possible,"2026-02-09 (Price: 324.4), 0.0% below",0 days,53.29%/6.13%/19.77%,"21.12%, 44.6%",6.1 months/1.6 month/4.1 months,2026-11-01/2026-04-19/2026-08-04,12.93%,19.29%,-6.36%,0.41,0.99,347.7892/388.5339/368.16/No Horizontal Resistance/480.687/701.5153/No EMA 200 Target,323.1/84.51/306.4481/243.1061/301.0579/270.8888/240.68,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"NVDA, Long, 2026-02-05 (Price: 171.88)",No Exit Yet,"10.57%, 4 days","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2026-02-05",No Cancellation Possible,"2026-02-09 (Price: 190.04), 10.57% above",4 days,187.75%/14.49%/86.34%,"27.12%, 66.36%",1.6 year/1.8 month/6.9 months,2028-05-19/2026-04-24/2026-12-01,71.39%,44.79%,26.6%,0.89,1.73,263.6639/320.2812/291.97/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,170.94/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level/170.11,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"NOVA.F, Long, 2026-02-05 (Price: 36.7)",No Exit Yet,"12.4%, 4 days","75.0%, Past 5 years, 4","Daily, was CONFIRMED on 2026-02-05",No Cancellation Possible,"2026-02-09 (Price: 41.25), 12.4% above",4 days,23.34%/6.4%/15.61%,"46.83%, 59.36%",3.3 months/1.9 month/2.6 months,2026-06-28/2026-04-28/2026-05-28,-4.0%,5.41%,-9.41%,-0.0,0.29,39.9516/42.4289/41.19/126.5/138.0871/146.706/50.38,No Recent Minima/No Horizontal Support/33.7767/28.7825/No F-Track Level/No F-Track Level/No EMA 200 Support,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"GBPUSD=X, Long, 2025-10-30 (Price: 1.3195)",2026-02-05 (Price: 1.3645),"3.41%, 3.3 months","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2025-10-30",No Cancellation Possible,"2026-02-06 (Price: 1.3521), 2.47% above",3.3 months,5.08%/0.79%/2.49%,"10.95%, 16.78%",6.9 months/1 month/2.7 months,2026-08-25/2025-12-12/2026-02-24,3.87%,-0.1%,3.97%,0.28,-0.51,1.3417/1.3524/1.35/1.4232/2.4421/3.2078/1.34,No support/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"EURUSD=X, Long, 2025-10-10 (Price: 1.1566)",2026-02-06 (Price: 1.1778) (Today),"1.83%, 4 months","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-02-06 (Price: 1.1778), 1.83% above",4 months,4.81%/3.51%/4.02%,"8.62%, 11.16%",1.1 year/1.8 month/5.7 months,2027-05-06/2025-12-27/2026-06-14,0.34%,-0.58%,0.92%,-0.06,-0.67,1.1611/1.2031/1.18/1.2286/1.6296/1.7649/1.16,1.14/1.0256/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"NA.TO, Long, 2025-02-23 (Price: 124.43)",2026-02-01 (Price: 162.25),"30.39%, 11.4 months","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,"2026-02-09 (Price: 172.26), 38.44% above",11.7 months,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,2030-06-06/2026-04-03/2028-01-01,11.98%,7.53%,4.45%,1.22,0.44,128.4242/165.2679/146.85/No Horizontal Resistance/188.6608/207.1743/150.57,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,90.0%/10/1.8 year (Across ALL Assets),80.0%/85/1.2 year (Across ALL Assets)
"GBPSGD=X, Long, 2024-08-02 (Price: 1.7014)",2026-02-05 (Price: 1.7364),"2.06%, 1.5 year","75.0%, Past 5 years, 8","Daily, was CONFIRMED on 2024-08-02",No Cancellation Possible,"2026-02-06 (Price: 1.7247), 1.37% above",1.5 year,5.0%/0.6%/2.26%,"10.44%, 15.22%",7.1 months/1.2 month/3.4 months,2025-06-06/2024-09-23/2024-12-27,0.58%,-0.49%,1.07%,-0.02,-0.86,1.7159/1.7399/1.73/1.8874/4.0285/5.5304/1.73,1.69/1.6684/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"^TNX, Long, 2024-03-08 (Price: 4.089)",2026-02-05 (Price: 4.21),"2.96%, 1.9 year","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2024-03-08",No Cancellation Possible,"2026-02-09 (Price: 4.198), 2.67% above",2 years,24.4%/3.3%/13.57%,"-0.0%, 25.18%",7.9 months/1.5 month/4.1 months,2025-02-14/2024-05-12/2024-08-31,22.48%,24.06%,-1.58%,0.89,1.16,3.9508/4.6439/4.3/No Horizontal Resistance/17.4008/18.8284/4.23,3.86/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,80.25%/81/6 months (Across ALL Assets),72.79%/283/4.6 months (Across ALL Assets)
"JPY=X, Long, 2023-12-31 (Price: 141.43)",2026-02-01 (Price: 153.162),"8.3%, 2.1 years","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2023-12-31",No Cancellation Possible,"2026-02-08 (Price: 156.784), 10.86% above",2.1 years,4.36%/0.69%/2.53%,"3.04%, 15.82%",4.3 years/8.9 months/2.5 years,2030-02-19/2025-01-20/2027-07-26,2.69%,2.94%,-0.25%,0.15,0.02,139.3368/145.0082/142.17/151.92/156.7717/175.8568/150.15,138.07/103.3558/138.2059/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,90.0%/10/1.8 year (Across ALL Assets),80.0%/85/1.2 year (Across ALL Assets)
