Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",Daily,No Exit Yet,No Price Target,2025-12-13 (Min),2.76%/3.06%,"-1.43%, 6 days","2025-12-11 (Price: 3191.8999), 1.43% below",3389.4239 (Historic Rise or Fall to Pivot)/3339.8795 (Avg % Gain of Historic Winning trades)/3396.9 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3279.96 (EMA 200)/3503.0848 (Backtested Max)/3289.6874 (Backtested Min),2026-06-14 (Max)/2025-12-13 (Min)/2026-01-17 (Avg),2990.2/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.16% below/1.43% below/1.43% below,8.18%/1.59%/3.14%,"12.98%, 25.8%",4 days/6 days/1 day,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11548.57B
TRENDPULSE,"TCS.NS, Long, 2025-06-10 (Price: 3462.8999)",Daily,2025-12-11 (Price: 3191.8999) (Today),No Price Target,No Date Target,10.22%/11.9%,"-7.83%, 6 days","2025-12-11 (Price: 3191.8999), 7.83% below",3624.6173 (Historic Rise or Fall to Pivot)/3571.635 (Avg % Gain of Historic Winning trades)/4063.59 (Exit Rule)/4543.575 (Horizontal)/5142.5725 (F-Stack 1)/5692.579 (F-Stack 2)/3955.18 (EMA 200)/3746.1651 (Backtested Max)/3517.96 (Backtested Min),2025-12-18 (Max),3371.1/2911.025/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,5.68% below/7.83% below/7.83% below,8.18%/1.59%/3.14%,"12.98%, 25.8%",4 days/6 days/1 day,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11548.57B
TRENDPULSE,"SONY, Long, 2025-09-26 (Price: 29.78)",Daily,No Exit Yet,No Price Target,2025-12-13 (Max),15.63%/17.72%,"-10.24%, 2 days","2025-12-11 (Price: 26.73), 10.24% below",31.9003 (Historic Rise or Fall to Pivot)/30.9087 (Avg % Gain of Historic Winning trades)/32.7 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/31.4655 (Backtested Max),2025-12-13 (Max),26.95/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/24.72,"85.71%, Past 4 years, 21",No Information,No Information,No Information,No Information,No Information,10.24% below/10.24% below/10.24% below,5.66%/0.97%/3.79%,"9.71%, 32.85%",1 day/6 days/1 day,10.39%,9.44%,0.95%,0.33,0.49,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),159.40B
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",Monthly,2025-12-11 (Price: 26.73) (Today),No Price Target,No Date Target,9.03%/9.91%,"5.28%, 8 days","2025-12-11 (Price: 26.73), 5.28% above",29.1426 (Historic Rise or Fall to Pivot)/32.8343 (Avg % Gain of Historic Winning trades)/29.38 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/37.6204 (Backtested Max),2027-02-06 (Max)/2026-05-22 (Avg),16.47/14.992/24.8529/22.354/No F-Track Level/No F-Track Level/19.99,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,21.44% above/7.05% above/5.28% above,48.17%/7.34%/29.32%,"31.07%, 31.13%",1 day/5 days/9 days,7.48%,2.09%,5.39%,0.95,0.13,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),159.40B
FRACTAL TRACK,"WPM.TO, Long, 2025-11-25 (Price: 144.58)",Daily,2025-12-11 (Price: 161.5) (Today),No Price Target,2025-12-13 (Min),2.61%/11.48%,"11.7%, 16 days","2025-12-11 (Price: 161.5), 11.7% above",198.14 (Exit Rule)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/165.7176 (Backtested Max),2027-06-21 (Max)/2025-12-13 (Min)/2026-06-04 (Avg),139.91/52.782/133.3839/125.3844/No F-Track Level/No F-Track Level/128.42,"95.0%, Past 5 years, 20",No Information,No Information,No Information,"23.66% (Price: 139.3211), 15.92% above, Upmove Bounce Back","2024-06-28 (Price: 71.18), 2025-10-16 (Price: 160.44)",No Information,14.62%/2.13%/10.44%,"0.62%, 39.55%",1 day/13 days/4 days,33.25%,15.97%,17.28%,1.94,0.81,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),73.32B
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,161.2049 (Avg % Gain of Historic Winning trades),No Date Target,2.3%/3.67%,"5.23%, 13 days","2025-12-11 (Price: 161.5), 5.23% above",165.2105 (Historic Rise or Fall to Pivot)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/167.4204 (Backtested Max),2026-06-07 (Max)/2026-01-10 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"78.95%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,8.08% above/5.23% above/5.23% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4 days/6 days/1 day,12.04%,18.03%,-5.99%,0.06,0.87,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),73.32B
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",Monthly,2025-11-30 (Price: 168.95),170.8442 (Avg % Gain of Historic Winning trades),No Date Target,5.13%/9.33%,"22.8%, 5 days","2025-12-11 (Price: 172.56), 22.8% above",222.66 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/181.4113 (Backtested Max),2032-01-22 (Max)/2025-12-20 (Min)/2027-08-21 (Avg),118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/140.12,"92.86%, Past 42 years, 14",No Information,No Information,No Information,"23.66% (Price: 108.7595), 58.66% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,29.1%/8.19%/21.58%,"3.99%, 52.46%",4 days/4 days/1 day,8.81%,8.57%,0.24%,1.75,0.52,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),67.67B
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,2025-12-10 (Price: 173.13),No Price Target,No Date Target,0.4%/1.73%,"2.14%, 13 days","2025-12-11 (Price: 172.56), 2.14% above",175.539 (Historic Rise or Fall to Pivot)/173.2582 (Avg % Gain of Historic Winning trades)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Max),2026-04-07 (Max)/2026-01-03 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"78.26%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,2.14% above/2.14% above/2.14% above,4.34%/1.0%/2.55%,"4.62%, 23.98%",3 days/6 days/25 days,10.68%,10.38%,0.3%,0.34,0.57,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),67.67B
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",Weekly,No Exit Yet,3.6453 (Backtested Max),No Date Target,4.95%/119.37%,"5.51%, 25 days","2025-12-11 (Price: 3.64), 5.51% above",3.82 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-06-12 (Max)/2026-04-17 (Min)/2027-01-24 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,4.3% above/5.51% above/5.51% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1 day/3 days/10 days,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),3.94B
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",Weekly,No Exit Yet,3.6488 (Avg % Gain of Historic Winning trades),No Date Target,1.02%/67.03%,"4.6%, 2 days","2025-12-11 (Price: 3.64), 4.6% above",6.08 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/3.677 (Backtested Max),2027-05-01 (Max)/2026-03-06 (Min)/2026-12-13 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,15.92% above/4.6% above/4.6% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1 day/3 days/10 days,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),3.94B
