"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"EEM, Long, 2025-12-30 (Price: 54.88)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2025-12-30 (Price: 54.88), 0.0% below",0 days,"2, 2025-10-29 (Price: 56.01)",2025-12-29 (Price: 54.66),2025-12-30 (Price: 54.88),1/0/0 days,0.4% above/0.0% below/0.0% below,2025-10-29 (Price: 56.2459)/2025-12-30 (Price: 54.6018),4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-05-13/2026-01-07/2026-01-29,2.19%,2.36%,-0.17%,0.01,0.07,57.3606/56.3288/55.56/56.245/59.1317/64.643/No EMA 200 Target,52.6/37.485/54.2403/No support/51.8258/51.1028/49.59,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"ATM.NZ, Long, 2025-12-30 (Price: 10.75)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2025-12-30 (Price: 10.75), 0.0% below",0 days,"2, 2025-10-29 (Price: 10.7)",2025-12-29 (Price: 10.65),2025-12-30 (Price: 10.75),1/0/0 days,0.94% above/0.0% below/0.0% below,2025-10-29 (Price: 11.2162)/2025-12-30 (Price: 10.5267),26.28%/1.03%/6.36%,"44.18%, 64.86%",2 months/7 days/21 days,2026-03-26/2026-01-09/2026-01-29,7.95%,-3.89%,11.85%,0.35,-0.06,11.2047/11.4337/10.78/10.965/21.0083/25.9428/No EMA 200 Target,10.1/5.2267/8.0863/5.0358/10.6442/No support/9.49,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"JPY=X, Long, 2025-12-30 (Price: 156.463)",No Exit Yet,"0.0%, 0 days","73.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 155.887 prior to 2025-12-31,"2025-12-29 (Price: 156.463), 0.0% below",0 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-22 (Price: 157.676),29/7/1 days,0.11% above/0.77% below/0.0% below,2024-06-30 (Price: 162.4562)/2025-12-30 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-26/2026-08-04/2027-02-02,-1.08%,0.88%,-1.96%,0.37,-0.3,172.3127/173.5644/159.0/159.6618/175.8568/187.2285/No EMA 200 Target,142.3/109.702/138.2059/No support/No support/No support/148.69,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-30 (Price: 304.92)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-30 (Price: 304.92), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-30 (Price: 304.92),2025-11-21 (Price: 270.83),0/39/0 days,0.0% below/12.59% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-30 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-15/2027-11-07/2028-09-15,16.0%,8.74%,7.26%,0.66,0.45,406.8852/450.5193/469.45/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/245.74,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"BAC, Long, 2025-12-30 (Price: 55.28)",No Exit Yet,"0.0%, 0 days","76.92%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 53.5 prior to 2025-12-31,"2025-12-30 (Price: 55.28), 0.0% below",0 days,"4, 2022-08-31 (Price: 33.61)",2025-11-30 (Price: 53.65),2025-12-29 (Price: 55.35),30/1/0 days,3.04% above/0.13% below/0.0% below,2022-08-31 (Price: 37.3153)/2025-12-30 (Price: 51.7863),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-11-07/2026-08-04/2027-01-25,4.68%,2.37%,2.31%,0.29,0.18,64.3901/65.3133/68.28/No Horizontal Resistance/60.5768/64.246/No EMA 200 Target,26.34/29.49/50.5717/44.5293/49.3976/45.0021/47.62,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-30 (Price: 3.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-30 (Price: 3.65), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-12-30 (Price: 3.65),60/0/0 days,11.96% above/0.0% below/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-30 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-21/2026-08-04/2026-08-17,5.5%,0.69%,4.81%,1.23,0.0,4.2647/4.4121/5.82/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.22,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-30 (Price: 68.78)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-30 (Price: 68.78), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-30 (Price: 68.78),2025-12-30 (Price: 68.78),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-30 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-25/2026-08-04/2027-01-03,9.96%,11.66%,-1.7%,0.82,0.67,106.6365/77.914/69.21/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.84,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-30 (Price: 73.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-30 (Price: 73.76), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-30 (Price: 73.76),91/0/0 days,20.17% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-30 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-25/2027-11-07/2028-04-12,16.49%,8.5%,7.99%,0.7,0.42,152.1448/190.913/99.01/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/55.31,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"EFA, Long, 2025-12-30 (Price: 96.44)",No Exit Yet,"0.0%, 0 days","80.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 95.5568 prior to 2025-12-31,"2025-12-30 (Price: 96.44), 0.0% below",0 days,"2, 2023-06-30 (Price: 72.5)",2025-12-30 (Price: 96.44),2025-12-26 (Price: 96.57),0/4/0 days,0.0% below/0.13% below/0.0% below,2023-06-30 (Price: 74.0386)/2025-12-30 (Price: 95.0814),18.42%/4.43%/10.16%,"13.47%, 23.01%",1.5 year/5 months/8.9 months,2028-02-20/2026-08-04/2027-01-20,4.72%,2.4%,2.32%,0.44,0.03,108.6589/106.2383/110.8/No Horizontal Resistance/98.2071/106.1972/No EMA 200 Target,75.61/66.265/86.3568/75.1989/85.1901/77.6744/90.03,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"NFLX, Long, 2025-12-29 (Price: 94.15)",No Exit Yet,"-0.39%, 1 day","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-30 (Price: 93.78), 0.39% below",1 day,"2, 2025-11-05 (Price: 109.846)",2025-12-26 (Price: 94.47),2025-12-29 (Price: 94.15),4/1/1 days,0.73% below/0.39% below/0.39% below,2025-11-05 (Price: 122.7653)/2025-12-29 (Price: 92.5369),7.15%/0.45%/3.32%,"0.57%, 20.2%",2.8 months/7 days/1.5 month,2026-04-29/2026-01-08/2026-03-04,16.89%,16.03%,0.86%,1.0,0.73,96.2684/97.2758/103.57/No Horizontal Resistance/139.352/152.4292/113.4,93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
