"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AAPL, Long, 2025-12-10 (Price: 278.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-10 (Price: 278.78), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),64.68% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 day/9 days/10 days,2027-05-15/2027-01-09/2027-03-15,12.11%,12.37%,-0.26%,1.91,0.56,400.0772/378.1651/421.42/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/275.1059/248.4166/260.3676/243.0054/228.62,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"HDB, Long, 2025-12-10 (Price: 35.42)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-10 (Price: 35.42), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),2.48% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3 days/4 days/1 day,2030-08-26/2026-06-04/2027-12-08,8.78%,11.88%,-3.1%,0.83,0.59,41.0766/43.8393/43.66/39.3812/45.6752/50.9526/35.76,26.75/25.6925/29.7659/26.539/34.266/32.555/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"MSFT, Long, 2025-12-10 (Price: 478.56)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 464.89 prior to 2025-12-12,"2025-12-10 (Price: 478.56), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.75% above,"2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",25.02%/6.95%/15.92%,"0%, 45.68%",3 days/1 day/11 days,2031-03-23/2026-02-08/2027-04-19,11.58%,10.65%,0.93%,3.32,0.59,511.6764/554.7468/604.96/554.585/574.7462/615.9561/No EMA 200 Target,472.12/216.39/452.6681/384.4933/474.9779/450.12/471.05,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"AMD, Long, 2025-12-10 (Price: 221.42)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 194.28 prior to 2025-12-12,"2025-12-10 (Price: 221.42), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 194.2708),13.97% above,"2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1 day/7 days/9 days,2028-07-05/2025-12-20/2027-01-26,11.53%,7.36%,4.17%,1.23,0.44,290.2152/266.1026/335.78/No Horizontal Resistance/269.2327/283.8155/No EMA 200 Target,151.14/72.6533/210.12/167.5998/No support/194.2708/154.81,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TCS.NS, Long, 2025-12-10 (Price: 3189.2)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-10 (Price: 3189.2), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),13.53% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1 day/3 days/8 days,2027-10-18/2026-04-19/2026-12-05,7.28%,13.73%,-6.45%,0.82,0.62,3319.9572/3817.7913/5328.98/4543.575/No Next Fib Ext/No Next Fib Ext/3269.56,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3116.0412/No support/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"FPH.NZ, Long, 2025-12-10 (Price: 37.89)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-10 (Price: 37.89), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),8.4% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6 days/4 days/3 days,2035-01-29/2026-06-01/2030-08-26,4.68%,9.29%,-4.61%,0.75,0.49,47.2261/45.9644/49.42/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.18,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"SUM.NZ, Long, 2025-12-10 (Price: 11.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-10 (Price: 11.82), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),10.06% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1 day/1 day/1 day,2027-10-18/2027-05-15/2027-07-06,11.55%,11.73%,-0.18%,0.86,0.59,12.1344/17.1319/15.06/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/11.3772/10.74/11.41,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"UBER, Long, 2025-12-07 (Price: 91.32)",No Exit Yet,"-7.84%, 3 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-10 (Price: 84.16), 7.84% below",3 days,Upmove Bounce Back,23.66% (Price: 82.5663),1.93% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1 day/14 days/29 days,2026-02-14/2025-12-27/2026-01-18,23.54%,8.01%,15.53%,14.78,0.43,82.3706/106.5339/140.58/No Horizontal Resistance/99.1711/103.8185/No EMA 200 Target,83.87/34.6025/88.7885/84.8096/No F-Track Level/No F-Track Level/87.42,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"XLY, Long, 2025-12-07 (Price: 119.73)",No Exit Yet,"-0.02%, 3 days","92.86%, Past 20 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-10 (Price: 119.71), 0.02% below",3 days,Upmove Bounce Back,38.2% (Price: 108.2727),10.56% above,"2025-04-13 (Price: 86.55), 2025-09-21 (Price: 121.7)",19.19%/0.05%/14.75%,"14.45%, 57.22%",4 days/7 days/1 day,2032-05-10/2025-12-17/2027-07-03,8.81%,7.06%,1.75%,1.55,0.38,130.0028/137.3902/140.82/120.92/125.4815/133.9156/No EMA 200 Target,112.75/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/109.92,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"-1.22%, 3 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-10 (Price: 538.86), 1.22% below",3 days,Upmove Bounce Back,38.2% (Price: 535.7184),0.59% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1 day/1 day/6 days,2028-03-20/2026-02-05/2026-09-11,14.25%,18.73%,-4.48%,1.65,0.96,592.3256/634.3307/649.27/592.9033/716.5814/751.3605/559.42,540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
