"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SOXX, Long, 2026-02-03 (Price: 352.69)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.26 prior to 2026-02-27,"2026-02-02 (Price: 352.69), 0.0% below",0 days,"0, 2021-02-28 (Price: 138.97)",2026-01-31 (Price: 346.3),2026-02-02 (Price: 352.69),2/0/1 days,1.85% above/0.0% below/0.0% below,2021-02-28 (Price: 156.6767)/2026-02-03 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-04-22/2026-09-08/2026-10-30,-3.69%,7.35%,-11.04%,0.06,0.38,396.741/406.7574/480.92/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,183.84/110.475/267.2317/244.4067/312.8151/281.4828/262.34,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),342.26
"BNS.TO, Long, 2026-02-03 (Price: 102.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-02 (Price: 102.8), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-02-03 (Price: 102.8),125/1/1 days,14.23% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-02-03 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-14/2028-03-26/2032-02-02,6.77%,6.25%,0.52%,1.08,0.33,116.092/112.5146/110.72/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/92.5303/85.4202/85.27,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),101.58
"BPCL.NS, Long, 2026-02-03 (Price: 373.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 353.0 prior to 2026-02-06,"2026-02-03 (Price: 373.45), 0.0% below",0 days,"0, 2021-10-17 (Price: 229.65)",2026-01-25 (Price: 349.15),2026-02-03 (Price: 373.45),9/0/0 days,6.96% above/0.0% below/0.0% below,2021-10-17 (Price: 443.2312)/2026-02-03 (Price: 345.6375),29.59%/1.78%/10.75%,"-0.0%, 47.09%",8.2 months/28 days/2.8 months,2027-01-23/2026-03-15/2026-06-04,7.83%,8.79%,-0.96%,0.84,0.44,401.3467/413.5959/459.73/378.775/393.108/467.0257/No EMA 200 Target,349.15/145.35/372.4081/353.1485/330.39/294.8942/337.5,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),353.0
"DIA, Long, 2026-02-03 (Price: 494.03)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 18","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 489.11 prior to 2026-02-27,"2026-02-02 (Price: 494.03), 0.0% below",0 days,"0, 2021-02-28 (Price: 309.45)",2026-01-31 (Price: 489.03),2026-02-02 (Price: 494.03),2/0/1 days,1.02% above/0.0% below/0.0% below,2021-02-28 (Price: 343.7129)/2026-02-03 (Price: 484.37),12.39%/4.81%/9.37%,"2.58%, 49.08%",2.6 years/8.1 months/1.2 year,2029-10-20/2027-01-20/2027-10-21,0.09%,4.27%,-4.18%,1.94,0.19,535.1333/540.3206/604.78/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/326.1/398.0316/329.7358/465.5773/446.6724/453.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),489.11
"IWM, Long, 2026-02-03 (Price: 262.18)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-02 (Price: 262.18), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-02-03 (Price: 262.18),33/1/1 days,6.51% above/0.0% below/0.0% below,2021-09-30 (Price: 244.4167)/2026-02-03 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-09 (Max),3.33%,4.39%,-1.06%,0.87,0.2,241.3367/321.1181/288.24/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/231.65,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),247.63
"EFA, Long, 2026-02-03 (Price: 101.4)",No Exit Yet,"0.0%, 0 days","85.71%, Past 10 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 101.35 prior to 2026-02-06,"2026-02-02 (Price: 101.4), 0.0% below",0 days,"2, 2025-08-24 (Price: 93.23)",2026-01-25 (Price: 99.97),2026-02-03 (Price: 101.4),8/1/1 days,1.43% above/0.0% below/0.0% below,2025-08-24 (Price: 93.5933)/2026-02-03 (Price: 99.3578),7.21%/1.24%/3.66%,"13.66%, 23.59%",7.2 months/1.2 month/3.1 months,2026-12-12/2026-03-27/2026-06-17,2.99%,2.36%,0.63%,0.4,0.03,104.6042/105.1112/106.3/No Horizontal Resistance/98.2071/106.1972/No EMA 200 Target,75.02/66.265/86.3568/75.1989/88.9308/80.7026/92.05,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),101.35
"CEN.NZ, Long, 2026-02-02 (Price: 9.48)",No Exit Yet,"-1.79%, 1 day","88.89%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-03 (Price: 9.31), 1.79% below",1 day,"2, 2025-11-20 (Price: 9.39)",2026-02-02 (Price: 9.48),2026-02-02 (Price: 9.48),1/1/1 days,1.79% below/1.79% below/1.79% below,2025-11-20 (Price: 9.9246)/2026-02-02 (Price: 9.2842),7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,2026-07-12/2026-02-12/2026-03-26,-0.65%,3.46%,-4.11%,0.55,0.15,9.6393/9.7834/9.53/9.85/11.2606/15.4512/No EMA 200 Target,9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),9.35
"ASML, Long, 2026-02-01 (Price: 1423.0)",No Exit Yet,"1.29%, 2 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 1441.39), 1.29% above",2 days,"2, 2025-07-20 (Price: 734.58)",2026-01-18 (Price: 1358.5699),2026-02-01 (Price: 1423.0),15/1/1 days,6.1% above/1.29% above/1.29% above,2025-07-20 (Price: 838.5197)/2026-02-01 (Price: 1290.8753),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-22/2026-03-25/2026-07-03,11.7%,15.27%,-3.57%,1.0,0.74,1574.6918/1597.3175/1836.05/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/907.93,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),1385.87
"^BVSP, Long, 2026-02-01 (Price: 181364.0)",No Exit Yet,"0.79%, 2 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 182793.4062), 0.79% above",2 days,"2, 2025-05-25 (Price: 137824.0)",2026-01-25 (Price: 178859.0),2026-02-01 (Price: 181364.0),8/1/1 days,2.2% above/0.79% above/0.79% above,2025-05-25 (Price: 137058.4603)/2026-02-01 (Price: 167924.5662),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-28/2026-03-13/2026-06-28,7.52%,4.03%,3.49%,2.1,0.18,189779.2896/191538.5204/207488.0/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),178859.0
"BTI, Long, 2026-02-01 (Price: 60.68)",No Exit Yet,"0.51%, 2 days","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 60.99), 0.51% above",2 days,"2, 2025-08-17 (Price: 57.15)",2026-02-01 (Price: 60.68),2026-02-01 (Price: 60.68),1/1/1 days,0.51% above/0.51% above/0.51% above,2025-08-17 (Price: 59.3094)/2026-02-01 (Price: 58.8444),17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-11/2026-03-25/2026-06-28,-1.73%,1.97%,-3.7%,0.5,0.04,64.7274/66.032/62.8/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,55.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),59.3
