Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-02-03 (Price: 187.65)",Daily,No Exit Yet,195.7002 (Historic Rise or Fall to Pivot),No Date Target,0.92%/4.52%,"4.32%, 15 days","2026-02-18 (Price: 195.75), 4.32% above",204.5948 (Avg % Gain of Historic Winning trades)/259.67 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/209.6801 (Backtested Max),2027-01-29 (Max)/2026-03-03 (Min)/2026-06-13 (Avg),183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.19%, Past 5 years, 27",187.4,No Information,No Information,No Information,"23.66% (Price: 181.5609), 7.82% above, Upmove Bounce Back","2023-12-15 (Price: 89.93), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-12-28 (Price: 205.3)",Weekly,No Exit Yet,No Price Target,2026-02-18 (Min),7.59%/8.79%,"-4.65%, 1.7 month","2026-02-18 (Price: 195.75), 4.65% below",241.3096 (Historic Rise or Fall to Pivot)/223.2022 (Avg % Gain of Historic Winning trades)/210.6 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/235.5202 (Backtested Max)/212.9577 (Backtested Min),2026-07-07 (Max)/2026-03-11 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/182.17,"100.0%, Past 10 years, 15",202.62,No Information,No Information,No Information,No Information,No Information,4.65% below/4.65% below/4.65% below,14.72%/3.73%/8.72%,"-0.0%, 10.74%",4.4 months/1.2 month/1.7 month,10.04%,18.73%,-8.69%,2.04,1.19,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-18 (Price: 195.75),No Price Target,No Date Target,4.39%/7.23%,"10.91%, 8.8 months","2026-02-18 (Price: 195.75), 10.91% above",209.8938 (Historic Rise or Fall to Pivot)/204.3517 (Avg % Gain of Historic Winning trades)/279.99 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-09 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",170.49,No Information,No Information,No Information,No Information,No Information,10.91% above/14.15% above/10.91% above,24.69%/6.61%/15.78%,"0%, 12.12%",1 year/5 months/9.3 months,8.62%,19.19%,-10.57%,2.59,1.27,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,No Exit Yet,No Price Target,2026-02-15 (Min),7.5%/10.26%,"0.42%, 3.1 months","2026-02-18 (Price: 195.75), 0.42% above",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/188.68,"84.81%, Past 10 years, 79",184.95,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-18 (Price: 200.12),No Price Target,No Date Target,25.6%/68.92%,"13.5%, 6.7 months","2026-02-18 (Price: 200.12), 13.5% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,80.73% above/38.82% above/13.5% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-18 (Price: 200.12),No Price Target,No Date Target,84.46%/94.09%,"3.94%, 2 years","2026-02-18 (Price: 200.12), 3.94% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,35.76% above/10.04% above/3.94% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-18 (Price: 200.12),No Price Target,No Date Target,60.66%/69.05%,"19.34%, 2.1 years","2026-02-18 (Price: 200.12), 19.34% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,35.76% above/36.9% above/19.34% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-02-18 (Price: 97.58),95.9858 (Backtested Min),No Date Target,3.64%/4.36%,"22.57%, 3.7 months","2026-02-18 (Price: 97.58), 22.57% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 30.3% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-02-18 (Price: 97.58),99.7058 (Historic Rise or Fall to Pivot),No Date Target,2.89%/14.53%,"24.32%, 7.8 months","2026-02-18 (Price: 97.58), 24.32% above",100.4044 (Avg % Gain of Historic Winning trades)/135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 58.0% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-01-11 (Price: 88.81)",Weekly,No Exit Yet,97.8686 (Avg % Gain of Historic Winning trades),No Date Target,1.55%/12.76%,"9.88%, 1.3 month","2026-02-18 (Price: 97.58), 9.88% above",99.0942 (Historic Rise or Fall to Pivot)/111.17 (Function Specific Target)/123.2166 (F-Stack 2)/110.0356 (Backtested Max),2027-06-16 (Max)/2026-03-04 (Min)/2026-08-03 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/78.08,"84.62%, Past 10 years, 26",86.08,No Information,No Information,No Information,No Information,No Information,9.88% above/11.37% above/9.88% above,23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,12.95%,11.64%,1.31%,0.84,0.65,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
