Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
FRACTAL TRACK,"TRI.TO, Long, 2025-10-26 (Price: 227.55)",Weekly,No Exit Yet,No Price Target,2025-12-14 (Min),29.44%/35.14%,"-21.66%, 1 day (business days)","2025-12-09 (Price: 178.26), 21.66% below",243.2965 (Historic Rise or Fall to Pivot)/291.2868 (Avg % Gain of Historic Winning trades)/375.05 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/242.34 (EMA 200)/426.9521 (Backtested Max)/230.7357 (Backtested Min),2028-09-30 (Max)/2025-12-14 (Min)/2026-12-12 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"95.0%, Past 20 years, 20",No Information,No Information,No Information,"38.2% (Price: 205.33), 13.18% below, Upmove Bounce Back","2018-05-13 (Price: 53.4023), 2025-07-20 (Price: 299.24)",No Information,87.63%/1.4%/28.01%,"1.51%, 22.04%",2.1 years (calendar days)/1.1 month (calendar days)/9.5 months (calendar days),11.76%,9.69%,2.07%,0.46,0.37,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),80.34B
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,2025-12-08 (Price: 179.74),No Price Target,No Date Target,11.62%/12.35%,"-7.99%, 27 days (calendar days)","2025-12-09 (Price: 178.26), 7.99% below",201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/242.34 (EMA 200)/203.0888 (Backtested Max),No Next Date Target,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days (calendar days)/1 day (business days)/5 days (business days),6.54%,8.52%,-1.98%,0.2,0.33,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets),80.34B
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2025-12-09 (Price: 178.26) (Today),No Price Target,No Date Target,30.17%/31.9%,"-19.77%, 1 day (business days)","2025-12-09 (Price: 178.26), 19.77% below",243.3538 (Historic Rise or Fall to Pivot)/235.1331 (Avg % Gain of Historic Winning trades)/239.24 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/242.34 (EMA 200)/240.1544 (Backtested Max)/232.0448 (Backtested Min),2027-04-06 (Max)/2026-03-08 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.44%/5.83%,"0%, 11.31%",1.0 year (calendar days)/9 days (calendar days)/3.2 months (calendar days),6.48%,10.95%,-4.47%,3.36,0.47,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets),80.34B
OSCILLATOR DELTA,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-12-11 (Avg),2.18%/3.84%,"1.34%, 13 days (calendar days)","2025-12-09 (Price: 492.02), 1.34% above",502.7353 (Historic Rise or Fall to Pivot)/519.1451 (Avg % Gain of Historic Winning trades)/553.47 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/553.0331 (Backtested Max)/510.8917 (Backtested Min),2026-01-01 (Max)/2025-12-11 (Avg),No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/470.65,"81.48%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days (calendar days)/2 days (business days)/11 days (calendar days),5.61%,23.16%,-17.54%,0.03,0.84,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets),3657.27B
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-12-10 (Avg),0.67%/2.31%,"1.34%, 13 days (calendar days)","2025-12-09 (Price: 492.02), 1.34% above",512.7365 (Historic Rise or Fall to Pivot)/503.3664 (Avg % Gain of Historic Winning trades)/508.05 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/510.8917 (Backtested Max)/495.3071 (Backtested Min),2026-02-07 (Max)/2025-12-10 (Avg),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/470.65,"70.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",1.7 month (calendar days)/1 day (business days)/10 days (calendar days),5.17%,11.14%,-5.97%,0.07,0.41,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets),3657.27B
FRACTAL TRACK,"QQQ, Long, 2025-11-25 (Price: 608.89)",Daily,No Exit Yet,No Price Target,2025-12-10 (Min),15.51%/19.94%,"2.65%, 14 days (calendar days)","2025-12-09 (Price: 625.05), 2.65% above",722.0218 (Avg % Gain of Historic Winning trades)/749.66 (Exit Rule)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/913.2132 (Backtested Max),2027-09-09 (Max)/2025-12-10 (Min)/2026-08-01 (Avg),585.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/548.32,"100.0%, Past 5 years, 31",No Information,No Information,No Information,"23.66% (Price: 581.4989), 7.49% above, Upmove Bounce Back","2025-04-07 (Price: 402.39), 2025-10-29 (Price: 637.01)",No Information,49.98%/1.83%/18.58%,"-0.0%, 24.88%",1.3 year (calendar days)/11 days (calendar days)/5.7 months (calendar days),17.52%,16.62%,0.89%,0.43,0.69,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets),245.71B
BASELINEDIVERGENCE,"QQQ, Long, 2025-10-12 (Price: 589.5)",Weekly,No Exit Yet,No Price Target,2025-12-14 (Min),4.08%/5.71%,"6.03%, 1 day (business days)","2025-12-09 (Price: 625.05), 6.03% above",660.7116 (Historic Rise or Fall to Pivot)/650.5722 (Avg % Gain of Historic Winning trades)/836.2536 (F-Stack 2)/854.4802 (Backtested Max),2026-05-15 (Max)/2025-12-14 (Min)/2026-02-06 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/548.32,"85.53%, Past 10 years, 76",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,44.95%/0.81%/10.36%,"13.49%, 27.25%",5.0 months (calendar days)/1.5 month (calendar days)/2.7 months (calendar days),23.29%,18.13%,5.16%,0.88,0.81,88.89%/27/4 days (business days) (Across ALL Assets),85.71%/56/3 days (business days) (Across ALL Assets),245.71B
FRACTAL TRACK,"ASHR, Long, 2025-11-25 (Price: 32.25)",Daily,No Exit Yet,33.1304 (Backtested Min),No Date Target,7.26%/14.28%,"2.48%, 14 days (calendar days)","2025-12-09 (Price: 33.05), 2.48% above",35.4492 (Avg % Gain of Historic Winning trades)/38.68 (Exit Rule)/39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2)/37.768 (Backtested Max),2026-04-11 (Max)/2026-01-17 (Min)/2026-02-28 (Avg),31.79/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/29.21,"91.3%, Past 5 years, 23",No Information,No Information,No Information,"23.66% (Price: 31.4536), 5.08% above, Upmove Bounce Back","2025-04-07 (Price: 23.27), 2025-10-29 (Price: 33.99)",No Information,17.11%/2.73%/9.92%,"10.44%, 32.83%",3.2 months (calendar days)/1.2 month (calendar days)/2.2 months (calendar days),1.15%,-2.53%,3.68%,0.04,-0.17,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets),N/A
FRACTAL TRACK,"ASHR, Long, 2025-06-30 (Price: 27.54)",Monthly,2025-12-09 (Price: 33.05) (Today),No Price Target,No Date Target,9.05%/20.87%,"20.01%, 5 days (business days)","2025-12-09 (Price: 33.05), 20.01% above",36.04 (Exit Rule)/39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2),2026-03-07 (Max)/2026-03-07 (Max)/2026-03-07 (Max),25.82/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 12 years, 8",No Information,No Information,No Information,"88.6% (Price: 23.1742), 42.62% above, Upmove Bounce Back","2024-02-29 (Price: 21.56), 2024-10-31 (Price: 35.72)",No Information,6.41%/6.41%/6.41%,"-0.0%, 12.65%",5.8 months (calendar days)/5.8 months (calendar days)/5.8 months (calendar days),9.59%,2.03%,7.56%,0.36,0.04,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets),N/A
PULSEGAUGE,"RELIANCE.NS, Long, 2025-07-06 (Price: 1527.3)",Weekly,No Exit Yet,No Price Target,2025-12-07 (Avg),9.11%/20.96%,"0.14%, 5 days (business days)","2025-12-09 (Price: 1529.4), 0.14% above",1668.728 (Historic Rise or Fall to Pivot)/1895.2266 (Avg % Gain of Historic Winning trades)/1879.7264 (Exit Rule)/1879.7264 (F-Stack 1)/2250.6285 (F-Stack 2)/1946.5438 (Backtested Max)/1850.0185 (Backtested Min),2026-07-16 (Max),1200.1/853.4344/1503.6962/1375.0525/No F-Track Level/No F-Track Level/1397.39,"94.12%, Past 25 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,27.45%/21.13%/24.09%,"17.85%, 27.74%",8.6 months (calendar days)/9 days (calendar days)/3.6 months (calendar days),30.85%,17.88%,12.97%,0.58,0.62,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets),20697.33B
