Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"NVDA, Long, 2025-11-28 (Price: 177.0)",No Exit Yet,"0.0%, 0 days","95.92%, Past 5 years, 49","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 177.0), 0.0% below",0 days,No Information,No Information,No Information,"88.6% (Price: 169.5557), 4.39% above, Upmove Bounce Back","2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",No Information,252.44%/5.31%/85.14%,"4.7%, 66.36%",1.8 year/12 days/4.4 months,2028-06-27/2025-12-15/2026-06-07,36.06%,69.24%,-33.18%,0.44,1.76,182.7348/327.6978/205.87/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,167.02/13.9695/129.8234/89.3715/164.2223/149.405/153.67,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-28 (Price: 430.17)",No Exit Yet,"0.0%, 0 days","80.65%, Past 15 years, 31","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 430.17), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 375.7432), 14.49% above, Upmove Bounce Back","2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",No Information,6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,2035-01-31/2026-04-13/2028-12-01,14.07%,45.46%,-31.4%,0.27,1.18,475.682/4598.1301/716.21/No Horizontal Resistance/461.2057/510.3573/No Moving Avg Target,391.09/181.0784/117.6011/73.4077/397.0397/340.8091/340.42,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Long, 2025-11-28 (Price: 53.44)",No Exit Yet,"0.0%, 0 days","96.55%, Past 5 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 53.44), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 46.6535), 14.55% above, Upmove Bounce Back","2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",No Information,163.68%/8.12%/48.76%,"1.65%, 38.56%",11.3 months/13 days/5.4 months,2027-04-04/2025-12-16/2026-07-19,29.01%,21.88%,7.12%,0.45,0.69,55.1501/79.4973/95.52/No Horizontal Resistance/90.113/96.1099/No Moving Avg Target,50.04/16.82/48.0625/43.9946/51.1/41.9196/43.11,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-11-28 (Price: 492.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 492.01), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 475.9287), 3.38% above, Upmove Bounce Back","2023-01-06 (Price: 219.35), 2025-07-31 (Price: 555.45)",No Information,34.35%/1.23%/14.24%,"-0.0%, 37.56%",1.3 year/1.5 month/5.6 months,2027-10-19/2026-02-02/2026-07-30,14.25%,18.64%,-4.39%,0.5,0.73,498.7505/562.0722/693.67/No Horizontal Resistance/574.7462/615.9561/No Moving Avg Target,472.12/216.39/452.6681/384.4933/474.5281/424.7984/468.0,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"PG, Long, 2025-11-28 (Price: 148.16)",No Exit Yet,"0.0%, 0 days","97.73%, Past 20 years, 44","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 148.16), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 142.4353), 4.02% above, Upmove Bounce Back","1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",No Information,97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years/1.8 month/2.2 years,2038-02-05/2026-02-14/2029-01-02,2.95%,4.92%,-1.97%,0.48,0.12,151.7158/185.9704/244.51/179.4533/198.7009/220.9395/159.11,146.98/121.86/147.1065/128.0678/151.305/144.4315/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
OSCILLATOR DELTA,"TFII.TO, Long, 2025-11-28 (Price: 121.87)",No Exit Yet,"0.0%, 0 days","85.19%, Past 6 years, 27","Daily, is Confirmed on 2025-11-28",No Cancellation Possible,"2025-11-28 (Price: 121.87), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,2026-02-22/2025-11-29/2025-12-29,34.87%,19.04%,15.83%,0.15,0.63,124.9777/135.5926/127.96/219.9933/218.6478/242.6984/123.45,No Recent Minima/102.925/108.3725/94.3258/142.8914/146.3214/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-11-28 (Price: 320.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 320.12), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,6.83% above/0.52% above/0.0% below,19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-06-02/2026-01-01/2026-02-04,35.83%,21.1%,14.73%,1.74,0.79,353.2204/346.3058/411.73/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,147.74/84.51/243.1061/191.2921/270.6509/234.996/203.2,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 1007.6), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.37% above/0.0% below/0.0% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,2026-03-05/2025-12-03/2026-01-07,48.18%,7.98%,40.2%,1.18,0.29,1018.6836/1051.8336/1024.94/1009.6/1299.7536/1565.406/No Moving Avg Target,982.3/640.9/976.4995/762.8018/940.3577/891.107/956.63,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",No Exit Yet,"0.0%, 0 days","93.33%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 153.47), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.7% above/0.0% below/0.0% below,16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,2026-04-13/2025-12-03/2025-12-22,31.81%,24.47%,7.34%,0.41,0.82,159.2251/161.343/155.78/No Horizontal Resistance/177.4321/184.9838/No Moving Avg Target,139.91/52.782/150.6362/140.1747/134.8186/119.0732/125.98,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DBC, Long, 2025-11-28 (Price: 23.06)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 23.06), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.32% above/0.0% below/0.0% below,5.33%/1.09%/2.64%,"7.94%, 13.15%",2.4 months/4 days/19 days,2026-03-10/2025-12-03/2025-12-25,11.28%,6.28%,5.0%,0.33,0.21,23.4889/23.6688/23.61/28.58/48.2362/53.5099/No Moving Avg Target,22.52/19.55/No F-Stack Support/No F-Stack Support/23.7971/24.2624/22.08,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"TD, Long, 2025-11-28 (Price: 83.93)",No Exit Yet,"0.0%, 0 days","82.35%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 83.93), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.59% above/0.0% below/0.0% below,8.23%/0.22%/2.92%,"19.84%, 40.97%",2.4 months/4 days/11 days,2026-03-10/2025-12-03/2025-12-13,2.49%,5.91%,-3.43%,0.02,0.2,86.9179/86.3808/86.32/No Horizontal Resistance/92.1326/106.6129/No Moving Avg Target,81.32/54.526/76.2219/67.0746/77.0128/75.6468/70.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2025-11-28 (Price: 110.05)",No Exit Yet,"0.0%, 0 days","97.22%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 110.05), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.08% above/0.0% below/0.0% below,15.63%/0.69%/6.07%,"14.18%, 36.59%",5.4 months/4 days/28 days,2026-07-20/2025-12-03/2026-01-07,37.84%,23.17%,14.67%,1.01,0.77,115.1783/116.73/111.75/No Horizontal Resistance/119.4321/129.2378/No Moving Avg Target,99.27/38.3375/102.4252/95.3086/96.3808/85.3318/90.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"ATZ.TO, Long, 2025-11-28 (Price: 110.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 110.5), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.29% above/2.1% above/0.0% below,31.79%/5.83%/20.18%,"0%, 57.81%",9.5 months/24 days/4.5 months,2027-01-13/2026-01-01/2026-06-12,25.42%,20.42%,5.0%,2.19,0.65,113.7708/132.7989/137.05/No Horizontal Resistance/111.7977/164.6254/No Moving Avg Target,41.91/32.3325/79.1477/388.4085/91.002/77.6063/72.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"EFN.TO, Long, 2025-11-28 (Price: 37.23)",No Exit Yet,"0.0%, 0 days","88.89%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 37.23), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.39% above/0.0% below/0.0% below,26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,2026-06-02/2026-01-01/2026-02-15,4.38%,15.83%,-11.45%,0.07,0.55,39.3074/40.603/51.08/No Horizontal Resistance/48.884/73.5584/No Moving Avg Target,34.92/11.7733/33.6344/24.2096/30.6746/26.0131/33.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",No Exit Yet,"0.0%, 0 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 168.95), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,2026-02-28/2025-12-03/2025-12-22,18.74%,14.44%,4.3%,1.0,0.56,173.2751/173.0724/196.84/No Horizontal Resistance/162.0277/185.717/No Moving Avg Target,147.83/82.9367/152.3147/143.1328/154.7108/145.5607/138.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
