Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-12-31",Already confirmed,"2025-12-31 (Price: 36.54), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.55% above/0.0% below/0.0% below,6.63%/0.76%/3.55%,"0.81%, 14.63%",1.2 month/6 days/22 days,2026-02-21/2026-01-08/2026-01-31,14.01%,1.7%,12.31%,1.17,0.11,38.8968/37.8372/37.47/39.3812/40.717/47.4928/No EMA 200 Target,35.13/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"JPY=X, Long, 2025-12-31 (Price: 156.413)",No Exit Yet,"0.11%, 1 day","73.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-01 (Price: 156.578), 0.11% above",1 day,No Information,No Information,No Information,No Information,No Information,0.19% above/0.7% below/0.11% above,18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-27/2026-08-05/2027-02-03,-1.08%,0.88%,-1.96%,0.37,-0.3,172.2576/173.5089/158.98/159.6617/175.8568/187.2285/No EMA 200 Target,142.3/110.2702/138.2059/No support/No F-Track Level/No F-Track Level/148.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 269.38 prior to 2026-03-31,"2025-12-31 (Price: 301.15), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/11.2% above/0.0% below,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"BAC, Long, 2025-12-31 (Price: 55.0)",No Exit Yet,"0.0%, 0 days","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 53.5 prior to 2026-01-30,"2025-12-31 (Price: 55.0), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.52% above/0.51% below/0.0% below,30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-11-08/2026-08-05/2027-01-26,4.68%,2.37%,2.31%,0.29,0.18,64.064/64.9825/67.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/47.69,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2025-12-31 (Price: 310.24)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 302.43 prior to 2026-01-30,"2025-12-31 (Price: 310.24), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.79% above/0.0% below/0.0% below,30.2%/3.49%/16.71%,"0%, 34.42%",2.2 years/5 months/10.1 months,2029-02-20/2026-08-05/2027-03-14,9.36%,7.98%,1.38%,1.77,0.4,379.9199/362.0811/329.02/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/267.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-12-31 (Price: 3.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 3.28 prior to 2026-01-30,"2025-12-31 (Price: 3.68), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,12.88% above/0.0% below/0.0% below,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-22/2026-08-05/2026-08-18,5.5%,0.69%,4.81%,1.23,0.0,4.2997/4.4484/5.83/7.985/12.7156/14.3053/No EMA 200 Target,2.83/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.23,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"MFT.NZ, Long, 2025-12-31 (Price: 68.62)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 67.06 prior to 2026-01-30,"2025-12-31 (Price: 68.62), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-26/2026-08-05/2027-01-04,9.96%,11.66%,-1.7%,0.82,0.67,106.3884/77.7327/69.15/85.45/105.252/119.9356/No EMA 200 Target,55.51/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.85,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 61.31 prior to 2026-03-31,"2025-12-31 (Price: 73.13), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,19.14% above/0.0% below/0.0% below,227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"EFA, Long, 2025-12-31 (Price: 96.03)",No Exit Yet,"0.0%, 0 days","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Signal Cancelled if Price < 95.5568 prior to 2026-01-30,"2025-12-31 (Price: 96.03), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.26% below/0.0% below,18.42%/4.43%/10.16%,"13.47%, 23.01%",1.5 year/5 months/8.9 months,2028-02-21/2026-08-05/2027-01-21,4.72%,2.4%,2.32%,0.44,0.03,108.197/105.7866/110.15/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.61/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.09,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"0.66%, 1 day","87.5%, Past 21 years, 8","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-01 (Price: 3227.3999), 0.66% above",1 day,No Information,No Information,No Information,"50% (Price: 2809.1), 14.89% above, Upmove Bounce Back","2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",No Information,26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/5637.7577/6110.9256/3241.54,2888.4/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
