"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NKE, Long, 2025-11-11 (Price: 63.15)",No Exit Yet,"0.0%, 0 days","80.56%, Past 6 years, 36","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-11 (Price: 63.15), 0.0% below",0 days,2025-11-04 (Price: 61.12)/2025-11-07 (Price: 60.29),22/1/6 days,15.63%/5.08%/8.11%,"19.92%, 22.44%",64 days/1 days/13 days,2026-02-11/2025-11-12/2025-11-29,20.81%,-5.25%,26.06%,0.08,-0.1,64.3183/68.2715/66.31/176.74/171.1647/206.9588,No Recent Minima/No Horizontal Support/60.8668/56.1303/99.6912/105.2659,69.08/68.78,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"ATD.TO, Long, 2025-11-11 (Price: 70.4)",No Exit Yet,"0.0%, 0 days","91.18%, Past 6 years, 34","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-11 (Price: 70.4), 0.0% below",0 days,2025-11-05 (Price: 68.54)/2025-11-07 (Price: 68.3),12/1/5 days,12.15%/5.08%/7.16%,"16.41%, 19.68%",86 days/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/100.8822/111.119,No Recent Minima/45.49/69.1528/55.4059/87.7049/90.1476,72.81/71.61,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NOVA.F, Long, 2025-11-11 (Price: 42.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-11 (Price: 42.4), 0.0% below",0 days,2025-10-30 (Price: 43.0)/2025-11-07 (Price: 39.0),5/4/4 days,8.26%/6.12%/7.22%,"-0.0%, 5.26%",28 days/1 days/11 days,2025-12-21/2025-11-12/2025-11-26,317.02%,8.99%,308.03%,1.32,0.33,45.6224/45.4613/44.94/126.5/210.2335/No Next Fib Ext,No Recent Minima/40.95/36.9076/25.5985/164.0859/178.8876,46.97/58.15,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"META, Long, 2025-11-10 (Price: 631.76)",No Exit Yet,"-0.74%, 1 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-11 (Price: 627.08), 0.74% below",1 days,2025-11-04 (Price: 626.01)/2025-11-06 (Price: 618.0),15/1/5 days,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879,No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,721.92/678.5,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MTY.TO, Long, 2025-11-10 (Price: 34.02)",No Exit Yet,"-0.5%, 1 days","72.97%, Past 6 years, 37","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-11 (Price: 33.85), 0.5% below",1 days,2025-10-31 (Price: 33.39)/2025-11-06 (Price: 32.92),20/1/7 days,19.58%/5.02%/7.99%,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.59/40.88,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"HOOD, Long, 2025-11-10 (Price: 135.88)",No Exit Yet,"-2.91%, 1 days","78.26%, Past 4 years, 23","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-11 (Price: 131.93), 2.91% below",1 days,2025-10-21 (Price: 131.35)/2025-10-22 (Price: 120.88),17/1/4 days,17.01%/5.11%/8.52%,"12.73%, 15.13%",20 days/2 days/7 days,2025-12-08/2025-11-12/2025-11-20,108.4%,39.13%,69.27%,0.21,1.06,146.5058/147.457/142.67/No Horizontal Resistance/164.8517/245.4076,No Recent Minima/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level,131.37/84.82,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NVO, Long, 2025-11-06 (Price: 46.51)",2025-11-11 (Price: 49.15) (Today),"5.68%, 3 days","85.29%, Past 6 years, 34","Daily, is Confirmed on 2025-11-06",No Cancellation Possible,"2025-11-11 (Price: 49.15), 5.68% above",3 days,2025-10-29 (Price: 51.19)/2025-11-04 (Price: 47.76),14/1/5 days,20.58%/5.09%/7.82%,"12.67%, 17.77%",185 days/1 days/24 days,2026-07-31/2025-11-07/2025-12-10,29.88%,9.58%,20.3%,0.26,0.35,48.1844/50.1471/48.84/139.01/157.4212/215.5132,No Recent Minima/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level,54.96/65.93,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"RHHBY, Long, 2025-11-05 (Price: 40.7)",2025-11-10 (Price: 43.85),"7.74%, 3 days","71.88%, Past 6 years, 32","Daily, is Confirmed on 2025-11-05",No Cancellation Possible,"2025-11-11 (Price: 45.51), 11.82% above",4 days,2025-10-30 (Price: 40.54)/2025-11-03 (Price: 40.07),19/2/6 days,11.7%/5.02%/7.38%,"14.74%, 24.1%",173 days/6 days/42 days,2026-07-13/2025-11-13/2026-01-04,-3.55%,1.45%,-5.0%,-0.06,0.0,41.5913/43.7037/42.74/52.46/58.6089/65.2057,No Recent Minima/34.5167/31.0544/202.8856/No F-Track Level/No F-Track Level,42.65/40.9,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"7.22%, 5 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-11 (Price: 291.9), 7.22% above",5 days,2025-10-20 (Price: 259.93)/2025-10-31 (Price: 256.76),16/1/5 days,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/372.972/399.3723,No Recent Minima/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level,267.6/263.49,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"SPOT, Long, 2025-10-21 (Price: 689.21)",2025-11-05 (Price: 620.0),"-10.04%, 11 days","89.47%, Past 6 years, 38","Daily, is Confirmed on 2025-10-21",No Cancellation Possible,"2025-11-11 (Price: 639.58), 7.2% below",15 days,2025-10-07 (Price: 670.5)/2025-10-17 (Price: 656.25),12/1/4 days,20.64%/5.14%/7.38%,"18.6%, 21.54%",34 days/3 days/11 days,2025-12-09/2025-10-25/2025-11-05,89.2%,27.14%,62.06%,0.27,0.81,732.0099/740.0737/744.35/No Horizontal Resistance/860.054/995.9806,No Recent Minima/118.6/642.6903/612.322/No F-Track Level/No F-Track Level,682.95/651.46,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"XLE, Long, 2025-10-20 (Price: 86.89)",2025-11-11 (Price: 91.53) (Today),"5.34%, 16 days","88.89%, Past 6 years, 27","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-11 (Price: 91.53), 5.34% above",16 days,2025-10-13 (Price: 85.59)/2025-10-16 (Price: 84.7),20/1/4 days,21.12%/5.03%/8.28%,"14.4%, 17.68%",211 days/3 days/46 days,2026-08-21/2025-10-24/2025-12-25,18.22%,6.1%,12.11%,0.35,0.24,91.2606/94.0845/91.23/98.445/106.8857/117.7423,No Recent Minima/45.695/74.1414/53.9043/No F-Track Level/No F-Track Level,88.41/86.85,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NU, Long, 2025-10-20 (Price: 15.41)",2025-11-11 (Price: 16.39) (Today),"6.36%, 16 days","75.0%, Past 3 years, 24","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-11 (Price: 16.39), 6.36% above",16 days,2025-10-14 (Price: 14.64)/2025-10-16 (Price: 14.614),9/1/4 days,10.17%/5.4%/6.92%,"13.59%, 15.17%",25 days/1 days/7 days,2025-11-25/2025-10-21/2025-10-30,-0.33%,11.8%,-12.13%,-0.01,0.5,15.7845/16.4764/16.18/No Horizontal Resistance/16.2823/18.173,No Recent Minima/5.54/15.0492/12.5387/No F-Track Level/No F-Track Level,15.62/13.14,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"BTI, Long, 2025-10-15 (Price: 50.75)",2025-11-05 (Price: 53.88),"6.17%, 15 days","85.71%, Past 6 years, 28","Daily, is Confirmed on 2025-10-15",No Cancellation Possible,"2025-11-11 (Price: 55.76), 9.87% above",19 days,2025-10-06 (Price: 50.92)/2025-10-13 (Price: 50.64),12/1/5 days,13.76%/5.2%/7.03%,"11.01%, 16.36%",102 days/4 days/36 days,2026-03-11/2025-10-20/2025-12-06,14.26%,5.9%,8.36%,0.29,0.19,53.5463/54.3177/53.29/No Horizontal Resistance/82.226/92.0468,No Recent Minima/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level,53.22/47.78,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"TRI.TO, Long, 2025-10-14 (Price: 217.14)",2025-11-07 (Price: 192.99),"-11.12%, 18 days","95.83%, Past 6 years, 24","Daily, is Confirmed on 2025-10-14",No Cancellation Possible,"2025-11-11 (Price: 192.46), 11.37% below",20 days,2025-10-01 (Price: 212.69)/2025-10-09 (Price: 209.7),9/1/3 days,11.75%/5.03%/6.7%,"10.98%, 11.43%",150 days/3 days/35 days,2026-05-19/2025-10-18/2025-12-03,31.01%,15.02%,15.99%,0.63,0.64,223.8931/231.6884/230.17/240.8933/293.2329/316.3836,No Recent Minima/116.89/193.124/131.2534/No F-Track Level/No F-Track Level,221.54/248.21,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
