"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"UBER, Long, 2025-12-05 (Price: 91.32)",No Exit Yet,"0.0%, 0 days","87.5%, Past 6 years, 8","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 91.32), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 82.5663),10.6% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",110.4%/15.19%/62.8%,"3.04%, 55.87%",2.7 years/2.5 months/1.5 year,2029-10-22/2026-03-22/2028-01-05,20.24%,13.56%,6.68%,0.39,0.48,92.151/148.669/140.58/No Horizontal Resistance/103.1697/130.9341/No Moving Avg Target,83.87/34.6025/87.2921/71.0872/82.5663/70.6297/87.24,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"JNK, Long, 2025-12-05 (Price: 97.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 97.29), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 96.3874),0.94% above,"2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year/1.3 year/1.3 year,2027-10-08/2027-10-08/2027-10-08,3.41%,-2.09%,5.5%,0.2,-0.45,97.3386/103.4095/101.99/108.635/169.7114/218.5371/No Moving Avg Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/99.6721/100.7612/96.31,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"IWM, Long, 2025-12-05 (Price: 250.77)",No Exit Yet,"0.0%, 0 days","97.56%, Past 20 years, 41","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 250.77), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 233.5959),7.35% above,"2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years/1.8 month/2.2 years,2033-05-04/2026-02-21/2029-01-13,5.07%,6.62%,-1.55%,0.38,0.22,253.2025/352.2566/299.39/No Horizontal Resistance/270.9222/282.5179/No Moving Avg Target,235.6/162.3167/245.3626/196.8345/233.5959/221.8127/221.03,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"MA, Long, 2025-12-05 (Price: 545.52)",No Exit Yet,"0.0%, 0 days","93.33%, Past 19 years, 30","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 545.52), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 535.7184),1.83% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",183.03%/7.86%/74.84%,"10.74%, 37.99%",3.8 years/1.6 month/1.7 year,2031-05-10/2026-02-13/2028-05-09,8.62%,27.38%,-18.77%,0.51,0.97,569.5774/953.7872/649.27/592.9033/716.5814/751.3605/559.74,540.4/306.91/515.4888/442.8637/524.8987/477.6582/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"BN.TO, Long, 2025-12-05 (Price: 64.54)",No Exit Yet,"0.0%, 0 days","96.3%, Past 1 years, 27","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 64.54), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 58.0258),11.23% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",150.14%/4.17%/65.27%,"0.94%, 36.57%",3.8 years/3.6 months/1.8 year,2031-04-26/2026-05-11/2028-07-02,6.26%,12.66%,-6.4%,0.77,0.46,66.0244/106.6653/80.82/No Horizontal Resistance/69.5978/79.2394/No Moving Avg Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.33,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"IBKR, Long, 2025-12-05 (Price: 64.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 31","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 64.5), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 57.8675),11.46% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",264.61%/8.43%/69.0%,"-0.0%, 53.27%",5.1 years/2.0 month/2.0 years,2033-04-05/2026-02-28/2028-11-05,6.02%,12.31%,-6.29%,0.53,0.43,68.5506/109.005/88.82/No Horizontal Resistance/77.1458/95.5947/No Moving Avg Target,61.05/13.0762/52.397/46.0224/59.0818/50.3135/56.96,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"COIN, Long, 2025-12-05 (Price: 269.73)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 4","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 269.73), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 228.1976),18.2% above,"2023-01-08 (Price: 31.55), 2024-12-08 (Price: 349.75)",22.41%/22.41%/22.41%,"-0.0%, 30.3%",3.3 months/3.3 months/3.3 months,2026-04-27/2026-04-27/2026-04-27,68.35%,0.11%,68.24%,0.51,0.47,262.2315/330.1765/460.65/289.6467/484.6953/510.6138/281.98,240.41/86.505/No F-Stack Support/No F-Stack Support/257.9707/207.223/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"HDB, Long, 2025-12-05 (Price: 35.72)",No Exit Yet,"0.0%, 0 days","90.91%, Past 25 years, 22","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-05 (Price: 35.72), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),3.35% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",165.72%/8.35%/65.32%,"32.26%, 39.31%",3.0 years/7.3 months/1.4 year,2030-02-26/2026-10-16/2027-12-23,12.66%,17.02%,-4.36%,0.26,0.59,37.3203/59.0523/43.95/39.3812/45.6752/50.9526/No Moving Avg Target,26.75/25.6925/29.7659/26.539/36.3743/34.266/35.68,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IHI, Long, 2025-12-05 (Price: 63.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 58.18 prior to 2025-12-31,"2025-12-05 (Price: 63.48), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 57.074),11.22% above,"2023-10-31 (Price: 43.96), 2025-02-28 (Price: 65.18)",5.78%/5.78%/5.78%,"-0.0%, 6.3%",6.5 months/6.5 months/6.5 months,2026-09-13/2026-09-13/2026-09-13,7.62%,10.75%,-3.13%,0.39,0.47,63.0674/67.1491/76.21/66.34/68.9264/76.3906/No Moving Avg Target,45.26/46.725/56.0899/46.1919/68.0854/69.871/60.93,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"XLV, Long, 2025-12-05 (Price: 153.26)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-12-05 (Price: 153.26), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),20.69% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-31/2040-08-31/2040-08-31,8.26%,6.44%,1.82%,0.48,0.22,149.735/623.9215/236.07/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/121.6312/153.114/117.2225/167.2798/171.9748/139.81,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
