Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"KWEB, Long, 2025-12-30 (Price: 34.39)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2025-12-30 (Price: 34.39), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,19.05%/4.1%/7.08%,"18.75%, 18.75%",1.6 month/2 days/14 days,2026-03-09/2026-01-01/2026-01-19,3.5%,-1.91%,5.41%,0.03,0.1,35.4974/36.8248/36.16/54.865/113.756/122.1069/36.4,33.63/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2025-12-30 (Price: 54.88)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2025-12-30 (Price: 54.88), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.4% above/0.0% below/0.0% below,4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-05-13/2026-01-07/2026-01-29,2.19%,2.36%,-0.17%,0.01,0.07,57.3606/56.3288/55.56/56.245/59.1317/64.643/No EMA 200 Target,52.6/37.485/54.2403/No support/51.8258/51.1028/49.59,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"ATM.NZ, Long, 2025-12-30 (Price: 10.75)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2025-12-30 (Price: 10.75), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.94% above/0.0% below/0.0% below,26.28%/1.03%/6.36%,"44.18%, 64.86%",2 months/7 days/21 days,2026-03-26/2026-01-09/2026-01-29,7.95%,-3.89%,11.85%,0.35,-0.06,11.2047/11.4337/10.78/10.965/21.0083/25.9428/No EMA 200 Target,10.1/5.2267/8.0863/5.0358/10.6442/No support/9.49,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2025-12-29 (Price: 94.15)",No Exit Yet,"-0.39%, 1 day","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-30 (Price: 93.78), 0.39% below",1 day,No Information,No Information,No Information,No Information,No Information,0.73% below/0.39% below/0.39% below,7.15%/0.45%/3.32%,"0.57%, 20.2%",2.8 months/7 days/1.5 month,2026-04-29/2026-01-08/2026-03-04,16.89%,16.03%,0.86%,1.0,0.73,96.2684/97.2758/103.57/No Horizontal Resistance/139.352/152.4292/113.4,93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"SBUX, Long, 2025-12-29 (Price: 85.57)",No Exit Yet,"-0.37%, 1 day","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-30 (Price: 85.25), 0.37% below",1 day,No Information,No Information,No Information,No Information,No Information,0.8% above/0.37% below/0.37% below,8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-05-17/2026-01-06/2026-02-19,10.39%,-0.2%,10.59%,0.88,0.03,88.1457/89.5062/86.19/117.438/142.4098/150.3462/87.53,83.86/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2025-12-29 (Price: 112.53)",No Exit Yet,"-0.54%, 1 day","83.33%, Past 5 years, 18","Daily, was CONFIRMED on 2025-12-29",Already confirmed,"2025-12-30 (Price: 111.92), 0.54% below",1 day,No Information,No Information,No Information,"23.66% (Price: 113.0563), 1.01% below, Upmove Bounce Back","2025-11-14 (Price: 98.88), 2025-12-15 (Price: 117.45)",No Information,12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2027-12-27/2026-01-31/2026-06-12,27.4%,11.93%,15.47%,1.3,0.75,115.7596/122.894/123.67/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,110.9/42.9289/85.5556/53.2582/No F-Track Level/No F-Track Level/99.93,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"GLD, Long, 2025-12-28 (Price: 416.74)",No Exit Yet,"-4.28%, 2 days","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-30 (Price: 398.89), 4.28% below",2 days,No Information,No Information,No Information,No Information,No Information,0.03% below/4.28% below/4.28% below,8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",No Exit Yet,"-2.49%, 2 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-30 (Price: 884.42), 2.49% below",2 days,No Information,No Information,No Information,No Information,No Information,0.4% below/2.49% below/2.49% below,16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2025-12-28 (Price: 315.58)",No Exit Yet,"-0.52%, 2 days","81.48%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-30 (Price: 313.94), 0.52% below",2 days,No Information,No Information,No Information,No Information,No Information,1.22% above/0.52% below/0.52% below,16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-04-06/2026-02-06/2026-04-15,11.8%,10.04%,1.76%,0.46,0.51,362.2858/339.5641/340.99/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2025-12-28 (Price: 124.22)",No Exit Yet,"-4.3%, 2 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-30 (Price: 118.88), 4.3% below",2 days,No Information,No Information,No Information,No Information,No Information,0.69% below/4.3% below/4.3% below,30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"MFT.NZ, Long, 2025-12-28 (Price: 69.01)",No Exit Yet,"-0.33%, 2 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-30 (Price: 68.78), 0.33% below",2 days,No Information,No Information,No Information,No Information,No Information,0.76% above/0.33% below/0.33% below,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-09-14/2026-02-06/2026-07-07,9.15%,10.41%,-1.26%,1.17,0.61,74.3169/73.054/69.02/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.83,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
