Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max./Min./Avg.),Profit [%] (Best/Worst/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
ALTITUDE ALPHA,Monthly,Long,1,100.0%,348 days/348 days/348 days,62.28%/62.28%/62.28%,80.0%,138 days,0.0%
ALTITUDE ALPHA,Weekly,Long,1,0.0%,74 days/74 days/74 days,-23.43%/-23.43%/-23.43%,83.33%,650 days,0.0%
BAND MATRIX,Daily,Long,9,88.89%,144 days/22 days/86 days,53.29%/-9.44%/14.54%,78.7%,121 days,0.0%
DELTADRIFT,Daily,Long,6,83.33%,27 days/2 days/7 days,7.71%/-4.74%/2.25%,78.86%,5 days,0.0%
DELTADRIFT,Weekly,Long,1,100.0%,74 days/74 days/74 days,8.6%/8.6%/8.6%,75.0%,52 days,0.0%
FRACTAL TRACK,Daily,Long,15,73.33%,447 days/5 days/139 days,20.22%/-2.2%/7.8%,91.65%,219 days,0.0%
FRACTAL TRACK,Monthly,Long,6,100.0%,4434 days/238 days/1521 days,1084.69%/17.8%/296.83%,88.04%,1144 days,0.0%
FRACTAL TRACK,Weekly,Long,2,100.0%,1164 days/409 days/786 days,159.37%/5.73%/82.55%,93.75%,484 days,0.0%
OSCILLATOR DELTA,Daily,Long,4,100.0%,33 days/11 days/19 days,16.04%/5.05%/9.8%,73.58%,12 days,0.0%
OSCILLATOR DELTA,Daily,Short,5,80.0%,17 days/3 days/8 days,1.96%/-2.58%/0.42%,87.88%,5 days,0.0%
PULSEGAUGE,Weekly,Long,2,100.0%,64 days/44 days/54 days,30.25%/20.82%/25.54%,93.75%,99 days,0.0%
SIGMASHELL,Daily,Long,13,92.31%,113 days/41 days/67 days,23.63%/-6.84%/5.85%,87.73%,68 days,0.0%
TRENDPULSE,Daily,Long,16,87.5%,102 days/3 days/26 days,8.64%/-13.77%/1.23%,91.71%,16 days,0.0%
TRENDPULSE,Monthly,Long,2,100.0%,281 days/109 days/195 days,61.83%/5.64%/33.73%,78.57%,241 days,50.0%
TRENDPULSE,Weekly,Long,4,100.0%,209 days/39 days/139 days,5.91%/3.13%/3.9%,96.88%,79 days,0.0%
