"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NVDA, Long, 2025-12-02 (Price: 181.46)",No Exit Yet,"0.0%, 0 days","86.84%, Past 6 years, 38","Daily, is Confirmed on 2025-12-02",No Cancellation Possible,"2025-12-02 (Price: 181.46), 0.0% below",0 days,2025-11-21 (Price: 172.93)/2025-11-25 (Price: 169.55),20 days/1 day/4 days,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month/2 days/9 days,2026-02-19/2025-12-04/2025-12-15,166.42%,81.52%,84.9%,0.34,2.03,194.7247/200.0597/190.53/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/13.9695/129.8234/89.3715/182.4801/164.2223/154.1,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BABA, Long, 2025-12-01 (Price: 164.26)",No Exit Yet,"-1.91%, 1 day","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-02 (Price: 161.13), 1.91% below",1 day,2025-11-14 (Price: 151.78)/2025-11-26 (Price: 150.0),16 days/1 day/5 days,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-03-02/2025-12-02/2025-12-16,26.59%,-1.07%,27.65%,0.13,0.14,173.36/178.5835/183.97/No Horizontal Resistance/399.1612/524.2534/No Moving Avg Target,No Recent Minima/67.495/144.416/811.577/No F-Track Level/No F-Track Level/135.89,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IFT.NZ, Long, 2025-12-01 (Price: 11.6)",No Exit Yet,"1.29%, 1 day","86.96%, Past 6 years, 23","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-02 (Price: 11.75), 1.29% above",1 day,2025-11-18 (Price: 11.6)/2025-11-21 (Price: 11.36),20 days/1 day/6 days,20.52%/5.06%/8.27%,"21.0%, 21.0%",2.6 months/13 days/1.3 month,2026-03-22/2025-12-19/2026-01-25,17.79%,15.95%,1.84%,0.14,0.6,12.1034/12.5593/12.18/11.925/18.927/29.733/No Moving Avg Target,No Recent Minima/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.33,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"TFII.TO, Long, 2025-11-28 (Price: 121.87)",No Exit Yet,"3.24%, 2 days","85.19%, Past 6 years, 27","Daily, is Confirmed on 2025-11-28",No Cancellation Possible,"2025-12-02 (Price: 125.82), 3.24% above",2 days,2025-10-30 (Price: 121.71)/2025-10-31 (Price: 117.9),18 days/1 day/6 days,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,2026-02-22/2025-11-29/2025-12-29,34.87%,19.04%,15.83%,0.15,0.63,124.9777/135.5926/127.96/219.9933/223.9051/280.6304/122.87,No Recent Minima/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.93%, 4 days","81.48%, Past 6 years, 27","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-12-02 (Price: 490.0), 0.93% above",4 days,2025-11-07 (Price: 493.25)/2025-11-21 (Price: 468.27),20 days/1 day/6 days,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,2026-01-01/2025-11-28/2025-12-11,5.61%,23.16%,-17.54%,0.03,0.84,502.7353/519.1451/553.47/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.79,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"USO, Long, 2025-11-26 (Price: 70.04)",No Exit Yet,"0.23%, 4 days","73.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-12-02 (Price: 70.2), 0.23% above",4 days,2025-11-14 (Price: 71.13)/2025-11-21 (Price: 68.58),15 days/1 day/5 days,11.89%/5.03%/6.85%,"17.05%, 17.88%",1.3 month/7 days/18 days,2026-01-21/2025-12-06/2025-12-22,-34.01%,-4.37%,-29.63%,-0.21,0.0,73.1918/74.8377/73.54/83.49/No Next Fib Ext/No Next Fib Ext/72.39,No Recent Minima/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IBKR, Long, 2025-11-26 (Price: 64.19)",No Exit Yet,"-0.93%, 4 days","83.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-12-02 (Price: 63.59), 0.93% below",4 days,2025-11-17 (Price: 62.96)/2025-11-18 (Price: 62.09),13 days/1 day/5 days,14.05%/5.19%/7.6%,"11.21%, 13.86%",1.2 month/2 days/14 days,2026-01-18/2025-11-28/2025-12-16,30.69%,34.23%,-3.54%,0.22,1.11,67.4637/69.0684/67.4/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,No Recent Minima/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.85,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",2025-11-27 (Price: 91285.375),"5.16%, 3 days","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-12-02 (Price: 91609.7578), 5.54% above",9 days,2025-11-16 (Price: 92971.1641)/2025-11-21 (Price: 80659.8125),10 days/0 days/2 days,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,2026-01-05/2025-11-23/2025-12-04,54.01%,49.41%,4.61%,0.19,0.92,90737.2747/93870.9354/91145.26/124582.2656/122105.3521/133759.1807/109584.21,No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"ATD.TO, Long, 2025-11-11 (Price: 70.4)",2025-11-25 (Price: 74.41),"5.7%, 14 days","91.18%, Past 6 years, 34","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-12-02 (Price: 74.44), 5.74% above",21 days,2025-11-05 (Price: 68.54)/2025-11-07 (Price: 68.3),12 days/1 day/5 days,12.15%/5.08%/7.16%,"16.41%, 19.68%",2.9 months/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/85.3936/96.14/71.43,No Recent Minima/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"MAR, Long, 2025-11-04 (Price: 272.24)",2025-11-25 (Price: 304.12),"11.71%, 21 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-12-02 (Price: 304.65), 11.9% above",28 days,2025-10-20 (Price: 259.93)/2025-10-31 (Price: 256.76),16 days/1 day/5 days,18.37%/5.48%/7.86%,"12.16%, 19.79%",2.3 months/1 day/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/302.19/276.35/372.972/399.3723/No Moving Avg Target,No Recent Minima/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/263.56,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
