"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"COIN, Long, 2026-02-12 (Price: 143.325)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-12 (Price: 143.325), 0.0% below",0 days,19.07%/5.69%/9.26%,"27.31%, 39.8%",2.7 months/3 days/23 days,2026-06-09/2026-02-16/2026-03-17,12.46%,-11.08%,23.54%,0.43,0.2,149.1727/156.5969/152.88/289.6467/484.6953/513.7527/290.54,No Recent Minima/86.505/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),153.137
"ORCL, Long, 2026-02-12 (Price: 158.465)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price  prior to 2026-02-13,"2026-02-12 (Price: 158.465), 0.0% below",0 days,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,2026-03-14/2026-02-22/2026-03-07,5.26%,6.77%,-1.51%,0.27,0.34,211.8836/177.7977/194.84/No Horizontal Resistance/287.7444/314.8727/220.18,136.48/82.7925/140.8739/129.2165/144.722/No support/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),163.66
"MSFT, Long, 2026-02-11 (Price: 404.89)",No Exit Yet,"0.08%, 1 day","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 405.215), 0.08% above",1 day,5.23%/2.02%/3.49%,"8.2%, 14.53%",2.4 months/1 day/11 days,2026-05-26/2026-02-12/2026-02-26,5.6%,7.01%,-1.41%,0.17,0.37,420.0734/419.0207/419.55/554.585/553.3726/615.9924/487.08,393.67/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),416.094
"PLTR, Long, 2026-02-11 (Price: 134.46)",No Exit Yet,"-3.44%, 1 day","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 129.84), 3.44% below",1 day,19.0%/3.53%/9.58%,"14.06%, 15.26%",25 days/1 day/10 days,2026-03-19/2026-02-12/2026-02-25,16.65%,19.65%,-3.0%,0.71,0.85,169.9305/147.3413/158.64/No Horizontal Resistance/242.7816/265.2654/159.98,130.01/7.205/125.5072/97.1748/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),139.035
"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",No Exit Yet,"0.25%, 1 day","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 7.96), 0.25% above",1 day,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,2026-03-22/2026-02-12/2026-03-03,10.19%,8.7%,1.49%,0.56,0.47,8.4688/8.2385/8.35/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,7.7/2.942/6.3611/No support/No F-Track Level/No F-Track Level/7.34,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),8.001
"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",No Exit Yet,"-7.86%, 2 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 2750.1001), 7.86% below",2 days,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-12/2026-02-11/2026-02-24,12.04%,-0.2%,12.24%,0.76,-0.13,3185.1652/3082.495/3133.83/4543.575/5637.7577/6110.9256/3200.06,2941.6/2934.3251/2637.2425/2286.8248/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),2949.8
"INFY, Long, 2026-02-10 (Price: 16.61)",No Exit Yet,"-13.21%, 2 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 14.415), 13.21% below",2 days,6.12%/2.34%/3.66%,"11.63%, 13.01%",24 days/2 days/10 days,2026-03-16/2026-02-12/2026-02-24,7.26%,0.48%,6.78%,0.2,-0.0,16.9123/17.2179/17.07/23.796/31.8515/41.1179/17.52,16.31/16.0317/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),16.5
"SUM.NZ, Long, 2026-02-10 (Price: 11.25)",No Exit Yet,"-3.2%, 2 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 10.89), 3.2% below",2 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-05-07/2026-02-11/2026-03-09,5.72%,-0.28%,6.0%,0.18,-0.09,11.3951/11.6741/11.53/12.64/19.8479/26.5969/11.51,11.13/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),11.16
"TRI.TO, Long, 2026-02-09 (Price: 121.21)",No Exit Yet,"-2.87%, 3 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-12 (Price: 117.73), 2.87% below",3 days,4.82%/1.26%/2.69%,"8.44%, 9.99%",18 days/2 days/8 days,2026-03-07/2026-02-11/2026-02-20,4.66%,6.27%,-1.61%,0.1,0.34,126.7372/124.4705/125.6/240.8933/293.2329/455.2123/224.66,118.68/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),120.27
"NOVA.F, Long, 2026-02-09 (Price: 41.25)",No Exit Yet,"-1.33%, 3 days","83.33%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-12 (Price: 40.7), 1.33% below",3 days,11.49%/2.87%/5.31%,"13.48%, 13.94%",2 months/1 day/18 days,2026-05-06/2026-02-10/2026-03-07,9.96%,8.79%,1.17%,0.33,0.44,43.2218/43.4404/43.33/126.5/138.0871/146.706/50.18,36.7/40.95/40.2093/33.7767/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),41.55
"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",No Exit Yet,"-0.93%, 11 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-12 (Price: 920.6), 0.93% below",11 days,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/976.73,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),906.0
"LYFT, Long, 2026-01-29 (Price: 17.75)",2026-02-12 (Price: 13.135),"-26.0%, 14 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-12 (Price: 13.135), 26.0% below",14 days,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-04-17/2026-01-30/2026-02-19,-3.92%,-12.3%,8.38%,-0.15,-0.0,17.569/18.9748/18.27/57.19/No Next Fib Ext/No Next Fib Ext/17.83,17.2/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),17.2
"IHI, Long, 2026-01-26 (Price: 60.74)",2026-02-09 (Price: 58.09),"-4.36%, 14 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-02-12 (Price: 57.625), 5.13% below",17 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-02-22/2026-01-27/2026-02-05,10.24%,1.25%,8.99%,0.38,-0.05,64.7002/62.3921/63.55/65.925/68.9264/76.3906/61.33,60.28/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),60.27
"SUM.NZ, Long, 2026-01-26 (Price: 11.92)",2026-02-09 (Price: 11.13),"-6.63%, 14 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-02-12 (Price: 10.89), 8.64% below",17 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-04-22/2026-01-27/2026-02-22,5.72%,-0.28%,6.0%,0.18,-0.09,12.0738/12.3694/12.22/12.6867/19.8479/26.5969/No EMA 200 Target,11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),11.95
"NFLX, Long, 2025-12-28 (Price: 94.47)",2026-02-12 (Price: 76.685),"-18.83%, 1.5 month","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-12 (Price: 76.685), 18.83% below",1.5 month,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-06-06/2026-01-27/2026-04-02,0.19%,16.07%,-15.88%,-0.03,0.7,108.9617/109.708/109.33/No Horizontal Resistance/139.352/152.4292/112.36,94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),94.71
