Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-12-07 (Price: 3.64)",Weekly,No Exit Yet,3.8165 (Avg % Gain of Historic Winning trades),No Date Target,1.05%/1.21%,"4.4%, 1 month","2026-01-07 (Price: 3.8), 4.4% above",3.84 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/3.846 (Backtested Max),2027-07-03 (Max)/2026-05-08 (Min)/2027-02-14 (Avg),2.94/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.2,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,4.4% above/4.4% above/4.4% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",Weekly,2026-01-04 (Price: 3.68),3.82 (Exit Rule),No Date Target,110.13%/234.62%,"10.14%, 1.7 month","2026-01-07 (Price: 3.8), 10.14% above",7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-06-12 (Max)/2026-04-17 (Min)/2027-01-24 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,8.88% above/10.14% above/10.14% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",Weekly,2026-01-04 (Price: 3.68),No Price Target,No Date Target,60.0%/110.13%,"9.2%, 3.1 months","2026-01-07 (Price: 3.8), 9.2% above",6.08 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-05-01 (Max)/2026-03-06 (Min)/2026-12-13 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,21.02% above/9.2% above/9.2% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-03-02 (Price: 3.39)",Weekly,2026-01-04 (Price: 3.68),No Price Target,No Date Target,5.53%/110.13%,"12.09%, 10.4 months","2026-01-07 (Price: 3.8), 12.09% above",4.01 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-26 (Max)/2026-05-10 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,13.77% above/12.09% above/12.09% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-23 (Price: 3.34)",Weekly,2026-01-04 (Price: 3.68),No Price Target,No Date Target,110.13%/234.62%,"13.77%, 10.6 months","2026-01-07 (Price: 3.8), 13.77% above",7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-19 (Max)/2026-05-03 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.03,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,19.5% above/13.77% above/13.77% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.77 (Backtested Min),No Date Target,4.23%/7.84%,"12.09%, 10.4 months","2026-01-07 (Price: 3.8), 12.09% above",3.9609 (Historic Rise or Fall to Pivot)/4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,33.33% above/16.21% above/12.09% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,1.21%/4.95%,"8.48%, 8 months","2026-01-07 (Price: 39.0), 8.48% above",39.4731 (Historic Rise or Fall to Pivot)/42.0723 (Avg % Gain of Historic Winning trades)/52.54 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.1005 (Backtested Max)/41.4468 (Backtested Min),2029-07-01 (Max)/2026-12-05 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"23.66% (Price: 32.958), 18.33% above, Upmove Bounce Back","2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,2.22%/3.77%,"12.78%, 9.2 months","2026-01-07 (Price: 39.0), 12.78% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max)/39.8673 (Backtested Min),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"38.2% (Price: 32.1618), 21.26% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",Monthly,No Exit Yet,39.1438 (Horizontal),No Date Target,4.95%/16.77%,"3.31%, 7 days","2026-01-07 (Price: 39.0), 3.31% above",47.0516 (Historic Rise or Fall to Pivot)/45.7945 (Avg % Gain of Historic Winning trades)/49.28 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/46.3306 (Backtested Max)/45.5416 (Backtested Min),2035-02-19 (Max)/2026-06-22 (Min)/2030-09-16 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.49,"85.71%, Past 24 years, 7",No Information,No Information,No Information,"23.66% (Price: 34.9549), 11.57% above, Upmove Bounce Back","2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-31 (Price: 36.5)",Monthly,No Exit Yet,38.8663 (Horizontal),No Date Target,4.95%/12.91%,"6.85%, 7.4 months","2026-01-07 (Price: 39.0), 6.85% above",45.4936 (Historic Rise or Fall to Pivot)/44.2782 (Avg % Gain of Historic Winning trades)/55.32 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.7965 (Backtested Max)/44.0336 (Backtested Min),2034-07-20 (Max)/2030-02-14 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.49,"85.71%, Past 24 years, 7",No Information,No Information,No Information,"23.66% (Price: 32.0779), 21.58% above, Upmove Bounce Back","2016-11-30 (Price: 8.13), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
