Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 60427.0), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.98% above/0.0% below/0.0% below,4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/72577.1591/79594.0726,59468.6/24894.2998/51420.3721/37395.584/60987.064/61613.3813,58472.35/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BASELINEDIVERGENCE,"NVDA, Long, 2025-11-09 (Price: 188.15)",No Exit Yet,"2.66%, 1 days","91.01%, Past 10 years, 89","Weekly, was CONFIRMED on 2025-11-09",Already confirmed,"2025-11-11 (Price: 193.16), 2.66% above",1 days,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-07-19/2026-01-11/2026-03-07,49.18%,72.17%,-22.99%,0.82,1.91,250.7475/261.7919/239.8943/No Horizontal Resistance/239.8943/283.6698,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,184.38/150.22,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
TRENDPULSE,"KWEB, Long, 2025-09-30 (Price: 42.01)",2025-11-11 (Price: 39.59) (Today),"-5.76%, 30 days","100.0%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-11-11 (Price: 39.59), 5.76% below",30 days,No Information,No Information,No Information,No Information,No Information,5.76% below/5.63% below/5.76% below,46.31%/6.03%/27.78%,"-0.0%, 16.01%",325 days/109 days/191 days,2027-01-13/2026-03-06/2026-07-03,26.09%,3.29%,22.8%,1.98,0.14,52.2226/53.6804/46.8/71.73/No Next Fib Ext/No Next Fib Ext,23.34/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,38.29/34.34,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"GDX, Long, 2025-09-21 (Price: 72.36)",2025-11-11 (Price: 76.71) (Today),"6.01%, 36 days","91.67%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-11-11 (Price: 76.71), 6.01% above",36 days,No Information,No Information,No Information,No Information,No Information,15.63% above/6.01% above/6.01% above,27.5%/0.75%/11.96%,"1.9%, 52.31%",349 days/19 days/59 days,2027-02-08/2025-10-18/2025-12-15,19.85%,1.2%,18.66%,1.67,0.09,75.4642/81.0143/93.79/No Horizontal Resistance/72.73/90.9746,34.26/25.645/50.0225/36.1563/No F-Track Level/No F-Track Level,59.37/47.97,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",2025-11-11 (Price: 237.52) (Today),"34.72%, 73 days","100.0%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 237.52), 34.72% above",73 days,No Information,No Information,No Information,No Information,No Information,114.5% above/64.76% above/34.72% above,190.68%/42.09%/96.91%,"-0.0%, 58.95%",653 days/109 days/254 days,2028-03-02/2026-01-04/2026-08-02,29.08%,11.7%,17.38%,1.47,0.49,279.9274/347.172/178.82/No Horizontal Resistance/219.0648/251.3512,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level,136.59/123.49,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"GLD, Long, 2025-06-30 (Price: 304.83)",2025-11-11 (Price: 379.87) (Today),"24.62%, 96 days","100.0%, Past 20 years, 4","Quarterly, is CONFIRMED on 2025-06-30",Already confirmed,"2025-11-11 (Price: 379.87), 24.62% above",96 days,No Information,No Information,No Information,No Information,No Information,31.84% above/29.94% above/24.62% above,33.06%/15.19%/24.12%,"-0.0%, 10.36%",586 days/392 days/489 days,2027-10-26/2027-01-18/2027-06-08,10.81%,10.5%,0.31%,0.74,0.5,359.6994/378.355/413.54/No Horizontal Resistance/424.4974/624.146,154.67/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level,306.13/268.69,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
TRENDPULSE,"BTC-USD, Long, 2025-05-31 (Price: 104638.0938)",2025-11-11 (Price: 102773.2812) (Today),"-1.78%, 116 days","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-11 (Price: 102773.2812), 1.78% below",116 days,No Information,No Information,No Information,No Information,No Information,9.09% above/1.78% below/1.78% below,347.58%/48.3%/218.14%,"-0.0%, 15.0%",131 days/108 days/125 days,2025-12-06/2025-11-03/2025-11-28,256.42%,64.47%,191.95%,1.22,1.44,290297.4636/332895.6316/161744.31/108691.664/112399.9298/136097.3501,16547.5/18304.4229/88806.9363/81023.3741/No F-Track Level/No F-Track Level,98179.57/94736.72,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"TCEHY, Long, 2025-03-31 (Price: 63.84)",2025-11-11 (Price: 83.87) (Today),"31.38%, 161 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-11-11 (Price: 83.87), 31.38% above",161 days,No Information,No Information,No Information,No Information,No Information,36.13% above/31.38% above/31.38% above,48.56%/8.58%/32.02%,"-0.0%, 28.74%",434 days/87 days/179 days,2026-12-19/2025-08-04/2025-12-15,29.28%,21.03%,8.25%,1.74,0.72,78.3955/84.2816/72.69/73.09/91.9947/116.3817,34.84/36.36/58.3318/52.1422/No F-Track Level/No F-Track Level,60.71/53.18,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2024-03-31 (Price: 136.05)",2025-11-11 (Price: 291.17) (Today),"114.02%, 421 days","90.0%, Past 28 years, 10","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-11-11 (Price: 291.17), 114.02% above",421 days,No Information,No Information,No Information,No Information,No Information,114.02% above/114.02% above/114.02% above,48.89%/11.67%/30.08%,"14.69%, 43.01%",1761 days/325 days/847 days,2031-03-25/2025-07-14/2027-08-09,7.46%,16.51%,-9.06%,0.99,0.53,168.4979/176.9738/199.33/143.6/135.8936/169.1372,68.56/60.035/108.0515/85.2377/No F-Track Level/No F-Track Level,129.28/104.41,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-11 (Price: 627.08)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-11 (Price: 627.08), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 0.26% below, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/11.97%,"-0.0%, 32.63%",65 days/20 days/37 days,2026-02-13/2025-12-09/2026-01-03,94.49%,5.3%,89.19%,0.68,0.8,560.4841/552.0185/202.18/280.19/591.2141/491.5059,773.44/280.19/591.2141/491.5059/617.1746/646.7986,721.92/678.5,85.71%/7/46 days (Across ALL Assets),38.89%/18/73 days (Across ALL Assets)
