"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"UBER, Long, 2026-02-27 (Price: 75.42)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 75.42), 0.0% below",0 days,32.55%/10.16%/16.89%,"0%, 19.43%",4.4 months/21 days/2 months,2026-09-06/2026-03-29/2026-05-24,15.68%,6.33%,9.35%,1.66,0.38,88.2414/88.1584/88.2/82.12/103.1697/130.9341/88.53,69.99/34.6025/71.0872/No support/70.6297/60.9425/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),72.99
"SUM.NZ, Long, 2026-02-27 (Price: 10.66)",No Exit Yet,"0.0%, 0 days","71.43%, Past 14 years, 7","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 10.66), 0.0% below",0 days,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2026-07-29/2026-03-09/2026-06-02,2.34%,11.18%,-8.84%,0.05,0.61,13.0628/11.5927/12.33/12.64/16.7981/18.5763/11.49,10.5/9.1367/8.9354/8.0661/No support/10.1028/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),10.5
"TRI.TO, Long, 2026-02-27 (Price: 131.33)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 131.33), 0.0% below",0 days,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2028-02-25/2026-03-19/2026-10-28,5.14%,6.08%,-0.94%,1.52,0.34,137.3712/139.4331/138.4/240.8933/308.8111/326.8654/217.25,113.99/126.1128/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),113.04
"TCS.NS, Long, 2026-02-25 (Price: 2629.3)",No Exit Yet,"0.31%, 2 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 2637.3999), 0.31% above",2 days,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-27/2026-02-26/2026-03-11,12.04%,-0.2%,12.24%,0.76,-0.13,2805.989/2715.541/2760.77/4543.575/5051.5642/5692.579/3155.03,2573.7/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),2596.0
"MA, Long, 2026-02-25 (Price: 509.39)",No Exit Yet,"1.54%, 2 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 517.21), 1.54% above",2 days,5.48%/1.68%/3.66%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-04-22/2026-02-27/2026-03-11,13.9%,7.14%,6.76%,1.39,0.38,555.4898/528.0337/541.76/592.095/716.5814/751.3605/561.99,496.03/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),502.82
"GBPSGD=X, Long, 2026-02-23 (Price: 1.7075)",No Exit Yet,"-0.18%, 4 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-23",Already confirmed,"2026-02-27 (Price: 1.7045), 0.18% below",4 days,2.71%/0.41%/0.84%,"2.69%, 2.78%",1.9 month/1 day/14 days,2026-05-16/2026-02-24/2026-03-15,3.25%,-0.71%,3.96%,0.01,-0.92,1.7258/1.7218/1.72/1.8577/4.0285/5.5304/1.73,No support/1.6858/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),1.7066
"NFLX, Long, 2026-02-22 (Price: 78.67)",2026-02-27 (Price: 96.24),"22.33%, 5 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-27 (Price: 96.24), 22.33% above",5 days,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-08-01/2026-03-24/2026-05-28,0.19%,16.07%,-15.88%,-0.03,0.7,90.738/91.3595/91.05/82.231/139.352/152.4292/110.15,76.87/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),76.92
"KXS.TO, Long, 2026-02-22 (Price: 124.2)",No Exit Yet,"4.28%, 5 days","100.0%, Past 11 years, 4","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-27 (Price: 129.51), 4.28% above",5 days,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,2026-07-24/2026-05-15/2026-06-19,12.67%,15.77%,-3.1%,14.45,0.74,147.6862/139.3151/143.5/209.885/245.9157/289.1348/179.22,123.77/No Horizontal Support/118.5983/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),122.9
"ORCL, Long, 2026-02-15 (Price: 160.14)",No Exit Yet,"-9.2%, 12 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-27 (Price: 145.4), 9.2% below",12 days,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,2026-03-17/2026-02-25/2026-03-10,5.26%,6.77%,-1.51%,0.27,0.34,214.1232/179.6771/196.9/No Horizontal Resistance/300.069/376.1425/220.63,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),148.49
"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",2026-02-24 (Price: 2573.7),"-13.77%, 14 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-27 (Price: 2637.3999), 11.63% below",17 days,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-12/2026-02-11/2026-02-24,12.04%,-0.2%,12.24%,0.76,-0.13,3185.1652/3082.495/3133.83/4543.575/5637.7577/6110.9256/3155.03,2941.6/2934.3251/2637.2425/2286.8248/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),2949.8
