"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BAC, Long, 2026-01-05 (Price: 56.89)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-01-05 (Price: 56.89), 0.0% below",0 days,"6, 2025-07-31 (Price: 47.27)",2026-01-02 (Price: 55.95),2026-01-05 (Price: 56.89),3/0/0 days,1.68% above/0.0% below/0.0% below,2025-07-31 (Price: 51.4662)/2026-01-05 (Price: 55.7436),7.68%/1.08%/3.17%,"13.24%, 27.96%",5.8 months/6 days/26 days,2026-09-14/2026-01-13/2026-02-11,8.97%,5.09%,3.88%,0.53,0.27,57.6523/58.6934/62.66/No Horizontal Resistance/60.5768/64.246/No EMA 200 Target,55.0/29.49/50.5717/44.5293/49.8392/45.1006/47.83,No Data (Across ALL Assets),No Data (Across ALL Assets)
"TCEHY, Long, 2026-01-05 (Price: 81.11)",No Exit Yet,"0.0%, 0 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-05",Already confirmed,"2026-01-05 (Price: 81.11), 0.0% below",0 days,"2, 2025-11-11 (Price: 83.77)",2025-12-31 (Price: 76.55),2026-01-05 (Price: 81.11),5/0/0 days,5.96% above/0.0% below/0.0% below,2025-11-11 (Price: 86.3821)/2026-01-05 (Price: 75.973),11.98%/0.95%/5.68%,"35.17%, 59.22%",19 days/4 days/9 days,2026-02-01/2026-01-10/2026-01-18,-2.67%,6.59%,-9.26%,0.04,0.36,90.535/85.717/82.71/No Horizontal Resistance/99.3611/116.6601/No EMA 200 Target,76.55/36.36/74.5211/58.6593/72.7908/63.6407/72.51,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BNS.TO, Long, 2026-01-05 (Price: 102.82)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.58 prior to 2026-01-30,"2026-01-05 (Price: 102.82), 0.0% below",0 days,"2, 2024-03-31 (Price: 70.07)",2025-11-30 (Price: 96.94),2026-01-02 (Price: 102.4),36/3/0 days,6.07% above/0.41% above/0.0% below,2024-03-31 (Price: 70.4)/2026-01-05 (Price: 94.2089),24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-02/2026-09-22/2027-09-22,1.95%,4.3%,-2.35%,0.65,0.19,108.2078/116.7418/122.47/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,56.15/62.2517/95.6649/90.1456/91.7669/84.8022/81.8,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BNS.TO, Long, 2026-01-05 (Price: 102.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-01-05 (Price: 102.82), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-01-02 (Price: 102.4),97/3/0 days,14.26% above/0.41% above/0.0% below,2022-03-31 (Price: 95.0)/2026-01-05 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-04-15/2028-02-26/2032-01-04,6.77%,6.25%,0.52%,1.08,0.33,116.1146/112.5365/110.75/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/91.7669/84.8022/81.8,No Data (Across ALL Assets),No Data (Across ALL Assets)
"JNK, Long, 2026-01-05 (Price: 97.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 97.3727 prior to 2026-01-09,"2026-01-05 (Price: 97.5), 0.0% below",0 days,"8, 2024-03-10 (Price: 94.7)",2025-12-28 (Price: 97.16),2026-01-05 (Price: 97.5),8/0/0 days,0.35% above/0.0% below/0.0% below,2024-03-10 (Price: 98.3166)/2026-01-05 (Price: 96.8883),3.5%/0.19%/1.47%,"-0.0%, 19.15%",9.1 months/1.2 month/4.1 months,2027-02-04/2026-02-26/2026-06-30,2.85%,-0.98%,3.83%,0.97,-0.59,97.9387/98.9332/99.18/108.5222/169.7114/218.5371/No EMA 200 Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/No support/No support/96.41,No Data (Across ALL Assets),No Data (Across ALL Assets)
"ACWX, Long, 2026-01-05 (Price: 68.88)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 68.01 prior to 2026-01-30,"2026-01-05 (Price: 68.88), 0.0% below",0 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-02 (Price: 68.13),36/3/0 days,3.59% above/1.1% above/0.0% below,2023-07-31 (Price: 51.3)/2026-01-05 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-09-21/2026-06-30/2028-01-03,1.22%,0.78%,0.44%,0.41,-0.09,73.6809/73.5363/79.52/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/61.7922/57.4149/62.05,No Data (Across ALL Assets),No Data (Across ALL Assets)
"^BVSP, Long, 2026-01-05 (Price: 161869.7656)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 161124.0 prior to 2026-01-30,"2026-01-05 (Price: 161869.7656), 0.0% below",0 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-05 (Price: 161869.7656),36/0/0 days,1.76% above/0.0% below/0.0% below,2022-09-30 (Price: 118704.842)/2026-01-05 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-09-21/2026-12-22/2028-09-21,6.15%,6.78%,-0.63%,0.48,0.36,179092.7087/177166.4584/192969.42/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,120283.0/96132.0/151418.724/142375.45/153960.0442/147153.434/141875.89,No Data (Across ALL Assets),No Data (Across ALL Assets)
"GS, Long, 2026-01-05 (Price: 948.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 884.0 prior to 2026-01-30,"2026-01-05 (Price: 948.44), 0.0% below",0 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-02 (Price: 914.34),5/3/0 days,7.9% above/3.73% above/0.0% below,2023-07-31 (Price: 351.8948)/2026-01-05 (Price: 831.3002),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-07-31/2026-06-27/2027-08-01,10.95%,5.86%,5.09%,1.01,0.3,1142.8702/1221.5907/1303.98/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,303.61/288.555/818.1554/728.9736/765.0904/644.2906/709.75,No Data (Across ALL Assets),No Data (Across ALL Assets)
"IWM, Long, 2026-01-05 (Price: 252.73)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-01-05 (Price: 252.73), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),5/3/0 days,2.67% above/1.59% above/0.0% below,2021-09-30 (Price: 244.4167)/2026-01-05 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-06-10/2027-06-10/2027-06-10,3.33%,4.39%,-1.06%,0.87,0.2,232.638/309.5437/273.12/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/237.7412/225.1685/225.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"NA.TO, Long, 2026-01-05 (Price: 175.57)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 172.8 prior to 2026-01-30,"2026-01-05 (Price: 175.57), 0.0% below",0 days,"2, 2023-07-31 (Price: 103.28)",2025-12-31 (Price: 172.61),2026-01-02 (Price: 173.25),5/3/0 days,1.71% above/1.34% above/0.0% below,2023-07-31 (Price: 101.3062)/2026-01-05 (Price: 171.6188),28.7%/8.86%/18.76%,"5.23%, 30.62%",1.5 year/5.1 months/9.5 months,2028-02-26/2026-08-14/2027-02-21,8.11%,7.36%,0.75%,1.24,0.44,192.4774/208.5069/218.94/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,118.77/82.9367/162.0277/152.3147/160.7722/150.4677/144.1,No Data (Across ALL Assets),No Data (Across ALL Assets)
