"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"MCY.NZ, Long, 2025-11-25 (Price: 6.5)",No Exit Yet,"0.0%, 0 days","90.2%, Past 4 years, 51","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 6.5), 0.0% below",0 days,"2, 2025-09-25 (Price: 6.65)",2025-11-25 (Price: 6.5),2025-11-25 (Price: 6.5),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-09-25 (Price: 6.9167)/2025-11-25 (Price: 6.4411),7.72%/1.3%/4.53%,"14.39%, 20.6%",4 months/4 days/27 days,2026-05-17/2025-11-30/2026-01-03,20.77%,4.77%,16.0%,0.81,0.17,6.6215/6.7944/6.59/7.085/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,6.32/5.13/No F-Stack Support/No F-Stack Support/7.5404/7.7803/6.21,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-11-25 (Price: 318.47)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 311.01 prior to 2025-11-28,"2025-11-24 (Price: 318.47), 0.0% below",0 days,"2, 2025-05-18 (Price: 167.43)",2025-11-23 (Price: 299.65),2025-11-25 (Price: 318.47),0/1/1 days,6.28% above/0.0% below/0.0% below,2025-05-18 (Price: 168.6944)/2025-11-25 (Price: 304.0583),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-05-30/2025-12-29/2026-02-01,35.83%,21.1%,14.73%,1.74,0.79,351.3998/344.5208/409.09/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,147.74/84.51/243.1061/191.2921/263.8796/229.5143/201.19,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-25 (Price: 989.8)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-25 (Price: 989.8), 0.0% below",0 days,"0, 2020-11-30 (Price: 720.425)",2025-11-25 (Price: 989.8),2025-11-25 (Price: 989.8),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-11-30 (Price: 763.4559)/2025-11-25 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-07/2026-04-28/2026-09-09,15.97%,19.29%,-3.32%,0.9,0.75,1114.6138/1230.5194/1151.42/1004.15/1299.7536/1565.406/No Moving Avg Target,701.7/640.9/976.4995/762.8018/940.3577/891.107/954.53,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"IEI, Long, 2025-11-25 (Price: 120.14)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 119.3 prior to 2025-11-28,"2025-11-24 (Price: 120.14), 0.0% below",0 days,"2, 2024-09-30 (Price: 119.61)",2025-11-25 (Price: 120.14),2025-11-25 (Price: 120.14),1/1/1 days,0.0% below/0.0% below/0.0% below,2024-09-30 (Price: 120.33)/2025-11-25 (Price: 119.47),2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-14/2026-05-01/2026-10-21,0.4%,0.95%,-0.55%,0.05,-0.88,121.858/122.3866/120.46/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/139.4714/142.7661/118.47,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SOXX, Long, 2025-11-25 (Price: 282.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-11-24 (Price: 282.7), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-11-25 (Price: 282.7),2025-11-25 (Price: 282.7),1/1/1 days,0.0% below/0.0% below/0.0% below,2015-06-30 (Price: 22.1158)/2025-11-25 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,2029-04-04/2027-03-09/2027-06-27,17.9%,12.73%,5.17%,1.39,0.46,342.8586/404.1196/433.9/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/234.83,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"XLV, Long, 2025-11-25 (Price: 155.26)",No Exit Yet,"0.0%, 0 days","86.21%, Past 20 years, 29","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 144.07 prior to 2025-11-28,"2025-11-24 (Price: 155.26), 0.0% below",0 days,"2, 2024-09-30 (Price: 154.02)",2025-09-30 (Price: 139.17),2025-11-25 (Price: 155.26),55/1/1 days,11.56% above/0.0% below/0.0% below,2024-09-30 (Price: 159.64)/2025-11-25 (Price: 137.8933),17.42%/2.58%/8.85%,"20.84%, 36.99%",1.9 year/2.9 months/7.8 months,2028-08-27/2026-03-29/2026-10-28,5.12%,6.82%,-1.7%,0.64,0.25,162.9919/169.0005/156.0/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.43/120.178/153.114/117.2225/167.2798/171.9748/139.41,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CSCO, Long, 2025-11-25 (Price: 76.24)",No Exit Yet,"0.0%, 0 days","81.82%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 74.61 prior to 2025-11-28,"2025-11-24 (Price: 76.24), 0.0% below",0 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-25 (Price: 76.24),24/1/1 days,4.28% above/0.0% below/0.0% below,2020-11-30 (Price: 63.5339)/2025-11-25 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",11.6 months/3.6 months/6.6 months,2027-04-11/2026-04-28/2026-09-06,6.7%,1.67%,5.03%,0.55,0.08,83.0254/89.0331/96.17/No Horizontal Resistance/79.6796/86.2438/No Moving Avg Target,46.5/40.92/73.1467/67.451/68.7836/61.8539/65.82,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"DIA, Long, 2025-11-25 (Price: 464.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 27 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 462.57 prior to 2025-12-31,"2025-11-24 (Price: 464.44), 0.0% below",0 days,"4, 2010-12-31 (Price: 115.63)",2025-09-30 (Price: 463.74),2025-11-25 (Price: 464.44),55/1/1 days,0.15% above/0.0% below/0.0% below,2010-12-31 (Price: 102.8559)/2025-11-25 (Price: 447.0827),39.44%/24.26%/29.32%,"-0.0%, 23.1%",2.5 years/10.8 months/1.4 year,2029-07-07/2027-03-10/2027-12-18,13.89%,6.15%,7.74%,1.37,0.2,493.3746/600.6138/673.73/No Horizontal Resistance/508.5373/687.3389/No Moving Avg Target,287.3/321.6725/398.0316/329.7358/456.4623/439.2934/439.23,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"ATZ.TO, Long, 2025-11-25 (Price: 108.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 106.85 prior to 2025-11-28,"2025-11-24 (Price: 108.23), 0.0% below",0 days,"2, 2025-05-18 (Price: 66.25)",2025-11-23 (Price: 105.95),2025-11-25 (Price: 108.23),0/1/1 days,2.15% above/0.0% below/0.0% below,2025-05-18 (Price: 68.8719)/2025-11-25 (Price: 102.2504),31.79%/5.83%/20.18%,"0%, 57.81%",9.5 months/24 days/4.5 months,2027-01-10/2025-12-29/2026-06-09,25.42%,20.42%,5.0%,2.19,0.65,111.4336/130.0708/133.42/No Horizontal Resistance/111.7977/164.6254/No Moving Avg Target,41.91/32.3325/79.1477/388.4085/88.208/75.3445/71.84,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"BDGI.TO, Long, 2025-11-25 (Price: 71.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-11-24 (Price: 71.14), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-11-24 (Price: 71.14),55/0/1 days,15.9% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-11-25 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",1.3 year/10.8 months/1.1 year,2027-09-17/2027-03-10/2027-07-16,41.42%,12.22%,29.2%,1.0,0.42,116.4989/158.756/94.82/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/51.05,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
