"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XLV, Long, 2026-03-31 (Price: 146.61)",2026-04-13 (Price: 147.97),"0.93%, 13 days","100.0%, Past 6 years, 10","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-13 (Price: 147.97), 0.93% above",13 days,2026-03-19 (Price: 146.3)/2026-03-27 (Price: 143.07),11 days/1 day/5 days,5.19%/0.42%/1.86%,"-0.0%, 9.26%",4 months/4 days/1 month,2026-09-20/2026-04-05/2026-05-13,6.27%,5.74%,0.53%,1.88,0.34,153.0315/149.3369/158.34/159.7267/174.1807/202.706/No EMA 200 Target,No Recent Minima/121.1/117.2225/81.225/No F-Track Level/No F-Track Level/146.2,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),144.81
"TD, Long, 2026-03-31 (Price: 93.31)",2026-04-09 (Price: 99.87),"7.03%, 9 days","94.44%, Past 6 years, 18","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-13 (Price: 102.04), 9.36% above",13 days,2026-03-20 (Price: 91.66)/2026-03-27 (Price: 91.05),17 days/1 day/7 days,7.34%/0.2%/2.95%,"11.49%, 11.49%",2.2 months/4 days/14 days,2026-07-04/2026-04-05/2026-04-20,8.94%,9.86%,-0.92%,0.0,0.59,100.2989/96.0626/99.84/No Horizontal Resistance/115.2091/125.1041/No EMA 200 Target,No Recent Minima/54.526/75.6865/62.3451/No F-Track Level/No F-Track Level/85.07,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),92.52
"TD.TO, Long, 2026-03-31 (Price: 129.92)",2026-04-08 (Price: 137.25),"5.64%, 8 days","87.5%, Past 6 years, 16","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-13 (Price: 140.67), 8.27% above",13 days,2026-03-23 (Price: 127.45)/2026-03-27 (Price: 126.46),21 days/1 day/9 days,9.7%/0.74%/2.54%,"12.12%, 13.53%",1.2 month/4 days/15 days,2026-05-22/2026-04-05/2026-04-21,4.79%,9.8%,-5.01%,2.05,0.64,136.7278/133.22/136.42/No Horizontal Resistance/152.0396/161.295/No EMA 200 Target,No Recent Minima/73.6233/128.6672/103.0479/No F-Track Level/No F-Track Level/117.5,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),128.79
"HDB, Long, 2026-03-25 (Price: 25.81)",2026-04-08 (Price: 27.11),"5.04%, 14 days","88.0%, Past 6 years, 25","Daily, is Confirmed on 2026-03-25",No Cancellation Possible,"2026-04-13 (Price: 26.8), 3.84% above",19 days,2026-03-20 (Price: 25.39)/2026-03-23 (Price: 24.74),23 days/1 day/8 days,11.75%/0.27%/5.01%,"10.41%, 13.52%",2.3 months/3 days/24 days,2026-07-02/2026-03-29/2026-04-28,14.18%,3.88%,10.3%,0.0,0.2,27.9213/27.1031/27.1/39.3812/40.717/51.346/34.41,No Recent Minima/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),26.0
"BNS.TO, Long, 2026-03-25 (Price: 96.63)",2026-04-13 (Price: 101.67),"5.22%, 19 days","88.24%, Past 6 years, 17","Daily, is Confirmed on 2026-03-25",No Cancellation Possible,"2026-04-13 (Price: 101.67), 5.22% above",19 days,2026-03-16 (Price: 94.8)/2026-03-20 (Price: 92.85),16 days/1 day/7 days,5.72%/0.11%/2.46%,"12.2%, 12.51%",1.6 month/4 days/19 days,2026-06-02/2026-03-30/2026-04-21,4.18%,6.81%,-2.63%,0.0,0.41,101.6644/99.0071/101.46/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,No Recent Minima/61.07/92.969/69.3218/No F-Track Level/No F-Track Level/92.11,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),96.7
"JETS, Long, 2026-03-25 (Price: 25.3)",2026-04-10 (Price: 25.89),"2.33%, 16 days","81.82%, Past 6 years, 22","Daily, is Confirmed on 2026-03-25",No Cancellation Possible,"2026-04-13 (Price: 25.81), 2.02% above",19 days,2026-03-16 (Price: 24.27)/2026-03-20 (Price: 23.8699),25 days/1 day/7 days,14.34%/0.34%/5.38%,"13.13%, 13.13%",1.8 month/2 days/11 days,2026-06-11/2026-03-27/2026-04-09,10.13%,7.52%,2.61%,0.0,0.38,27.1798/26.6611/26.57/27.1773/No Next Fib Ext/No Next Fib Ext/26.15,No Recent Minima/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),25.41
"AIA.NZ, Long, 2026-03-25 (Price: 8.08)",2026-04-10 (Price: 8.25),"2.1%, 16 days","86.36%, Past 6 years, 22","Daily, is Confirmed on 2026-03-25",No Cancellation Possible,"2026-04-13 (Price: 8.22), 1.73% above",19 days,2026-03-16 (Price: 8.24)/2026-03-19 (Price: 8.12),21 days/1 day/5 days,7.89%/0.2%/2.57%,"10.83%, 12.7%",7.8 months/3 days/1.4 month,2027-02-26/2026-03-29/2026-05-24,3.2%,4.83%,-1.63%,0.0,0.24,8.3515/8.2877/8.48/8.8962/11.1706/12.8535/No EMA 200 Target,No Recent Minima/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/8.04,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),7.96
"TSM, Long, 2026-03-23 (Price: 338.45)",2026-04-08 (Price: 365.9),"8.11%, 16 days","80.0%, Past 6 years, 25","Daily, is Confirmed on 2026-03-23",No Cancellation Possible,"2026-04-13 (Price: 369.57), 9.19% above",21 days,2026-03-16 (Price: 339.82)/2026-03-19 (Price: 325.19),13 days/1 day/5 days,12.87%/1.7%/6.28%,"11.58%, 14.75%",2.8 months/3 days/18 days,2026-07-22/2026-03-27/2026-04-18,13.7%,25.16%,-11.46%,0.0,1.16,365.7968/359.7047/355.37/No Horizontal Resistance/436.8357/502.8791/No EMA 200 Target,No Recent Minima/83.575/334.306/272.4436/No F-Track Level/No F-Track Level/294.69,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),331.1
"RY.TO, Long, 2026-03-16 (Price: 224.21)",2026-04-09 (Price: 235.83),"5.18%, 24 days","93.33%, Past 6 years, 15","Daily, is Confirmed on 2026-03-16",No Cancellation Possible,"2026-04-13 (Price: 239.0), 6.6% above",28 days,2026-03-06 (Price: 220.33)/2026-03-09 (Price: 218.25),18 days/1 day/7 days,11.21%/0.22%/3.21%,"10.52%, 12.61%",2.5 months/3 days/21 days,2026-07-02/2026-03-20/2026-04-15,8.36%,12.12%,-3.76%,0.0,0.94,234.6582/231.4071/235.42/No Horizontal Resistance/339.4883/371.0652/No EMA 200 Target,No Recent Minima/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/211.29,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),222.62
"BAC, Long, 2026-03-11 (Price: 48.52)",2026-04-08 (Price: 51.88),"6.92%, 28 days","92.86%, Past 6 years, 14","Daily, is Confirmed on 2026-03-11",No Cancellation Possible,"2026-04-13 (Price: 53.35), 9.95% above",1.1 month,2026-03-03 (Price: 48.5)/2026-03-09 (Price: 46.77),24 days/1 day/7 days,7.77%/0.3%/3.88%,"10.29%, 11.06%",1.2 month/3 days/17 days,2026-05-02/2026-03-15/2026-04-04,9.77%,9.97%,-0.2%,3.37,0.51,52.0183/50.4026/51.43/48.7833/72.41/85.2389/51.02,No Recent Minima/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),48.36
"JETS, Long, 2026-03-10 (Price: 25.35)",2026-04-10 (Price: 25.89),"2.13%, 1 month","81.82%, Past 6 years, 22","Daily, is Confirmed on 2026-03-10",No Cancellation Possible,"2026-04-13 (Price: 25.81), 1.81% above",1.1 month,2026-02-25 (Price: 28.605)/2026-03-03 (Price: 26.25),25 days/1 day/7 days,14.34%/0.34%/5.38%,"13.13%, 13.13%",1.8 month/2 days/11 days,2026-05-27/2026-03-12/2026-03-25,10.13%,7.52%,2.61%,0.0,0.38,27.2335/26.7138/26.87/27.1773/No Next Fib Ext/No Next Fib Ext/26.15,No Recent Minima/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),25.58
