"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"^NDX, Long, 2026-01-12 (Price: 25787.6641)",No Exit Yet,"0.0%, 0 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 25787.6641), 0.0% below",0 days,"2, 2025-10-23 (Price: 25097.4102)",2026-01-09 (Price: 25766.2598),2026-01-12 (Price: 25787.6641),3/0/0 days,0.08% above/0.0% below/0.0% below,2025-10-23 (Price: 26227.2504)/2026-01-12 (Price: 25595.3094),6.54%/0.57%/3.17%,"1.79%, 22.93%",2.3 months/6 days/18 days,2026-04-21/2026-01-20/2026-02-07,13.31%,13.29%,0.02%,1.25,0.74,26968.7391/26605.1331/26201.82/No Horizontal Resistance/31284.5255/34778.0694/No EMA 200 Target,25206.17/10555.915/22960.0831/19028.9478/22457.6702/20168.8619/23119.95,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"TSM, Long, 2026-01-12 (Price: 331.77)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 331.77), 0.0% below",0 days,"2, 2025-10-23 (Price: 290.73)",2026-01-08 (Price: 318.01),2026-01-12 (Price: 331.77),4/0/0 days,4.33% above/0.0% below/0.0% below,2025-10-23 (Price: 307.9819)/2026-01-12 (Price: 317.9404),11.63%/1.91%/6.59%,"0%, 57.14%",1.2 month/6 days/16 days,2026-03-05/2026-01-20/2026-02-04,17.19%,20.61%,-3.42%,1.78,0.94,367.6343/353.6336/356.39/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,276.96/83.575/291.0528/242.5186/286.3956/257.4174/243.38,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"ASML, Long, 2026-01-12 (Price: 1281.23)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 1281.23), 0.0% below",0 days,"4, 2025-09-11 (Price: 804.16)",2026-01-09 (Price: 1273.88),2026-01-12 (Price: 1281.23),3/0/0 days,0.58% above/0.0% below/0.0% below,2025-09-11 (Price: 980.0751)/2026-01-12 (Price: 1224.9633),21.88%/0.41%/10.18%,"34.28%, 51.77%",3.8 months/7 days/1.3 month,2026-06-26/2026-01-22/2026-03-09,11.06%,16.29%,-5.23%,0.48,0.74,1317.2326/1411.6592/1567.47/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,1015.43/576.784/998.2461/956.961/967.6107/946.9797/861.02,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"BTI, Long, 2026-01-12 (Price: 55.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 55.68), 0.0% below",0 days,"0, 2024-03-26 (Price: 29.88)",2026-01-09 (Price: 55.19),2026-01-12 (Price: 55.68),3/0/0 days,0.89% above/0.0% below/0.0% below,2024-03-26 (Price: 70.4272)/2026-01-12 (Price: 54.8178),9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-05-31/2026-01-17/2026-02-20,13.01%,4.6%,8.41%,1.21,0.22,60.8304/57.3782/71.16/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,53.29/28.5067/53.9498/50.4772/No support/No support/51.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"VGT, Long, 2026-01-12 (Price: 765.51)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 765.51), 0.0% below",0 days,"2, 2025-10-23 (Price: 762.26)",2026-01-12 (Price: 765.51),2026-01-12 (Price: 765.51),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-10-23 (Price: 811.0427)/2026-01-12 (Price: 760.9106),6.35%/1.16%/3.51%,"0%, 20.19%",3.5 months/7 days/23 days,2026-06-13/2026-01-22/2026-02-14,15.33%,14.37%,0.96%,2.27,0.77,802.4076/792.3794/767.46/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,753.78/311.83/671.1312/639.8848/722.7628/671.0018/682.1,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"WMT, Long, 2026-01-12 (Price: 117.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 117.97), 0.0% below",0 days,"8, 2025-05-12 (Price: 96.75)",2026-01-09 (Price: 114.53),2026-01-12 (Price: 117.97),3/0/0 days,3.0% above/0.0% below/0.0% below,2025-05-12 (Price: 99.3904)/2026-01-12 (Price: 113.9987),4.8%/0.97%/2.87%,"-0.0%, 26.01%",2.6 months/6 days/21 days,2026-05-04/2026-01-20/2026-02-11,12.68%,12.5%,0.18%,2.03,0.74,123.5972/121.3557/130.7/No Horizontal Resistance/114.6382/136.6818/No EMA 200 Target,110.9/42.3916/91.6278/82.681/109.6055/103.9305/101.03,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"AIA.NZ, Long, 2026-01-12 (Price: 8.6)",No Exit Yet,"0.0%, 0 days","76.32%, Past 4 years, 38","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 8.6), 0.0% below",0 days,"2, 2025-11-17 (Price: 7.9)",2026-01-09 (Price: 8.54),2026-01-12 (Price: 8.6),3/0/0 days,0.7% above/0.0% below/0.0% below,2025-11-17 (Price: 7.8527)/2026-01-12 (Price: 8.4955),8.49%/0.39%/3.93%,"6.37%, 18.81%",8.4 months/7 days/1.5 month,2027-01-12/2026-01-22/2026-03-18,10.42%,-1.28%,11.7%,0.66,-0.09,9.0739/8.938/9.02/8.8963/10.792/12.737/No EMA 200 Target,7.91/7.0017/8.0885/7.295/No support/No support/7.87,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"BN.TO, Long, 2026-01-12 (Price: 66.47)",No Exit Yet,"0.0%, 0 days","96.55%, Past 4 years, 29","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 66.47), 0.0% below",0 days,"2, 2025-11-18 (Price: 60.68)",2026-01-08 (Price: 65.48),2026-01-12 (Price: 66.47),4/0/0 days,1.51% above/0.0% below/0.0% below,2025-11-18 (Price: 66.6244)/2026-01-12 (Price: 64.9844),8.03%/0.29%/4.42%,"16.93%, 29.13%",2.6 months/6 days/24 days,2026-05-04/2026-01-20/2026-02-15,16.03%,10.89%,5.14%,0.77,0.55,68.4309/69.408/69.94/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,61.35/27.0034/63.3841/59.2857/62.0076/58.0547/58.76,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"MSE.PA, Long, 2026-01-12 (Price: 67.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 67.13), 0.0% below",0 days,"6, 2025-08-08 (Price: 59.35)",2026-01-12 (Price: 67.13),2026-01-12 (Price: 67.13),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-08-08 (Price: 60.6222)/2026-01-12 (Price: 66.6866),4.76%/0.41%/2.29%,"0%, 13.59%",3.5 months/6 days/1.3 month,2026-06-13/2026-01-20/2026-03-09,9.16%,6.81%,2.35%,1.46,0.37,69.4527/68.6673/71.8/No Horizontal Resistance/79.2125/108.6508/No EMA 200 Target,63.33/33.6667/58.6808/47.8642/59.1061/54.1567/60.33,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"EFA, Long, 2026-01-12 (Price: 99.41)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 99.41), 0.0% below",0 days,"0, 2024-03-26 (Price: 79.56)",2026-01-09 (Price: 98.81),2026-01-12 (Price: 99.41),3/0/0 days,0.61% above/0.0% below/0.0% below,2024-03-26 (Price: 79.0752)/2026-01-12 (Price: 98.4085),2.11%/0.62%/1.31%,"18.28%, 30.28%",1.3 month/4 days/15 days,2026-03-09/2026-01-17/2026-02-02,0.47%,3.77%,-3.3%,-0.12,0.15,102.6607/100.7123/111.32/No Horizontal Resistance/98.2071/106.1972/No EMA 200 Target,94.15/66.265/86.3568/75.1989/92.9756/89.009/90.58,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
