Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GS, Long, 2026-02-12 (Price: 917.485)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-12 (Price: 917.485), 0.0% below",0 days,956.17,No Information,No Information,No Information,"23.66% (Price: 855.6773), 7.22% above, Upmove Bounce Back","2025-04-07 (Price: 439.38), 2026-01-16 (Price: 984.7)",No Information,13.91%/5.18%/10.25%,"-0.0%, 33.99%",2.6 years/27 days/7.4 months,2029-10-29/2026-03-23/2026-12-30,26.0%,18.81%,7.19%,2.7,1.04,981.9842/1011.5272/1244.68/No Horizontal Resistance/973.4919/1057.8628/No EMA 200 Target,890.41/288.555/916.0326/818.1554/820.1826/719.0801/757.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"COIN, Long, 2026-02-12 (Price: 143.325)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-12 (Price: 143.325), 0.0% below",0 days,153.137,No Information,No Information,No Information,No Information,No Information,No Information,19.07%/5.69%/9.26%,"27.31%, 39.8%",2.7 months/3 days/23 days,2026-06-09/2026-02-16/2026-03-17,12.46%,-11.08%,23.54%,0.43,0.2,149.1727/156.5969/152.88/289.6467/484.6953/513.7527/290.54,No Recent Minima/86.505/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-12 (Price: 60.745)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-12 (Price: 60.745), 0.0% below",0 days,59.18,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-12/2026-02-17/2026-02-26,11.13%,4.24%,6.89%,0.97,0.2,66.2667/62.3912/61.97/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,60.19/28.5067/53.9498/50.4772/No support/No support/53.01,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2026-02-11 (Price: 44.495)",No Exit Yet,"2.38%, 1 day","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 45.555), 2.38% above",1 day,44.36,No Information,No Information,No Information,No Information,No Information,4.77% above/2.38% above/2.38% above,4.38%/0.62%/2.23%,"10.13%, 19.69%",2.8 months/6 days/24 days,2026-06-12/2026-02-19/2026-03-17,8.66%,2.65%,6.01%,0.1,0.09,46.0612/45.4872/45.93/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.56/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/42.6,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-02-11 (Price: 83.05)",No Exit Yet,"0.54%, 1 day","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 83.5), 0.54% above",1 day,80.11,No Information,No Information,No Information,No Information,No Information,4.38% above/0.54% above/0.54% above,5.25%/1.18%/3.68%,"-0.0%, 15.84%",4.4 months/11 days/2.1 months,2026-08-21/2026-02-26/2026-05-13,13.1%,6.96%,6.14%,2.83,0.36,83.8639/86.1062/106.08/85.51/85.3936/96.14/No EMA 200 Target,70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2026-02-11 (Price: 404.89)",No Exit Yet,"0.08%, 1 day","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 405.215), 0.08% above",1 day,416.094,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.49%,"8.2%, 14.53%",2.4 months/1 day/11 days,2026-05-26/2026-02-12/2026-02-26,5.6%,7.01%,-1.41%,0.17,0.37,420.0734/419.0207/419.55/554.585/553.3726/615.9924/487.08,393.67/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",No Exit Yet,"0.25%, 1 day","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-12 (Price: 7.96), 0.25% above",1 day,8.001,No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,2026-03-22/2026-02-12/2026-03-03,10.19%,8.7%,1.49%,0.56,0.47,8.4688/8.2385/8.35/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,7.7/2.942/6.3611/No support/No F-Track Level/No F-Track Level/7.34,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"-1.92%, 12 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-12 (Price: 917.485), 1.92% below",12 days,884.0,No Information,No Information,No Information,No Information,No Information,4.38% above/1.92% below/1.92% below,53.25%/7.0%/23.74%,"-0.0%, 34.98%",2.5 years/4 months/9.8 months,2029-08-26/2026-07-23/2027-04-01,11.0%,6.57%,4.43%,1.46,0.33,1116.9731/1157.4763/1433.57/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",2026-02-09 (Price: 61.15),"0.77%, 10 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-12 (Price: 60.745), 0.11% above",13 days,60.11,No Information,No Information,No Information,No Information,No Information,0.11% above/0.11% above/0.11% above,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-02-27/2026-02-04/2026-02-13,11.13%,4.24%,6.89%,0.97,0.2,66.1958/62.3244/61.87/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2026-01-13 (Price: 42.85)",2026-02-09 (Price: 43.48),"1.47%, 27 days","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-02-12 (Price: 45.555), 6.31% above",1 month,42.62,No Information,No Information,No Information,No Information,No Information,6.31% above/6.31% above/6.31% above,4.38%/0.62%/2.23%,"10.13%, 19.69%",2.8 months/6 days/24 days,2026-05-14/2026-01-21/2026-02-16,8.66%,2.65%,6.01%,0.1,0.09,44.3583/43.8056/44.35/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,41.87/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.15,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
