"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ABNB, Long, 2025-12-19 (Price: 135.28)",No Exit Yet,"0.0%, 0 days","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 135.28), 0.0% below",0 days,"2, 2025-06-08 (Price: 140.64)",2025-12-14 (Price: 128.39),2025-12-19 (Price: 135.28),5/0/0 days,5.37% above/0.0% below/0.0% below,2025-06-08 (Price: 145.7791)/2025-12-19 (Price: 126.3652),21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-01-09/2026-02-09/2026-07-24,-12.18%,-2.45%,-9.73%,0.4,0.05,135.1718/158.3723/138.5/178.025/223.0579/259.5851/No EMA 200 Target,114.26/99.795/No F-Stack Support/No F-Stack Support/No support/No support/126.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"WPM.TO, Long, 2025-12-19 (Price: 164.88)",No Exit Yet,"0.0%, 0 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 164.88), 0.0% below",0 days,"6, 2024-08-04 (Price: 79.97)",2025-12-19 (Price: 164.88),2025-12-19 (Price: 164.88),0/0/0 days,0.0% below/0.0% below/0.0% below,2024-08-04 (Price: 79.878)/2025-12-19 (Price: 162.5546),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-28/2026-02-09/2026-04-10,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/177.4321/184.9838/No EMA 200 Target,135.45/52.782/150.6362/140.1747/135.9484/117.4927/130.22,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"CSCO, Long, 2025-12-19 (Price: 78.42)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 78.42), 0.0% below",0 days,"0, 2024-03-06 (Price: 49.17)",2025-12-17 (Price: 76.0),2025-12-19 (Price: 78.42),2/0/0 days,3.18% above/0.0% below/0.0% below,2024-03-06 (Price: 58.6547)/2025-12-19 (Price: 76.1208),5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-02-04/2025-12-27/2026-01-05,6.96%,6.16%,0.8%,0.14,0.32,81.0235/80.4981/95.97/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,76.0/40.92/73.1467/64.9561/72.2267/66.9458/67.08,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"INFY, Long, 2025-12-19 (Price: 20.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 20.22), 0.0% below",0 days,"2, 2025-10-29 (Price: 16.88)",2025-12-19 (Price: 20.22),2025-12-19 (Price: 20.22),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-10-29 (Price: 16.5846)/2025-12-19 (Price: 19.0812),6.66%/1.9%/4.18%,"-0.0%, 10.02%",3.3 months/7 days/1 month,2026-05-11/2025-12-29/2026-01-31,13.05%,6.68%,6.37%,1.41,0.34,21.1259/21.0652/22.22/23.796/27.741/33.0029/No EMA 200 Target,16.18/16.0317/20.1823/18.5577/18.38/15.6377/17.52,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"RHHBY, Long, 2025-12-19 (Price: 51.2)",No Exit Yet,"0.0%, 0 days","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 51.2), 0.0% below",0 days,"2, 2025-07-06 (Price: 40.44)",2025-12-14 (Price: 50.04),2025-12-18 (Price: 50.27),5/1/0 days,2.32% above/1.85% above/0.0% below,2025-07-06 (Price: 40.6429)/2025-12-19 (Price: 49.0534),18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-05/2026-02-09/2026-07-02,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/52.5578/54.7393/No EMA 200 Target,38.23/34.5167/44.2574/33.9225/46.2162/42.9752/41.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"WPM, Long, 2025-12-19 (Price: 119.7)",No Exit Yet,"0.0%, 0 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 119.7), 0.0% below",0 days,"2, 2025-10-29 (Price: 95.18)",2025-12-18 (Price: 115.45),2025-12-19 (Price: 119.7),1/0/0 days,3.68% above/0.0% below/0.0% below,2025-10-29 (Price: 105.76)/2025-12-19 (Price: 115.3164),15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-02/2025-12-24/2026-02-13,22.59%,17.13%,5.46%,1.09,0.81,128.9887/127.2411/134.41/No Horizontal Resistance/119.4321/129.2378/No EMA 200 Target,104.96/38.3375/102.4252/95.3086/101.1062/89.1572/93.73,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-19 (Price: 299.81)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-19 (Price: 299.81), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-19 (Price: 299.81),2025-11-21 (Price: 270.83),0/28/0 days,0.0% below/10.7% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-19 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-04/2027-10-27/2028-09-04,16.0%,8.74%,7.26%,0.66,0.45,400.0665/442.9693/461.28/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/241.99,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-19 (Price: 3.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-19 (Price: 3.6), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),49/21/0 days,10.43% above/7.46% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-19 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-10/2026-07-24/2026-08-06,5.5%,0.69%,4.81%,1.23,0.0,4.2062/4.3517/5.8/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.21,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-19 (Price: 68.26)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-19 (Price: 68.26), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-19 (Price: 68.26),2025-12-19 (Price: 68.26),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-19 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-14/2026-07-24/2026-12-23,9.96%,11.66%,-1.7%,0.82,0.67,105.8303/77.3249/69.0/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-19 (Price: 73.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-19 (Price: 73.8), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-19 (Price: 73.8),80/0/0 days,20.23% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-19 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-14/2027-10-27/2028-04-01,16.49%,8.5%,7.99%,0.7,0.42,152.2273/191.0165/99.08/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/54.42,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"WPM.TO, Long, 2025-12-18 (Price: 159.04)",No Exit Yet,"3.67%, 1 day","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 164.88), 3.67% above",1 day,"2, 2025-10-29 (Price: 132.75)",2025-12-18 (Price: 159.04),2025-12-18 (Price: 159.04),1/1/1 days,3.67% above/3.67% above/3.67% above,2025-10-29 (Price: 151.1569)/2025-12-18 (Price: 158.08),9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-27/2025-12-26/2026-01-30,12.04%,18.03%,-5.99%,0.06,0.87,171.2066/167.0556/174.81/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/129.9,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"MCD, Long, 2025-12-18 (Price: 319.65)",No Exit Yet,"-1.19%, 1 day","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 315.84), 1.19% below",1 day,"2, 2025-10-28 (Price: 306.4)",2025-12-17 (Price: 318.69),2025-12-18 (Price: 319.65),2/1/1 days,0.89% below/1.19% below/1.19% below,2025-10-28 (Price: 307.6786)/2025-12-18 (Price: 316.4214),4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-06-05/2025-12-28/2026-02-12,12.38%,5.6%,6.78%,1.08,0.28,330.2624/327.8011/327.6/321.3575/370.0426/590.3302/No EMA 200 Target,300.72/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.22,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"XLY, Long, 2025-12-16 (Price: 121.93)",No Exit Yet,"-0.07%, 3 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 121.85), 0.07% below",3 days,"2, 2025-10-24 (Price: 118.83)",2025-12-12 (Price: 120.7),2025-12-16 (Price: 121.93),7/3/3 days,0.95% above/0.07% below/0.07% below,2025-10-24 (Price: 121.6814)/2025-12-16 (Price: 119.7314),7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-04-16/2025-12-24/2026-01-03,17.38%,7.88%,9.5%,1.07,0.42,126.8804/125.5635/123.79/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,117.98/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/110.2,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
