Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2026-01-08 (Price: 75.49)",No Exit Yet,"0.0%, 0 days","91.3%, Past 5 years, 23","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-01-08 (Price: 75.49), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 74.7813), 0.95% above, Upmove Bounce Back","2025-11-07 (Price: 68.3), 2025-11-28 (Price: 76.79)",No Information,11.38%/1.13%/7.56%,"1.21%, 14.84%",5.9 months/18 days/2.5 months,2026-09-21/2026-02-03/2026-04-26,29.53%,7.89%,21.64%,0.97,0.43,75.8297/81.197/80.58/85.51/100.8822/111.119/No EMA 200 Target,73.81/45.49/73.9889/69.1528/No support/No support/71.81,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-01-08 (Price: 75.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-01-08 (Price: 75.49), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.72% above/0.0% below/0.0% below,4.54%/1.18%/3.66%,"-0.0%, 15.84%",4.4 months/7 days/2.5 months,2026-07-18/2026-01-18/2026-04-26,12.4%,6.76%,5.64%,3.05,0.35,76.4336/78.2529/78.6/85.51/100.8822/111.119/No EMA 200 Target,73.81/45.49/73.9889/69.1528/No support/No support/71.81,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"TRI.TO, Long, 2026-01-07 (Price: 177.22)",No Exit Yet,"1.17%, 1 day","78.57%, Past 6 years, 14","Daily, is Confirmed on 2026-01-07",No Cancellation Possible,"2026-01-08 (Price: 179.29), 1.17% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,13.68%/5.03%/6.86%,"11.12%, 16.9%",7 months/5 days/1.8 month,2026-11-07/2026-01-14/2026-03-26,10.61%,7.98%,2.63%,0.34,0.45,189.3596/189.3773/217.98/240.8933/293.2329/455.2123/235.7,No Recent Minima/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-01-07 (Price: 241.56)",No Exit Yet,"1.96%, 1 day","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-08 (Price: 246.29), 1.96% above",1 day,No Information,No Information,No Information,No Information,No Information,5.68% above/1.96% above/1.96% above,6.5%/1.02%/4.3%,"0%, 19.49%",4.6 months/9 days/1.1 month,2026-07-25/2026-01-20/2026-02-23,22.5%,11.67%,10.83%,2.54,0.57,256.4401/251.9471/248.95/No Horizontal Resistance/317.6152/339.3352/No EMA 200 Target,226.5/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/217.67,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"MA, Long, 2026-01-07 (Price: 579.92)",No Exit Yet,"0.03%, 1 day","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-08 (Price: 580.07), 0.03% above",1 day,No Information,No Information,No Information,No Information,No Information,2.02% above/0.03% above/0.03% above,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,2026-06-08/2026-01-12/2026-03-04,5.71%,7.58%,-1.87%,0.98,0.39,586.4731/596.9696/587.58/592.9033/716.5814/751.3605/No EMA 200 Target,563.13/305.0867/554.0572/515.4888/No F-Track Level/No F-Track Level/561.98,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2026-01-07 (Price: 40.04)",No Exit Yet,"-0.17%, 1 day","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-08 (Price: 39.97), 0.17% below",1 day,No Information,No Information,No Information,No Information,No Information,0.15% below/0.17% below/0.17% below,7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
FRACTAL TRACK,"INFY, Long, 2026-01-07 (Price: 18.23)",No Exit Yet,"-1.04%, 1 day","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-01-07",Already confirmed,"2026-01-08 (Price: 18.04), 1.04% below",1 day,No Information,No Information,No Information,"78.6% (Price: 17.9821), 0.32% above, Upmove Bounce Back","2023-04-24 (Price: 14.71), 2025-12-19 (Price: 30.0)",No Information,12.21%/2.02%/9.78%,"1.69%, 24.19%",1.2 year/1.6 month/5.5 months,2027-09-24/2026-03-17/2026-09-02,19.54%,1.44%,18.1%,0.98,0.04,18.0495/20.0129/27.4/23.796/31.8515/41.1179/No EMA 200 Target,17.68/16.0317/13.0115/No support/No F-Track Level/No F-Track Level/17.5,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
TRENDPULSE,"ETH-USD, Long, 2026-01-06 (Price: 3295.9468)",No Exit Yet,"-5.45%, 2 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 3116.2844), 5.45% below",2 days,No Information,No Information,No Information,No Information,No Information,3.4% below/5.45% below/5.45% below,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,2026-05-16/2026-01-13/2026-02-08,60.18%,45.2%,14.98%,0.97,1.15,4017.4296/3736.6149/3982.37/4922.7188/4887.278/5306.7298/3610.77,2827.07/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"ABNB, Long, 2026-01-06 (Price: 138.02)",No Exit Yet,"0.46%, 2 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 138.66), 0.46% above",2 days,No Information,No Information,No Information,No Information,No Information,2.05% above/0.46% above/0.46% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-05-25/2026-01-14/2026-02-12,10.28%,-2.98%,13.26%,0.22,0.05,137.2885/147.8884/146.55/178.025/226.4968/256.334/No EMA 200 Target,133.01/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.96,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2026-01-06 (Price: 47.91)",No Exit Yet,"0.02%, 2 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 47.92), 0.02% above",2 days,No Information,No Information,No Information,No Information,No Information,1.42% above/0.02% above/0.02% above,2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-11/2026-01-14/2026-02-12,10.25%,7.22%,3.03%,2.78,0.44,49.1413/48.7388/49.06/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,44.51/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/42.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
