Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"NVDA, Long, 2025-12-16 (Price: 177.72)",Daily,No Exit Yet,No Price Target,2025-12-23 (Min),6.46%/8.09%,"3.36%, 6 days","2025-12-22 (Price: 183.69), 3.36% above",221.0304 (Historic Rise or Fall to Pivot)/198.5488 (Avg % Gain of Historic Winning trades)/206.59 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/206.4929 (Backtested Max)/195.5631 (Backtested Min),2027-12-14 (Max)/2025-12-23 (Min)/2026-04-03 (Avg),175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/157.92,"95.0%, Past 5 years, 20",No Information,No Information,No Information,"78.6% (Price: 174.3677), 5.35% above, Upmove Bounce Back","2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",No Information,16.19%/10.04%/11.72%,"6.56%, 60.82%",1.4 year/5 days/2.5 months,41.13%,44.79%,-3.66%,2.14,1.73,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",Daily,No Exit Yet,No Price Target,2025-12-22 (Avg),3.72%/3.8%,"1.23%, 20 days","2025-12-22 (Price: 183.69), 1.23% above",209.8041 (Historic Rise or Fall to Pivot)/201.1484 (Avg % Gain of Historic Winning trades)/190.53 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/234.3193 (Backtested Max)/190.6782 (Backtested Min),2026-04-02 (Max),No Recent Minima/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/157.92,"72.73%, Past 6 years, 22",No Information,No Information,No Information,No Information,No Information,No Information,29.13%/5.08%/10.85%,"14.32%, 21.93%",2.8 months/3 days/14 days,22.6%,50.2%,-27.6%,0.4,1.91,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-30 (Price: 430.17)",Weekly,No Exit Yet,490.132 (F-Stack 1),No Date Target,4.12%/13.43%,"13.61%, 22 days","2025-12-22 (Price: 488.73), 13.61% above",622.2409 (Historic Rise or Fall to Pivot)/508.8481 (Avg % Gain of Historic Winning trades)/716.21 (Exit Rule)/554.3681 (F-Stack 2)/571.2227 (Backtested Max),2028-01-21 (Max)/2026-01-21 (Min)/2026-06-22 (Avg),391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/352.24,"73.33%, Past 15 years, 15",No Information,No Information,No Information,"23.66% (Price: 375.7432), 30.07% above, Upmove Bounce Back","2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",No Information,32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,12.11%,30.11%,-18.0%,0.69,1.16,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,No Exit Yet,490.132 (F-Stack 2),No Date Target,76.83%,"41.06%, 6.8 months","2025-12-22 (Price: 488.73), 41.06% above",864.2098 (Historic Rise or Fall to Pivot),2028-02-15 (Max)/2028-02-15 (Max)/2028-02-15 (Max),175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,73.21% above/71.59% above/41.06% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2024-10-13 (Price: 51.71)",Weekly,2025-12-21 (Price: 43.99),No Price Target,No Date Target,16.32%/17.89%,"-13.98%, 1.2 year","2025-12-22 (Price: 44.48), 13.98% below",52.7907 (Historic Rise or Fall to Pivot)/55.3711 (Avg % Gain of Historic Winning trades)/51.74 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/61.5918 (Backtested Max)/52.4391 (Backtested Min),No Next Date Target,43.4/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/48.05,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,7.76% below/13.98% below/13.98% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2024-04-07 (Price: 55.16)",Weekly,2025-12-21 (Price: 43.99),No Price Target,No Date Target,25.76%/26.6%,"-19.36%, 1.7 year","2025-12-22 (Price: 44.48), 19.36% below",56.3128 (Historic Rise or Fall to Pivot)/59.0653 (Avg % Gain of Historic Winning trades)/64.58 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/65.7011 (Backtested Max)/55.9378 (Backtested Min),No Next Date Target,40.81/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/43.33,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,11.74% below/19.36% below/19.36% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-11-28 (Price: 492.01)",Daily,No Exit Yet,No Price Target,2025-12-21 (Min),2.71%/6.67%,"-1.44%, 24 days","2025-12-22 (Price: 484.92), 1.44% below",517.2501 (Historic Rise or Fall to Pivot)/535.9957 (Avg % Gain of Historic Winning trades)/693.67 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/552.6748 (Backtested Max)/498.0617 (Backtested Min),2028-03-11 (Max)/2026-07-20 (Avg),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/474.48,"94.12%, Past 5 years, 17",No Information,No Information,No Information,"23.66% (Price: 475.9287), 1.89% above, Upmove Bounce Back","2023-01-06 (Price: 219.35), 2025-07-31 (Price: 555.45)",No Information,12.33%/1.23%/8.94%,"0.91%, 37.45%",1.6 year/16 days/5.4 months,23.57%,12.28%,11.29%,1.77,0.68,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,2025-12-17 (Price: 314.98),323.5121 (Avg % Gain of Historic Winning trades),No Date Target,1.8%/3.03%,"3.09%, 1.5 month","2025-12-22 (Price: 323.09), 3.09% above",328.9175 (F-Stack 1)/381.492 (F-Stack 2)/332.8834 (Backtested Max),2026-03-29 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,4.48% above/3.09% above/3.09% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-21 (Price: 308.66)",Weekly,No Exit Yet,No Price Target,2025-12-21 (Avg),59.08%/67.77%,"-35.73%, 3.1 months","2025-12-22 (Price: 198.38), 35.73% below",347.829 (Historic Rise or Fall to Pivot)/332.8281 (Avg % Gain of Historic Winning trades)/383.61 (Exit Rule)/376.1425 (F-Stack 2)/374.2502 (Backtested Max)/315.574 (Backtested Min),2026-06-30 (Max),226.13/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/188.37,"96.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,32.1% below/35.73% below/35.73% below,21.25%/2.24%/7.83%,"11.71%, 25.99%",6.5 months/28 days/2.1 months,9.56%,9.15%,0.41%,1.07,0.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-06-08 (Price: 590.12)",Weekly,No Exit Yet,No Price Target,2025-12-20 (Avg),4.57%/7.54%,"-2.44%, 6.6 months","2025-12-22 (Price: 575.7), 2.44% below",665.4783 (Historic Rise or Fall to Pivot)/619.0949 (Avg % Gain of Historic Winning trades)/727.51 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/637.5066 (Backtested Max)/601.9814 (Backtested Min),2026-05-17 (Max),489.77/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/528.51,"84.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,1.69% below/2.44% below/2.44% below,8.03%/2.01%/4.91%,"14.55%, 37.99%",7.9 months/1.2 month/4.5 months,8.27%,16.14%,-7.87%,0.32,0.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
