Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-11-20 (Price: 148.19)",Weekly,No Price Target,2025-11-25 (Min),No Exit Yet,"2025-11-20 (Price: 148.19), 0.0% below","100.0%, Past 15 years, 5",3.16%/5.41%,"0.0%, 0 days",9.64%/3.16%/5.41%,156.9925 (Historic Rise or Fall to Pivot)/156.2071 (Avg % Gain of Historic Winning trades)/156.6 (Exit Rule)/179.4533 (Horizontal)/198.7009 (F-Stack 1)/220.9395 (F-Stack 2)/159.61 (Moving Avg)/162.4755 (Backtested Best)/152.8728 (Backtested Worst),2026-06-16 (Max)/2025-11-25 (Min)/2026-01-19 (Avg),"0.0%, 0 days","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price  prior to 2025-11-21,0 days,No Information,No Information,No Information,No Information,No Information,No Information,"0%, 10.64%",144 days/4 days/42 days,2026-06-16/2025-11-25/2026-01-19,7.35%,5.62%,1.73%,2.07,0.16,156.9925/156.2071/156.6/179.4533/198.7009/220.9395/159.61,146.98/121.86/147.1065/128.0678/151.305/144.4315/No Moving Avg Support,94.87%/39/40 days (Across ALL Assets),89.42%/104/49 days (Across ALL Assets)
OSCILLATOR DELTA,"EFN.TO, Long, 2025-11-20 (Price: 36.25)",Daily,No Price Target,2025-11-22 (Min),No Exit Yet,"2025-11-20 (Price: 36.25), 0.0% below","79.17%, Past 6 years, 24",3.62%/4.99%,"0.0%, 0 days",14.65%/5.03%/6.97%,37.5622 (Historic Rise or Fall to Pivot)/38.7766 (Avg % Gain of Historic Winning trades)/38.06 (Exit Rule)/48.884 (F-Stack 1)/73.5584 (F-Stack 2)/41.5606 (Backtested Best)/38.0734 (Backtested Worst),2026-02-07 (Max)/2025-11-22 (Min)/2025-12-21 (Avg),"0.0%, 0 days","Daily, is Confirmed on 2025-11-20",No Cancellation Possible,0 days,No Information,No Information,No Information,No Information,No Information,No Information,"11.05%, 13.79%",55 days/2 days/22 days,2026-02-07/2025-11-22/2025-12-21,11.74%,21.39%,-9.65%,0.13,0.78,37.5622/38.7766/38.06/No Horizontal Resistance/48.884/73.5584/No Moving Avg Target,No Recent Minima/11.7733/33.6344/24.2096/35.1227/33.1947/33.38,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",Daily,No Price Target,2025-11-19 (Min)/2025-11-23 (Avg),No Exit Yet,"2025-11-19 (Price: 91465.9922), 0.0% below","90.91%, Past 4 years, 11",3.07%/6.05%,"0.0%, 0 days",11.7%/3.07%/6.11%,96999.6847 (Historic Rise or Fall to Pivot)/97054.5643 (Avg % Gain of Historic Winning trades)/97027.12 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/110409.11 (Moving Avg)/102167.5133 (Backtested Best)/94273.9982 (Backtested Worst),2025-12-09 (Max)/2025-11-23 (Avg),"0.0%, 0 days","Daily, is CONFIRMED on 2025-11-19",Already confirmed,0 days,No Information,No Information,No Information,No Information,No Information,No Information,"14.07%, 14.27%",14 days/0 days/3 days,2025-12-09/2025-11-19/2025-11-23,16.86%,15.19%,1.67%,0.65,0.39,96999.6847/97054.5643/97027.12/124582.2656/122105.3521/133759.1807/110409.11,76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",Daily,No Price Target,2025-11-23 (Min),No Exit Yet,"2025-11-20 (Price: 12.67), 0.56% above","90.0%, Past 4 years, 20",0.82%/2.75%,"0.56%, 2 days",8.54%/1.38%/4.55%,13.0183 (Historic Rise or Fall to Pivot)/13.1733 (Avg % Gain of Historic Winning trades)/13.36 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.676 (Backtested Best)/12.7739 (Backtested Worst),2026-05-29 (Max)/2025-11-23 (Min)/2025-12-11 (Avg),"0.56%, 2 days","Daily, is CONFIRMED on 2025-11-18",Already confirmed,2 days,No Information,No Information,No Information,No Information,No Information,0.16% above/0.56% above/0.56% above,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-29/2025-11-23/2025-12-11,46.12%,9.64%,36.48%,0.79,0.35,13.0183/13.1733/13.36/13.345/19.8479/26.5969/No Moving Avg Target,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.45,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"EFN.TO, Long, 2025-11-17 (Price: 35.37)",Daily,36.3427 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-20 (Price: 36.25), 2.49% above","81.82%, Past 5 years, 11",4.68%/6.15%,"2.49%, 3 days",19.77%/2.75%/10.33%,37.9449 (Historic Rise or Fall to Pivot)/39.0237 (Avg % Gain of Historic Winning trades)/38.48 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/42.3626 (Backtested Best),2026-06-17 (Max)/2025-12-23 (Min)/2026-03-02 (Avg),"2.49%, 3 days","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,3 days,No Information,No Information,No Information,No Information,No Information,No Information,"6.6%, 17.54%",147 days/25 days/73 days,2026-06-17/2025-12-23/2026-03-02,20.93%,24.1%,-3.17%,0.88,1.02,37.9449/39.0237/38.48/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,34.92/11.7733/29.5041/111.5522/No F-Track Level/No F-Track Level/33.38,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-13 (Price: 85.97)",Daily,No Price Target,2025-11-18 (Min),No Exit Yet,"2025-11-20 (Price: 81.9), 4.73% below","80.56%, Past 4 years, 36",6.25%/7.11%,"-4.73%, 5 days",12.01%/1.22%/4.01%,87.7238 (Historic Rise or Fall to Pivot)/89.4174 (Avg % Gain of Historic Winning trades)/90.16 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/96.295 (Backtested Best)/87.0188 (Backtested Worst),2026-05-04 (Max)/2025-12-13 (Avg),"-4.73%, 5 days","Daily, is CONFIRMED on 2025-11-13",Already confirmed,5 days,No Information,No Information,No Information,No Information,No Information,3.95% below/4.73% below/4.73% below,"21.83%, 34.43%",119 days/4 days/21 days,2026-05-04/2025-11-18/2025-12-13,8.72%,13.33%,-4.61%,0.22,0.49,87.7238/89.4174/90.16/No Horizontal Resistance/95.0177/123.2166/No Moving Avg Target,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2025-11-12 (Price: 116.65)",Daily,No Price Target,2025-11-19 (Min),No Exit Yet,"2025-11-20 (Price: 102.7), 11.96% below","73.68%, Past 4 years, 19",13.81%/14.51%,"-11.96%, 6 days",9.92%/0.82%/3.54%,119.7296 (Historic Rise or Fall to Pivot)/120.7794 (Avg % Gain of Historic Winning trades)/116.88 (Exit Rule)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/128.2217 (Backtested Best)/117.6065 (Backtested Worst),2026-04-15 (Max)/2025-12-16 (Avg),"-11.96%, 6 days","Daily, is CONFIRMED on 2025-11-12",Already confirmed,6 days,No Information,No Information,No Information,No Information,No Information,8.5% below/11.96% below/11.96% below,"37.38%, 50.6%",107 days/5 days/24 days,2026-04-15/2025-11-19/2025-12-16,-11.02%,-2.49%,-8.53%,-0.17,-0.05,119.7296/120.7794/116.88/168.455/207.5364/245.6322/No Moving Avg Target,110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/110.16,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,No Price Target,2025-11-19 (Avg),No Exit Yet,"2025-11-20 (Price: 185.77), 4.12% below","80.0%, Past 4 years, 10",7.11%/7.81%,"-4.12%, 6 days",4.82%/1.26%/2.7%,201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/246.48 (Moving Avg)/203.0888 (Backtested Best),2025-12-02 (Max),"-4.12%, 6 days","Daily, was CONFIRMED on 2025-11-12",Already confirmed,6 days,No Information,No Information,No Information,No Information,No Information,No Information,"8.44%, 8.44%",14 days/1 days/5 days,2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/293.2329/455.2123/246.48,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",Daily,No Price Target,2025-11-18 (Min),2025-11-17 (Price: 3102.2),"2025-11-20 (Price: 3144.8), 3.21% above","96.97%, Past 4 years, 33",1.26%/6.94%,"3.21%, 7 days",13.38%/0.84%/4.51%,3184.4197 (Avg % Gain of Historic Winning trades)/3561.08 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6711.0756 (F-Stack 2)/3362.93 (Moving Avg)/3454.6886 (Backtested Best),2026-03-25 (Max)/2025-12-02 (Avg),"1.81%, 4 days","Daily, is CONFIRMED on 2025-11-11",Already confirmed,7 days,No Information,No Information,No Information,No Information,No Information,5.11% above/3.21% above/3.21% above,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756/3362.93,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-20 (Avg),No Exit Yet,"2025-11-20 (Price: 589.15), 6.74% below","75.0%, Past 4 years, 8",10.74%/14.63%,"-6.74%, 8 days",14.76%/3.27%/8.73%,698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/675.37 (Moving Avg)/725.0078 (Backtested Best)/652.4186 (Backtested Worst),2025-12-04 (Max),"-6.74%, 8 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,8 days,No Information,No Information,No Information,No Information,No Information,No Information,"19.19%, 19.41%",17 days/1 days/7 days,2025-12-04/2025-11-11/2025-11-20,6.71%,17.48%,-10.77%,0.15,0.58,698.2212/686.9126/692.57/No Horizontal Resistance/842.484/1305.5879/675.37,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
