Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"BABA, Long, 2025-12-01 (Price: 164.26)",No Exit Yet,"0.0%, 0 days","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-01 (Price: 164.26), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-03-02/2025-12-02/2025-12-16,26.59%,-1.07%,27.65%,0.13,0.14,173.36/178.5835/183.97/No Horizontal Resistance/433.8283/634.7074/No Moving Avg Target,No Recent Minima/67.495/No F-Stack Support/No F-Stack Support/160.8988/168.5614/135.71,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"IFT.NZ, Long, 2025-12-01 (Price: 11.6)",No Exit Yet,"0.0%, 0 days","86.96%, Past 6 years, 23","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-01 (Price: 11.6), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,20.52%/5.06%/8.27%,"21.0%, 21.0%",2.6 months/13 days/1.3 month,2026-03-22/2025-12-19/2026-01-25,17.79%,15.95%,1.84%,0.14,0.6,12.1034/12.5593/12.18/11.925/13.8771/15.9169/No Moving Avg Target,No Recent Minima/7.3167/11.3804/9.6206/14.3361/14.9482/11.33,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"SLV, Long, 2025-12-01 (Price: 52.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-01 (Price: 52.52), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,8.51% above/0.0% below/0.0% below,9.5%/2.69%/5.62%,"-0.0%, 15.17%",2.2 months/4 days/15 days,2026-03-05/2025-12-06/2025-12-22,113.36%,17.43%,95.93%,1.35,0.62,54.9727/55.4716/57.21/No Horizontal Resistance/48.7992/52.3128/No Moving Avg Target,45.3/18.99/45.3667/37.8142/45.2229/40.2227/35.39,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2025-12-01 (Price: 133.81)",No Exit Yet,"0.0%, 0 days","86.11%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-01 (Price: 133.81), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.51% above/0.0% below/0.0% below,11.3%/0.17%/2.84%,"18.84%, 26.48%",2.0 month/4 days/10 days,2026-02-24/2025-12-06/2025-12-15,10.09%,1.42%,8.67%,0.18,-0.02,136.4059/137.6102/158.48/173.435/No Next Fib Ext/No Next Fib Ext/136.95,128.08/127.762/No F-Stack Support/No F-Stack Support/158.274/162.0558/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-11-30 (Price: 320.12)",No Exit Yet,"-1.56%, 0 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-01 (Price: 315.12), 1.56% below",0 days,No Information,No Information,No Information,No Information,No Information,5.16% above/1.56% below/1.56% below,19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-06-04/2026-01-03/2026-02-06,35.83%,21.1%,14.73%,1.74,0.79,353.2204/346.3058/411.73/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,147.74/84.51/240.3589/219.0619/No F-Track Level/No F-Track Level/203.2,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-30 (Price: 1007.6)",No Exit Yet,"-0.55%, 0 days","90.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-01 (Price: 1002.1), 0.55% below",0 days,No Information,No Information,No Information,No Information,No Information,0.55% below/0.55% below/0.55% below,54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-12/2026-05-03/2026-09-14,15.97%,19.29%,-3.32%,0.9,0.75,1134.6584/1252.6483/1179.9/1009.6/1098.0619/1305.7899/No Moving Avg Target,701.7/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",No Exit Yet,"-0.93%, 0 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-01 (Price: 46.0), 0.93% below",0 days,No Information,No Information,No Information,No Information,No Information,2.75% above/1.39% above/0.93% below,13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-13/2026-03-31/2026-06-26,8.8%,4.94%,3.87%,0.91,0.11,49.3412/50.7526/56.48/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"IEI, Long, 2025-11-30 (Price: 120.26)",No Exit Yet,"-0.58%, 0 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-01 (Price: 119.56), 0.58% below",0 days,No Information,No Information,No Information,No Information,No Information,0.58% below/0.43% below/0.58% below,2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-19/2026-05-06/2026-10-26,0.4%,0.95%,-0.55%,0.05,-0.88,121.9797/122.5089/120.65/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/118.54,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"XLV, Long, 2025-11-30 (Price: 157.65)",No Exit Yet,"-1.5%, 0 days","86.21%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-01 (Price: 155.29), 1.5% below",0 days,No Information,No Information,No Information,No Information,No Information,11.58% above/2.19% below/1.5% below,17.42%/2.58%/8.85%,"20.84%, 36.99%",1.9 year/2.9 months/7.8 months,2028-09-01/2026-04-03/2026-11-02,5.12%,6.82%,-1.7%,0.64,0.25,165.501/171.602/159.83/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.43/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.6,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"CSCO, Long, 2025-11-30 (Price: 76.94)",No Exit Yet,"-1.17%, 0 days","81.82%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-01 (Price: 76.04), 1.17% below",0 days,No Information,No Information,No Information,No Information,No Information,4.01% above/1.73% below/1.17% below,25.25%/6.97%/16.78%,"26.7%, 42.44%",11.6 months/3.6 months/6.6 months,2027-04-16/2026-05-03/2026-09-11,6.7%,1.67%,5.03%,0.55,0.08,83.7877/89.8505/97.29/No Horizontal Resistance/78.7458/109.6316/No Moving Avg Target,46.5/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/66.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
