"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"HDB, Long, 2025-12-09 (Price: 35.16)",No Exit Yet,"0.0%, 0 days (business days)","90.91%, Past 25 years, 22","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-09 (Price: 35.16), 0.0% below",0 days (business days),Upmove Bounce Back,38.2% (Price: 34.562),1.73% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",165.72%/8.35%/65.32%,"32.26%, 39.31%",3.0 years (calendar days)/7.3 months (calendar days)/1.4 year (calendar days),2030-03-02/2026-10-20/2027-12-27,12.66%,17.02%,-4.36%,0.26,0.59,36.7352/58.1265/43.39/39.3812/45.6752/50.9526/35.7,26.75/25.6925/29.7659/26.539/34.266/32.555/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"MSFT, Long, 2025-12-09 (Price: 491.02)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 20 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 464.89 prior to 2025-12-12,"2025-12-09 (Price: 491.02), 0.0% below",0 days (business days),Upmove Bounce Back,38.2% (Price: 474.9779),3.38% above,"2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",75.24%/6.95%/27.72%,"-0.0%, 45.68%",4.7 years (calendar days)/1.6 month (calendar days)/1.2 year (calendar days),2032-08-05/2026-02-17/2027-08-29,7.14%,15.5%,-8.36%,0.64,0.6,499.3182/627.1307/617.42/554.585/574.7462/615.9561/No EMA 200 Target,472.12/216.39/452.6681/384.4933/474.9779/450.12/470.21,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"IHI, Long, 2025-12-09 (Price: 62.28)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 19 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 58.18 prior to 2025-12-31,"2025-12-09 (Price: 62.28), 0.0% below",0 days (business days),Upmove Bounce Back,38.2% (Price: 57.074),9.12% above,"2023-10-31 (Price: 43.96), 2025-02-28 (Price: 65.18)",5.78%/5.78%/5.78%,"-0.0%, 6.3%",6.5 months (calendar days)/6.5 months (calendar days)/6.5 months (calendar days),2026-09-17/2026-09-17/2026-09-17,7.62%,10.75%,-3.13%,0.39,0.47,61.8752/65.8798/75.01/66.34/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,45.26/46.725/No F-Stack Support/No F-Stack Support/No support/No support/60.92,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"AMD, Long, 2025-12-09 (Price: 221.11)",No Exit Yet,"0.0%, 0 days (business days)","92.31%, Past 20 years, 39","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 194.28 prior to 2025-12-12,"2025-12-09 (Price: 221.11), 0.0% below",0 days (business days),Upmove Bounce Back,38.2% (Price: 194.2708),13.82% above,"2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",321.33%/1.73%/83.55%,"17.29%, 82.02%",4.9 years (calendar days)/1.8 month (calendar days)/1.3 year (calendar days),2032-12-07/2026-02-25/2027-09-27,10.38%,12.12%,-1.74%,0.52,0.48,242.6461/405.8474/335.47/No Horizontal Resistance/269.2327/283.8155/No EMA 200 Target,151.14/72.6533/210.12/167.5998/No support/194.2708/153.66,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"XLV, Long, 2025-12-09 (Price: 151.43)",No Exit Yet,"0.0%, 0 days (business days)","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-12-09 (Price: 151.43), 0.0% below",0 days (business days),Upmove Bounce Back,23.66% (Price: 126.9868),19.25% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years (calendar days)/10.3 years (calendar days)/10.3 years (calendar days),2040-09-04/2040-09-04/2040-09-04,8.26%,6.44%,1.82%,0.48,0.22,147.9471/616.4715/234.24/No Horizontal Resistance/174.1807/202.706/No EMA 200 Target,24.21/121.1/117.2225/81.225/No support/No support/139.84,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"TCS.NS, Long, 2025-12-09 (Price: 3208.0)",No Exit Yet,"0.0%, 0 days (business days)","90.91%, Past 21 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-09 (Price: 3208.0), 0.0% below",0 days (business days),Upmove Bounce Back,50% (Price: 2809.1),14.2% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",375.83%/7.31%/87.63%,"10.18%, 12.85%",1.9 year (calendar days)/7.9 months (calendar days)/1.1 year (calendar days),2028-08-08/2026-11-18/2027-06-26,21.36%,19.52%,1.84%,0.36,0.61,3125.8752/6019.1704/5347.78/4543.575/No Next Fib Ext/No Next Fib Ext/3272.98,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"IFT.NZ, Long, 2025-12-09 (Price: 11.7)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-12-09 (Price: 11.7), 0.0% below",0 days (business days),Upmove Bounce Back,38.2% (Price: 9.2141),26.98% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years (calendar days)/2.0 year (calendar days)/2.4 years (calendar days),2029-10-25/2028-10-12/2029-04-18,13.15%,12.57%,0.58%,0.46,0.51,13.4632/19.1447/18.18/11.925/13.8771/15.9169/No EMA 200 Target,2.72/7.3167/11.3804/9.6206/No support/No support/11.35,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"SUM.NZ, Long, 2025-12-09 (Price: 11.94)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-09 (Price: 11.94), 0.0% below",0 days (business days),Upmove Bounce Back,50% (Price: 10.74),11.17% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",2.0 year (calendar days)/2.0 year (calendar days)/2.0 year (calendar days),2028-10-13/2028-10-13/2028-10-13,7.04%,16.47%,-9.43%,0.34,0.57,11.7931/14.4617/15.18/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/No support/11.3772/11.41,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"BDGI.TO, Long, 2025-12-09 (Price: 77.24)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-12-09 (Price: 77.24), 0.0% below",0 days (business days),Upmove Bounce Back,61.8% (Price: 33.6027),129.86% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years (calendar days)/3.1 years (calendar days)/3.1 years (calendar days),2030-05-01/2030-05-01/2030-05-01,7.18%,12.22%,-5.04%,0.42,0.42,81.0402/104.3899/94.62/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/67.0493/60.6822/52.76,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"CNQ.TO, Long, 2025-12-09 (Price: 47.21)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-12-09 (Price: 47.21), 0.0% below",0 days (business days),Upmove Bounce Back,38.2% (Price: 35.7534),32.04% above,"2001-12-31 (Price: 2.1976), 2024-06-30 (Price: 56.495)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",5.8 years (calendar days)/4.5 years (calendar days)/5.3 years (calendar days),2034-03-19/2032-05-28/2033-06-08,12.07%,13.02%,-0.95%,0.46,0.46,49.5658/230.144/79.79/51.51/57.5622/59.9244/No EMA 200 Target,42.8/34.9317/44.0597/41.1349/No support/No support/43.18,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
