"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BRK-B, Long, 2026-01-27 (Price: 477.1701)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-27 (Price: 477.1701), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),0.39% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-08-20/2026-12-01/2028-03-19,8.18%,7.84%,0.34%,0.89,0.47,601.7592/578.8073/646.5/512.255/537.7909/627.804/495.43,267.02/268.082/475.0642/401.0818/475.2967/434.262/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),500.96
"DIS, Long, 2026-01-27 (Price: 110.285)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-27 (Price: 110.285), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),7.71% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-26/2026-03-11/2027-05-24,7.35%,7.97%,-0.62%,0.97,0.4,126.4307/135.6726/137.04/168.455/207.5364/245.6322/111.6,90.95/79.415/94.0946/88.5027/107.1333/101.71/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-27 (Price: 1.3768)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-27 (Price: 1.3768), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),8.32% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-19 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3841/1.429/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/1.3748/No support/1.34,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),1.3475
"CSCO, Long, 2026-01-27 (Price: 78.225)",No Exit Yet,"0.0%, 0 days","95.0%, Past 20 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 72.8 prior to 2026-01-30,"2026-01-27 (Price: 78.225), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 72.2267),8.3% above,"2024-08-18 (Price: 44.5), 2025-12-14 (Price: 80.82)",19.85%/6.3%/15.66%,"9.76%, 43.08%",3.3 years/2.8 months/1.2 year,2030-10-13/2026-05-28/2027-10-14,9.57%,5.27%,4.3%,2.26,0.26,81.1663/90.475/100.02/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,73.88/40.92/73.1467/64.9561/69.3638/62.3236/68.98,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),76.47
"NZDCAD=X, Long, 2026-01-27 (Price: 0.818)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-27 (Price: 0.818), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),1.77% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-20/2027-07-02/2030-08-22,0.56%,-0.19%,0.75%,0.44,-0.46,0.8657/0.8985/0.86/0.8902/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,0.79/0.7798/No F-Stack Support/No F-Stack Support/No support/0.817/0.81,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),0.7896
"NVO, Long, 2026-01-27 (Price: 62.715)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.08 prior to 2026-01-30,"2026-01-27 (Price: 62.715), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 43.8439),43.04% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-13/2026-07-19/2027-12-05,10.33%,9.37%,0.96%,1.75,0.5,76.7255/79.278/142.34/139.01/159.2295/190.9685/No EMA 200 Target,47.07/45.4025/55.093/52.1958/47.9075/35.154/58.93,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),51.61
"XLU, Long, 2026-01-25 (Price: 42.56)",No Exit Yet,"1.47%, 2 days","100.0%, Past 20 years, 19","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-01-27 (Price: 43.184), 1.47% above",2 days,Upmove Bounce Back,38.2% (Price: 42.5398),1.51% above,"2025-04-13 (Price: 35.51), 2025-10-19 (Price: 46.885)",18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-05-07/2026-07-26/2027-12-03,10.1%,3.65%,6.45%,3.45,0.14,43.773/48.5822/49.39/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.51/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.36,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),43.12
"BABA, Long, 2026-01-25 (Price: 173.23)",No Exit Yet,"0.95%, 2 days","100.0%, Past 11 years, 7","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-01-27 (Price: 174.88), 0.95% above",2 days,Upmove Bounce Back,38.2% (Price: 144.5227),21.01% above,"2024-01-28 (Price: 66.63), 2025-10-05 (Price: 192.67)",38.47%/16.72%/24.63%,"-0.0%, 19.88%",9.1 months/2.6 months/4.8 months,2027-02-24/2026-05-17/2026-08-21,20.27%,3.28%,16.99%,1.72,0.23,195.646/215.8965/248.85/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,149.79/67.495/144.416/No support/No F-Track Level/No F-Track Level/140.56,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),161.83
"WIPRO.NS, Long, 2026-01-23 (Price: 238.4)",No Exit Yet,"-1.51%, 4 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 234.8), 1.51% below",4 days,Upmove Bounce Back,78.6% (Price: 243.1613),3.44% below,"2025-09-26 (Price: 235.01), 2025-12-22 (Price: 273.1)",13.44%/1.91%/8.04%,"2.84%, 40.55%",2.8 years/1.1 month/8 months,2030-01-20/2026-03-11/2027-01-05,11.91%,5.4%,6.51%,0.76,0.28,235.5869/257.5674/261.25/366.6625/412.2037/473.5829/251.62,236.49/187.6063/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),242.3
"^NSEI, Long, 2026-01-23 (Price: 25048.6504)",No Exit Yet,"0.51%, 4 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 25175.4004), 0.51% above",4 days,Upmove Bounce Back,23.66% (Price: 25277.848),0.41% below,"2025-04-07 (Price: 21743.6504), 2026-01-05 (Price: 26373.1992)",10.8%/2.67%/8.86%,"-0.0%, 16.47%",1.9 year/1.5 month/8 months,2028-10-09/2026-03-29/2027-01-05,17.28%,9.77%,7.51%,1.9,0.8,25454.4385/27267.9608/27826.38/25973.3496/No Next Fib Ext/No Next Fib Ext/25154.13,24611.1/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),25344.5996
