"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IEI, Long, 2025-11-07 (Price: 119.6)",No Exit Yet,"0.0%, 0 days","92.31%, Past 5 years, 13","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 119.6), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 119.0217),0.49% above,"2025-01-13 (Price: 114.51), 2025-10-21 (Price: 120.42)",2.05%/1.95%/2.0%,"0.03%, 4.21%",139 days/125 days/132 days,2026-05-27/2026-05-07/2026-05-17,1.93%,-2.06%,3.99%,0.33,-1.37,119.7196/121.992/123.15/129.9625/No Next Fib Ext/No Next Fib Ext,119.35/113.0583/No F-Stack Support/No F-Stack Support/121.707/122.5532,119.74/118.23,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"MA, Long, 2025-11-07 (Price: 551.97)",No Exit Yet,"0.0%, 0 days","93.1%, Past 5 years, 29","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 551.97), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 533.9557),3.37% above,"2022-11-09 (Price: 315.15), 2025-08-22 (Price: 601.77)",52.16%/1.79%/24.85%,"1.45%, 28.57%",907 days/69 days/397 days,2029-06-12/2026-02-14/2027-06-05,8.0%,12.16%,-4.16%,0.57,0.46,560.9671/689.1345/723.94/592.9033/716.5814/751.3605,544.07/306.91/515.4888/442.8637/560.8595/535.7184,573.71/560.99,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"RHHBY, Long, 2025-11-07 (Price: 41.98)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 41.98), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 40.7303),3.07% above,"2025-08-11 (Price: 37.51), 2025-10-08 (Price: 45.94)",26.41%/3.63%/11.02%,"-0.0%, 32.35%",683 days/26 days/308 days,2028-07-23/2025-12-14/2027-01-27,7.53%,-1.74%,9.27%,0.34,-0.17,41.5182/46.6062/47.04/52.46/52.5578/54.7393,40.15/34.5167/33.9225/27.535/46.5719/47.9619,42.49/40.81,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"EFN.TO, Long, 2025-11-07 (Price: 36.81)",No Exit Yet,"0.0%, 0 days","90.38%, Past 5 years, 52","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 36.81), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 37.1637),0.95% below,"2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-21/2025-12-14/2026-04-25,16.07%,24.1%,-8.03%,0.65,1.02,37.5609/43.5536/38.53/No Horizontal Resistance/48.884/73.5584,35.91/11.7733/33.6344/24.2096/35.1227/33.1947,36.9/32.97,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SOXX, Long, 2025-11-07 (Price: 294.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-07 (Price: 294.38), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),98.91% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-10/2028-09-10/2028-09-10,19.89%,12.73%,7.15%,0.33,0.46,307.892/490.231/391.61/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,275.12/230.46,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-07 (Price: 146.14)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-07 (Price: 146.14), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),15.08% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-03/2040-08-03/2040-08-03,8.26%,6.44%,1.82%,0.48,0.22,142.7788/594.9359/228.95/149.295/174.1807/202.706,24.21/120.178/117.2225/81.225/167.2798/171.9748,140.88/139.09,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-07 (Price: 236.49)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-07 (Price: 236.49), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),1.6% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-11/2026-10-20/2028-06-22,9.34%,22.33%,-12.98%,0.43,0.63,230.7433/467.7772/325.65/366.6625/374.6319/404.5107,182.62/187.6062/184.3156/1127.9829/347.4556/361.5012,246.28/261.38,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-07 (Price: 236.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-07 (Price: 236.49), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),5.19% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-07-30/2028-09-10/2035-10-07,6.68%,22.24%,-15.57%,0.33,0.55,269.3858/685.0642/410.62/366.6625/374.6319/404.5107,182.62/187.6062/184.3156/1127.9829/347.4556/361.5012,246.28/261.38,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-07 (Price: 1478.0)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-07 (Price: 1478.0), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),11.73% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-08-24/2026-08-16/2029-02-25,8.96%,19.65%,-10.68%,0.38,0.63,1673.2438/3789.4442/2203.09/1531.725/1617.1679/1804.6011,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1404.92/1364.47,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-07 (Price: 1478.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-07 (Price: 1478.0), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),34.25% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-21/2027-08-28/2029-09-23,30.69%,19.15%,11.54%,0.39,0.64,1505.6386/6496.8446/2028.68/1531.725/1617.1679/1804.6011,158.4/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1404.92/1364.47,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-07 (Price: 1016.96)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-07 (Price: 1016.96), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),74.39% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-11/2031-04-14/2037-03-24,8.55%,20.11%,-11.56%,0.43,0.61,1290.6239/14464.3238/1508.22/No Horizontal Resistance/1081.4334/1218.8523,415.35/561.385/998.2461/956.961/1235.8618/1313.1536,941.74/780.95,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
