"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WMT, Long, 2025-12-04 (Price: 114.84)",No Exit Yet,"0.0%, 0 days","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-04 (Price: 114.84), 0.0% below",0 days,"4, 2025-08-06 (Price: 103.36)",2025-12-03 (Price: 114.41),2025-12-04 (Price: 114.84),1/0/0 days,0.38% above/0.0% below/0.0% below,2025-08-06 (Price: 104.1322)/2025-12-04 (Price: 112.4423),12.24%/0.97%/3.78%,"14.39%, 26.01%",1.8 month/4 days/19 days,2026-02-21/2025-12-09/2025-12-31,43.52%,16.53%,26.99%,0.61,0.68,117.5732/119.181/121.73/No Horizontal Resistance/114.6382/136.6818/No Moving Avg Target,100.61/42.3916/91.6278/82.681/106.5901/101.4894/98.14,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"KXS.TO, Long, 2025-12-04 (Price: 178.88)",No Exit Yet,"0.0%, 0 days","85.29%, Past 4 years, 34","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-04 (Price: 178.88), 0.0% below",0 days,"4, 2025-07-18 (Price: 201.24)",2025-12-03 (Price: 173.56),2025-12-04 (Price: 178.88),1/0/0 days,3.07% above/0.0% below/0.0% below,2025-07-18 (Price: 214.5862)/2025-12-04 (Price: 172.1963),10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,2026-03-16/2025-12-09/2026-01-01,7.29%,9.5%,-2.21%,0.1,0.36,186.0889/187.502/192.3/209.885/228.5478/258.7048/183.27,170.26/125.3967/144.1059/117.053/199.6837/205.5302/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-12-04 (Price: 318.39)",No Exit Yet,"0.0%, 0 days","94.12%, Past 20 years, 17","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 317.475 prior to 2025-12-31,"2025-12-04 (Price: 318.39), 0.0% below",0 days,"2, 2023-12-31 (Price: 140.93)",2025-10-31 (Price: 281.82),2025-12-03 (Price: 320.62),34/1/0 days,12.98% above/0.7% below/0.0% below,2023-12-31 (Price: 155.9446)/2025-12-04 (Price: 253.446),63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,2027-07-23/2026-04-07/2026-09-18,22.75%,24.26%,-1.52%,1.49,0.85,347.65/413.111/424.87/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,156.23/84.51/243.1061/191.2921/270.6509/234.996/205.81,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SOXX, Long, 2025-12-04 (Price: 306.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-04 (Price: 306.28), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-04 (Price: 306.28),2025-11-21 (Price: 270.83),0/13/0 days,0.0% below/13.09% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-04 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,2029-04-13/2027-03-18/2027-07-06,17.9%,12.73%,5.17%,1.39,0.46,371.4564/437.8273/471.63/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/237.45,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"BNS.TO, Long, 2025-12-04 (Price: 98.33)",No Exit Yet,"0.0%, 0 days","90.32%, Past 10 years, 31","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 96.69 prior to 2025-12-05,"2025-12-04 (Price: 98.33), 0.0% below",0 days,"2, 2024-10-13 (Price: 72.18)",2025-11-30 (Price: 96.94),2025-12-02 (Price: 98.72),3/2/0 days,1.43% above/0.4% below/0.0% below,2024-10-13 (Price: 75.69)/2025-12-04 (Price: 94.2113),12.4%/0.79%/4.86%,"1.93%, 33.13%",9.8 months/19 days/3.1 months,2027-02-02/2025-12-31/2026-04-16,9.78%,3.65%,6.13%,1.33,0.04,100.8374/103.1088/114.02/No Horizontal Resistance/95.6649/105.6031/No Moving Avg Target,63.97/61.07/90.1456/81.5516/88.9194/82.4971/78.93,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"DIA, Long, 2025-12-04 (Price: 479.07)",No Exit Yet,"0.0%, 0 days","100.0%, Past 27 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 462.57 prior to 2025-12-31,"2025-12-04 (Price: 479.07), 0.0% below",0 days,"4, 2010-12-31 (Price: 115.63)",2025-09-30 (Price: 463.74),2025-11-24 (Price: 464.44),65/10/0 days,3.31% above/3.15% above/0.0% below,2010-12-31 (Price: 102.8559)/2025-12-04 (Price: 447.0827),39.44%/24.26%/29.32%,"-0.0%, 23.1%",2.5 years/10.8 months/1.4 year,2029-07-16/2027-03-19/2027-12-27,13.89%,6.15%,7.74%,1.37,0.2,508.9161/619.5333/697.13/No Horizontal Resistance/508.5373/687.3389/No Moving Avg Target,287.3/321.6725/398.0316/329.7358/456.4623/439.2934/440.28,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"ENZL, Long, 2025-12-04 (Price: 46.005)",No Exit Yet,"0.0%, 0 days","81.82%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 45.67 prior to 2025-12-05,"2025-12-04 (Price: 46.005), 0.0% below",0 days,"0, 2021-08-15 (Price: 61.62)",2025-11-30 (Price: 45.63),2025-12-04 (Price: 46.005),3/0/0 days,0.82% above/0.0% below/0.0% below,2021-08-15 (Price: 64.4745)/2025-12-04 (Price: 44.9405),12.26%/2.26%/5.43%,"0.65%, 24.58%",10.1 months/19 days/2.6 months,2027-02-17/2025-12-31/2026-03-25,11.14%,2.84%,8.3%,1.13,0.01,47.0355/48.5031/55.37/65.1933/78.3229/93.1188/No Moving Avg Target,44.33/39.215/No F-Stack Support/No F-Stack Support/53.1262/54.7954/44.79,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"FBU.NZ, Long, 2025-12-04 (Price: 3.53)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-04 (Price: 3.53), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),34/4/0 days,8.28% above/5.37% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-04 (Price: 3.1092),27.18%/3.25%/17.61%,"37.82%, 49.28%",10.9 months/3.6 months/5.7 months,2027-03-21/2026-05-07/2026-08-08,13.88%,0.95%,12.92%,0.67,0.0,3.8593/4.1516/5.77/7.985/12.6329/13.7816/No Moving Avg Target,2.83/2.82/No F-Stack Support/No F-Stack Support/6.3507/6.7875/3.2,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BDGI.TO, Long, 2025-12-04 (Price: 75.96)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-04 (Price: 75.96), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-04 (Price: 75.96),65/0/0 days,23.75% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-04 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",1.3 year/10.8 months/1.1 year,2027-09-26/2027-03-19/2027-07-25,41.42%,12.22%,29.2%,1.0,0.42,124.3921/169.5123/102.53/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/73.041/66.9303/66.2783/60.058/52.38,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"BYD.TO, Long, 2025-12-04 (Price: 238.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 21","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 231.89 prior to 2025-12-31,"2025-12-04 (Price: 238.0), 0.0% below",0 days,"2, 2024-02-29 (Price: 318.51)",2025-11-30 (Price: 234.19),2025-11-26 (Price: 235.85),3/8/0 days,1.63% above/0.91% above/0.0% below,2024-02-29 (Price: 321.382)/2025-12-04 (Price: 222.2712),53.08%/5.8%/25.16%,"-0.0%, 33.29%",1.0 year/3.6 months/7.4 months,2027-05-25/2026-05-10/2026-10-22,17.04%,20.45%,-3.41%,1.55,0.45,307.972/297.8808/286.31/256.6133/325.4281/346.2134/No Moving Avg Target,192.05/190.7867/232.1757/215.4728/357.5546/377.7143/216.16,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
