Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"MX.TO, Long, 2025-10-23 (Price: 50.3)",No Exit Yet,"0.0%, 0 days","96.15%, Past 5 years, 26","Daily, is CONFIRMED on 2025-10-23",Already confirmed,"2025-10-23 (Price: 50.3), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 46.755), 7.58% above, Upmove Bounce Back","2025-04-09 (Price: 36.1), 2025-10-07 (Price: 57.41)",No Information,43.72%/9.58%/19.95%,"0.5%, 41.4%",715 days/25 days/229 days,2028-08-23/2025-11-28/2026-09-19,19.72%,10.64%,9.08%,0.45,0.4,51.0293/60.3348/63.09/73.435/108.2163/116.3139,47.53/38.425/47.9234/44.9271/88.1361/94.2546,51.47/52.26,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
OSCILLATOR DELTA,"MX.TO, Long, 2025-10-22 (Price: 48.71)",No Exit Yet,"3.26%, 1 days","75.0%, Past 6 years, 20","Daily, is Confirmed on 2025-10-22",No Cancellation Possible,"2025-10-23 (Price: 50.3), 3.26% above",1 days,No Information,No Information,No Information,No Information,No Information,No Information,23.39%/5.42%/9.78%,"14.14%, 19.66%",38 days/1 days/13 days,2025-12-16/2025-10-23/2025-11-09,18.47%,1.01%,17.46%,0.36,0.2,56.8056/53.4738/51.15/73.435/104.8718/122.9238,No Recent Minima/38.425/45.8359/31.2568/No Fib Ret Level/No Fib Ret Level,51.47/52.26,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
FRACTAL TRACK,"MEL.NZ, Long, 2025-10-22 (Price: 5.98)",No Exit Yet,"-0.84%, 1 days","95.45%, Past 5 years, 22","Daily, was CONFIRMED on 2025-10-22",Already confirmed,"2025-10-23 (Price: 5.93), 0.84% below",1 days,No Information,No Information,No Information,"38.2% (Price: 5.8017), 2.21% above, Upmove Bounce Back","2025-08-28 (Price: 5.4), 2025-10-09 (Price: 6.05)",No Information,17.12%/0.38%/7.41%,"4.24%, 14.44%",229 days/31 days/121 days,2026-09-18/2025-12-05/2026-04-15,7.03%,3.81%,3.22%,0.22,0.14,6.0326/6.4231/6.37/6.825/7.4565/8.4213,5.8/4.3875/4.5145/3.5923/No Fib Ret Level/No Fib Ret Level,5.76/5.75,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
OSCILLATOR DELTA,"SPOT, Long, 2025-10-21 (Price: 689.21)",No Exit Yet,"-2.23%, 2 days","76.47%, Past 6 years, 17","Daily, is Confirmed on 2025-10-21",No Cancellation Possible,"2025-10-23 (Price: 673.86), 2.23% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,20.64%/5.12%/8.42%,"12.1%, 16.97%",34 days/2 days/13 days,2025-12-09/2025-10-23/2025-11-08,14.8%,31.59%,-16.79%,0.4,0.92,761.8527/747.2415/744.35/No Horizontal Resistance/860.054/995.9806,No Recent Minima/118.6/642.6903/612.322/No Fib Ret Level/No Fib Ret Level,698.6/641.32,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
FRACTAL TRACK,"PFE, Long, 2025-10-21 (Price: 24.85)",No Exit Yet,"-0.72%, 2 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 24.67), 0.72% below",2 days,No Information,No Information,No Information,"50% (Price: 24.305), 1.5% above, Upmove Bounce Back","2025-04-09 (Price: 20.92), 2025-10-03 (Price: 27.69)",No Information,10.42%/4.0%/7.21%,"2.36%, 11.78%",67 days/34 days/50 days,2026-01-26/2025-12-09/2026-01-01,7.04%,-6.47%,13.51%,0.24,-0.32,24.7506/26.6417/28.91/55.39/66.4672/73.1352,24.23/No Horizontal Support/21.508/20.5265/No Fib Ret Level/No Fib Ret Level,24.89/24.73,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"PPH, Long, 2025-10-21 (Price: 92.1)",No Exit Yet,"0.42%, 2 days","92.59%, Past 5 years, 27","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 92.49), 0.42% above",2 days,No Information,No Information,No Information,"23.66% (Price: 91.7558), 0.8% above, Upmove Bounce Back","2025-08-07 (Price: 81.74), 2025-10-03 (Price: 94.86)",No Information,32.63%/0.93%/14.04%,"3.69%, 20.52%",838 days/9 days/290 days,2029-02-15/2025-11-03/2026-12-15,11.38%,7.16%,4.22%,0.31,0.27,92.2842/105.0308/99.97/No Horizontal Resistance/100.0174/110.0139,91.8/65.915/87.7591/70.617/No Fib Ret Level/No Fib Ret Level,89.94/88.51,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"GNE.NZ, Long, 2025-10-21 (Price: 2.47)",No Exit Yet,"0.4%, 2 days","78.57%, Past 5 years, 14","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 2.48), 0.4% above",2 days,No Information,No Information,No Information,"23.66% (Price: 2.3432), 5.84% above, Upmove Bounce Back","2023-03-24 (Price: 2.64), 2024-11-27 (Price: 2.4)",No Information,2.52%/0.21%/1.37%,"4.84%, 9.65%",11 days/11 days/11 days,2025-11-05/2025-11-05/2025-11-05,3.18%,-3.41%,6.59%,-0.26,-0.26,2.4843/2.5038/2.61/3.575/No Next Fib Ext/No Next Fib Ext,2.33/2.0733/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,2.4/2.3,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2025-10-21 (Price: 212.17)",No Exit Yet,"0.82%, 2 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 213.91), 0.82% above",2 days,No Information,No Information,No Information,"50% (Price: 213.83), 0.04% above, Upmove Bounce Back","2025-08-08 (Price: 186.1), 2025-09-29 (Price: 241.56)",No Information,33.99%/0.03%/14.01%,"-0.0%, 22.66%",252 days/8 days/76 days,2026-10-21/2025-11-01/2026-02-08,34.94%,4.13%,30.81%,0.67,0.14,216.2437/241.895/245.45/256.6133/367.2583/388.6839,209.51/196.0/147.1212/139.9966/No Fib Ret Level/No Fib Ret Level,226.19/217.39,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"NOVA.F, Long, 2025-10-21 (Price: 47.0)",No Exit Yet,"-3.19%, 2 days","96.43%, Past 5 years, 28","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 45.5), 3.19% below",2 days,No Information,No Information,No Information,"50% (Price: 45.95), 0.98% below, Upmove Bounce Back","2025-08-07 (Price: 38.2), 2025-09-19 (Price: 53.7)",No Information,165.03%/3.8%/36.49%,"0.32%, 18.83%",547 days/15 days/169 days,2027-12-22/2025-11-11/2026-06-22,48.54%,9.55%,38.99%,0.44,0.35,47.9212/64.1503/56.3/126.5/138.0871/146.706,46.45/40.95/44.5645/40.2093/No Fib Ret Level/No Fib Ret Level,48.24/60.56,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"HOOD, Long, 2025-10-21 (Price: 131.84)",No Exit Yet,"1.89%, 2 days","100.0%, Past 4 years, 14","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 134.33), 1.89% above",2 days,No Information,No Information,No Information,"23.66% (Price: 124.4743), 7.92% above, Upmove Bounce Back","2025-04-07 (Price: 29.66), 2025-10-06 (Price: 153.86)",No Information,129.73%/9.09%/78.62%,"-0.0%, 56.69%",668 days/67 days/235 days,2028-06-14/2026-01-26/2026-09-26,101.75%,34.23%,67.52%,0.95,0.97,155.6635/235.4926/206.36/No Horizontal Resistance/164.8517/245.4076,129.91/8.2917/115.0659/84.2959/No Fib Ret Level/No Fib Ret Level,123.03/78.72,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
