Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-17 (Price: 203.08),No Price Target,No Date Target,23.77%/66.46%,"15.18%, 6.7 months","2026-02-17 (Price: 203.08), 15.18% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,83.4% above/40.87% above/15.18% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-17 (Price: 203.08),No Price Target,No Date Target,81.77%/91.26%,"5.48%, 2 years","2026-02-17 (Price: 203.08), 5.48% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,37.77% above/11.67% above/5.48% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-17 (Price: 203.08),No Price Target,No Date Target,58.32%/66.58%,"21.1%, 2.1 years","2026-02-17 (Price: 203.08), 21.1% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,37.77% above/38.92% above/21.1% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-12-28 (Price: 205.3)",Weekly,No Exit Yet,No Price Target,2026-02-18 (Min),8.94%/10.16%,"-5.84%, 1.7 month","2026-02-17 (Price: 193.32), 5.84% below",241.3096 (Historic Rise or Fall to Pivot)/223.2022 (Avg % Gain of Historic Winning trades)/210.6 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/235.5202 (Backtested Max)/212.9577 (Backtested Min),2026-07-07 (Max)/2026-02-18 (Min)/2026-03-11 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/182.17,"100.0%, Past 10 years, 15",202.62,No Information,No Information,No Information,No Information,No Information,5.84% below/5.84% below/5.84% below,14.72%/3.73%/8.72%,"-0.0%, 10.74%",4.4 months/1.2 month/1.7 month,10.04%,18.73%,-8.69%,2.04,1.19,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-17 (Price: 193.32),No Price Target,No Date Target,5.71%/8.57%,"9.53%, 8.7 months","2026-02-17 (Price: 193.32), 9.53% above",209.8938 (Historic Rise or Fall to Pivot)/204.3517 (Avg % Gain of Historic Winning trades)/279.99 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-09 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",170.49,No Information,No Information,No Information,No Information,No Information,9.53% above/12.74% above/9.53% above,24.69%/6.61%/15.78%,"0%, 12.12%",1 year/5 months/9.3 months,8.62%,19.19%,-10.57%,2.59,1.27,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,No Exit Yet,No Price Target,2026-02-15 (Min),8.85%/11.64%,"-0.83%, 3.1 months","2026-02-17 (Price: 193.32), 0.83% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/188.55,"84.81%, Past 10 years, 79",184.95,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,46.5562 (Avg % Gain of Historic Winning trades),No Date Target,2.7%/6.7%,"8.29%, 2.2 months","2026-02-17 (Price: 46.38), 8.29% above",54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.72,"100.0%, Past 5 years, 16",43.17,No Information,No Information,No Information,"23.66% (Price: 42.2713), 9.72% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-06-30 (Price: 40.83)",Monthly,No Exit Yet,46.7626 (Avg % Gain of Historic Winning trades),No Date Target,6.55%/6.7%,"13.59%, 7.7 months","2026-02-17 (Price: 46.38), 13.59% above",49.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/49.5554 (Backtested Max),2033-12-01 (Max)/2026-10-25 (Min)/2027-12-03 (Avg),29.46/29.48/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",40.785,No Information,No Information,No Information,"38.2% (Price: 36.2348), 28.0% above, Upmove Bounce Back","2023-10-31 (Price: 27.385), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2026-02-10 (Price: 44.2)",Daily,No Exit Yet,No Price Target,2026-02-18 (Min),6.7%/40.68%,"4.93%, 7 days","2026-02-17 (Price: 46.38), 4.93% above",49.4858 (F-Stack 1)/65.2454 (F-Stack 2),2026-06-11 (Max)/2026-02-18 (Min)/2026-03-16 (Avg),42.56/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/42.6,"85.19%, Past 4 years, 27",43.75,No Information,No Information,No Information,No Information,No Information,6.99% above/4.93% above/4.93% above,4.38%/0.62%/2.23%,"10.13%, 19.69%",2.8 months/6 days/24 days,8.66%,2.65%,6.01%,0.1,0.09,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-02-17 (Price: 97.76),95.9858 (Backtested Min),No Date Target,3.45%/4.17%,"22.8%, 3.6 months","2026-02-17 (Price: 97.76), 22.8% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 30.54% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-02-17 (Price: 97.76),99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades),No Date Target,14.31%/26.04%,"24.55%, 7.7 months","2026-02-17 (Price: 97.76), 24.55% above",135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 58.3% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
