"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GOOG, Long, 2025-10-08 (Price: 247.13)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 241.18 prior to 2025-10-31,"2025-10-07 (Price: 247.13), 0.0% below",0 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-08 (Price: 247.13),5/1/1 days,1.47% above/0.0% below/0.0% below,2020-10-31 (Price: 126.9444)/2025-10-08 (Price: 221.2778),39.1%/1.54%/23.19%,"3.21%, 17.45%",412 days/76 days/164 days,2027-05-27/2026-01-26/2026-06-02,11.85%,23.51%,-11.66%,1.08,0.83,297.6187/304.4394/346.78/No Horizontal Resistance/285.4807/322.8294,156.23/84.6567/240.3589/219.0619/No Fib Ret Level/No Fib Ret Level,223.72/188.32,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
"BTC-USD, Long, 2025-10-02 (Price: 120681.2578)",2025-10-08 (Price: 121775.3516) (Today),"0.91%, 4 days","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2025-10-02",Already confirmed,"2025-10-08 (Price: 121775.3516), 0.91% above",4 days,"4, 2025-07-22 (Price: 119995.4141)",2025-10-01 (Price: 118648.9297),2025-10-02 (Price: 120681.2578),5/4/4 days,2.64% above/0.91% above/0.91% above,2025-07-22 (Price: 129101.9882)/2025-10-02 (Price: 113853.3218),21.98%/0.66%/6.8%,"27.98%, 48.15%",76 days/3 days/17 days,2026-01-20/2025-10-06/2025-10-26,22.05%,48.46%,-26.41%,0.59,0.91,134064.8093/128887.5833/121092.76/123774.3633/122105.3521/133759.1807,109049.29/18304.4229/88987.7198/76786.0499/No Fib Ret Level/No Fib Ret Level,113557.15/105122.31,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
"^DJI, Long, 2025-09-28 (Price: 46247.2891)",2025-10-08 (Price: 46602.9805),"0.77%, 7 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2025-10-07 (Price: 46602.9805), 0.77% above",7 days,"2, 2025-04-13 (Price: 40212.7109)",2025-09-14 (Price: 45834.2188),2025-09-28 (Price: 46247.2891),16/6/6 days,1.68% above/0.77% above/0.77% above,2025-04-13 (Price: 44362.2969)/2025-09-28 (Price: 45409.3593),6.98%/0.22%/3.64%,"0%, 34.78%",249 days/19 days/106 days,2026-09-23/2025-10-25/2026-02-28,6.14%,9.9%,-3.76%,1.98,0.44,48027.8097/47930.6904/49868.04/No Horizontal Resistance/54129.8938/83218.843,38314.86/32154.0552/36151.8794/25040.9446/No Fib Ret Level/No Fib Ret Level,45145.09/43246.39,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
"GOOG, Long, 2025-09-14 (Price: 241.38)",2025-10-08 (Price: 247.13),"2.38%, 17 days","100.0%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-10-07 (Price: 247.13), 2.38% above",17 days,"8, 2023-11-12 (Price: 134.06)",2025-09-07 (Price: 235.17),2025-09-14 (Price: 241.38),21/16/16 days,5.09% above/2.38% above/2.38% above,2023-11-12 (Price: 164.7561)/2025-09-14 (Price: 229.6932),19.02%/3.98%/9.22%,"0%, 15.08%",129 days/24 days/51 days,2026-03-19/2025-10-18/2025-11-26,13.13%,20.91%,-7.78%,1.76,0.78,281.8111/263.6352/305.77/No Horizontal Resistance/219.0619/240.3589,147.74/84.6567/203.7099/185.0665/No Fib Ret Level/No Fib Ret Level,202.01/182.46,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
"^DJI, Long, 2025-09-14 (Price: 45834.2188)",2025-10-08 (Price: 46602.9805),"1.68%, 17 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-10-07 (Price: 46602.9805), 1.68% above",17 days,"2, 2025-03-30 (Price: 41583.8984)",2025-09-14 (Price: 45834.2188),2025-09-14 (Price: 45834.2188),16/16/16 days,1.68% above/1.68% above/1.68% above,2025-03-30 (Price: 44275.0417)/2025-09-14 (Price: 45322.1041),6.98%/0.22%/3.64%,"0%, 34.78%",249 days/19 days/106 days,2026-09-09/2025-10-11/2026-02-14,6.14%,9.9%,-3.76%,1.98,0.44,47598.8362/47502.5844/48384.41/No Horizontal Resistance/54129.8938/83218.843,38314.86/32154.0552/36151.8794/25040.9446/No Fib Ret Level/No Fib Ret Level,44806.51/43178.04,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
"AMZN, Long, 2025-08-31 (Price: 229.0)",2025-10-08 (Price: 221.78),"-3.15%, 27 days","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-10-07 (Price: 221.78), 3.15% below",27 days,"6, 2020-08-31 (Price: 172.548)",2025-06-30 (Price: 219.39),2025-08-31 (Price: 229.0),71/26/26 days,1.09% above/3.15% below/3.15% below,2020-08-31 (Price: 177.747)/2025-08-31 (Price: 208.3547),51.52%/0.95%/30.06%,"0%, 23.74%",433 days/11 days/226 days,2027-05-20/2025-09-15/2026-07-24,12.8%,20.63%,-7.83%,1.54,0.65,275.3954/297.8374/262.87/No Horizontal Resistance/317.6152/339.3352,184.42/86.995/213.1321/193.0625/No Fib Ret Level/No Fib Ret Level,223.99/212.82,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
"AAPL, Long, 2025-08-17 (Price: 231.59)",2025-10-08 (Price: 256.48),"10.75%, 37 days","87.5%, Past 10 years, 8","Weekly, is CONFIRMED on 2025-08-15",Already confirmed,"2025-10-07 (Price: 256.48), 10.75% above",37 days,"2, 2024-12-08 (Price: 242.84)",2025-08-10 (Price: 229.35),2025-08-17 (Price: 231.59),41/36/36 days,11.83% above/10.75% above/10.75% above,2024-12-08 (Price: 266.6345)/2025-08-17 (Price: 209.0553),18.76%/0.65%/11.8%,"5.42%, 26.3%",119 days/24 days/53 days,2026-02-05/2025-09-20/2025-11-01,10.27%,22.37%,-12.1%,1.2,0.83,267.5328/258.9176/238.34/237.36/294.7231/309.0801,188.38/136.57/189.8723/119.0319/No Fib Ret Level/No Fib Ret Level,209.59/221.05,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
"EURUSD=X, Long, 2025-07-06 (Price: 1.1771)",2025-10-08 (Price: 1.1646) (Today),"-1.06%, 67 days","76.92%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2025-10-08 (Price: 1.1646), 1.06% below",67 days,"4, 2024-06-09 (Price: 1.0894)",2025-06-29 (Price: 1.1692),2025-07-06 (Price: 1.1771),72/67/67 days,0.39% below/1.06% below/1.06% below,2024-06-09 (Price: 1.0964)/2025-07-06 (Price: 1.17),5.31%/0.82%/2.28%,"13.11%, 20.04%",319 days/19 days/80 days,2026-10-11/2025-08-02/2025-10-29,0.54%,-0.82%,1.36%,0.14,-0.63,1.1991/1.2039/1.23/1.2286/1.6296/1.7649,1.03/1.0069/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,1.14/1.09,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
"GOOG, Long, 2025-05-31 (Price: 172.85)",2025-10-08 (Price: 247.13),"42.97%, 92 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-10-07 (Price: 247.13), 42.97% above",92 days,"10, 2020-05-31 (Price: 71.446)",2025-05-31 (Price: 172.85),2025-05-31 (Price: 172.85),91/91/91 days,42.97% above/42.97% above/42.97% above,2020-05-31 (Price: 149.423)/2025-05-31 (Price: 157.2888),39.1%/1.54%/23.19%,"3.21%, 17.45%",412 days/76 days/164 days,2027-01-17/2025-09-18/2026-01-23,11.85%,23.51%,-11.66%,1.08,0.83,208.1633/212.9339/233.69/No Horizontal Resistance/219.0619/240.3589,156.23/85.8978/138.1748/130.09/No Fib Ret Level/No Fib Ret Level,161.79/172.82,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
"BTC-USD, Long, 2025-05-31 (Price: 104638.0938)",2025-10-08 (Price: 121775.3516) (Today),"16.38%, 92 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-10-08 (Price: 121775.3516), 16.38% above",92 days,"0, 2020-05-31 (Price: 9461.0586)",2025-04-30 (Price: 94207.3125),2025-05-31 (Price: 104638.0938),115/92/92 days,29.26% above/16.38% above/16.38% above,2020-05-31 (Price: 62070.0492)/2025-05-31 (Price: 77304.8593),347.58%/9.5%/150.52%,"0%, 15.0%",131 days/76 days/114 days,2025-12-06/2025-09-18/2025-11-12,56.92%,66.1%,-9.18%,1.04,1.46,365584.5721/262139.3526/161744.31/108691.664/112399.9298/136097.3501,16547.5/18304.4229/88806.9363/81023.3741/No Fib Ret Level/No Fib Ret Level,98179.57/94736.72,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
"BRK-B, Long, 2025-05-04 (Price: 539.8)",2025-10-08 (Price: 502.3),"-6.95%, 112 days","92.86%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-05-02",Already confirmed,"2025-10-07 (Price: 502.3), 6.95% below",112 days,"4, 2024-02-11 (Price: 398.36)",2025-05-04 (Price: 539.8),2025-05-04 (Price: 539.8),111/111/111 days,6.95% below/6.95% below/6.95% below,2024-02-11 (Price: 422.586)/2025-05-04 (Price: 530.5998),11.6%/2.4%/5.53%,"8.15%, 14.06%",209 days/24 days/67 days,2026-03-02/2025-06-07/2025-08-09,7.99%,12.36%,-4.37%,0.98,0.55,582.984/569.6509/624.66/No Horizontal Resistance/533.0296/630.85,442.66/268.082/491.88/449.7662/No Fib Ret Level/No Fib Ret Level,516.28/472.29,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
"BRK-B, Long, 2025-03-31 (Price: 532.58)",2025-10-08 (Price: 502.3),"-5.69%, 137 days","71.43%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-10-07 (Price: 502.3), 5.69% below",137 days,"0, 2020-03-31 (Price: 182.83)",2025-02-28 (Price: 513.83),2025-03-31 (Price: 532.58),157/136/136 days,2.24% below/5.69% below/5.69% below,2020-03-31 (Price: 291.2478)/2025-03-31 (Price: 468.3783),27.79%/1.55%/11.56%,"6.9%, 24.34%",543 days/109 days/319 days,2027-05-26/2025-09-04/2026-07-06,5.34%,10.21%,-4.87%,0.55,0.44,546.3206/594.1462/742.43/No Horizontal Resistance/533.0296/630.85,267.02/200.57/491.88/449.7662/No Fib Ret Level/No Fib Ret Level,493.01/459.62,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
