"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"EURUSD=X, Long, 2026-02-23 (Price: 1.179)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 12","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-02-23 (Price: 1.179), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.1893),0.87% below,"2025-11-05 (Price: 1.147), 2026-01-28 (Price: 1.2024)",3.96%/1.06%/2.74%,"1.76%, 8.46%",1.7 year/1.9 month/7.8 months,2028-07-28/2026-05-16/2027-01-27,3.65%,-0.58%,4.23%,0.5,-0.67,1.1851/1.2113/1.21/No Horizontal Resistance/1.7416/2.0466/No EMA 200 Target,No support/1.0069/No F-Stack Support/No F-Stack Support/No support/No support/1.16,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),1.1798
"GBPSGD=X, Long, 2026-02-23 (Price: 1.7075)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-02-23 (Price: 1.7075), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.737),1.7% below,"2025-11-05 (Price: 1.7003), 2026-01-29 (Price: 1.7484)",0.72%/0.52%/0.63%,"-0.0%, 4.59%",1.7 year/1.2 month/8.2 months,2028-07-28/2026-04-16/2027-02-12,3.03%,-0.49%,3.52%,0.32,-0.86,1.7121/1.7183/1.74/1.8577/4.0285/5.5304/1.73,No support/1.6858/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),1.7066
"HDFCBANK.NS, Long, 2026-02-23 (Price: 923.6)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 901.0 prior to 2026-02-27,"2026-02-23 (Price: 923.6), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 891.107),3.65% above,"2024-02-18 (Price: 681.775), 2025-10-26 (Price: 1020.5)",22.05%/6.26%/16.28%,"4.97%, 33.13%",1.6 year/7 days/6.7 months,2028-06-06/2026-03-05/2026-12-11,12.4%,12.41%,-0.01%,1.46,0.67,994.9019/1073.9621/1126.84/1009.6/1299.7536/1565.406/975.13,903.9/640.9/762.8018/626.4465/No support/891.107/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),916.5
"C6L.SI, Long, 2026-02-23 (Price: 6.96)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-23 (Price: 6.96), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),11.56% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-09/2027-02-09/2028-04-15,7.09%,-1.77%,8.86%,0.77,-0.19,7.166/8.645/8.02/7.0067/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-23 (Price: 11.01)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-23 (Price: 11.01), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),4.28% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-06/2026-10-02/2027-09-19,8.62%,8.22%,0.4%,0.91,0.49,12.667/13.3617/18.07/12.825/13.8771/15.9169/11.53,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"ETH-USD, Long, 2026-02-22 (Price: 1957.8059)",No Exit Yet,"-4.79%, 1 day","100.0%, Past 10 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 1864.0098), 4.79% below",1 day,Upmove Bounce Back,88.6% (Price: 1793.4297),3.94% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-14/2026-03-04/2026-06-23,44.95%,44.58%,0.37%,1.56,1.59,2026.7207/2430.0287/4097.97/4922.7188/4887.278/5344.0381/3478.41,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1965.1317
"TSLA, Long, 2026-02-22 (Price: 411.82)",No Exit Yet,"-2.91%, 1 day","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 399.83), 2.91% below",1 day,Upmove Bounce Back,23.66% (Price: 383.5985),4.23% above,"2019-06-09 (Price: 11.7993), 2025-12-28 (Price: 498.83)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-04-14/2026-04-15/2026-09-14,12.11%,30.11%,-18.0%,0.69,1.16,595.6976/487.1419/704.04/487.1467/541.282/564.9603/No EMA 200 Target,411.11/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/388.36,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),412.36
"HYG, Long, 2026-02-22 (Price: 81.0)",No Exit Yet,"-0.16%, 1 day","100.0%, Past 18 years, 8","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 80.87), 0.16% below",1 day,Upmove Bounce Back,23.66% (Price: 79.8742),1.25% above,"2025-04-13 (Price: 75.08), 2025-09-28 (Price: 81.36)",1.64%/1.64%/1.64%,"-0.0%, 5.0%",5.6 months/5.6 months/5.6 months,2026-10-23 (Max),4.91%,-0.94%,5.85%,0.25,-0.45,81.2592/82.3284/84.77/87.0575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.95/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/80.44,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),80.82
"AMD, Long, 2026-02-22 (Price: 200.15)",No Exit Yet,"-1.77%, 1 day","83.33%, Past 20 years, 12","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 196.6), 1.77% below",1 day,Upmove Bounce Back,38.2% (Price: 194.2708),1.2% above,"2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-09-17/2026-03-04/2027-04-10,11.53%,7.36%,4.17%,1.23,0.44,262.3366/240.5403/314.51/No Horizontal Resistance/273.8526/307.9609/No EMA 200 Target,151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/184.5,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),202.145
"RELIANCE.NS, Long, 2026-02-22 (Price: 1419.4)",No Exit Yet,"0.61%, 1 day","90.48%, Past 20 years, 21","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 1428.0), 0.61% above",1 day,Upmove Bounce Back,23.66% (Price: 1325.1633),7.76% above,"2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,2029-11-08/2026-03-14/2026-11-27,15.84%,11.94%,3.9%,1.68,0.6,1524.0098/1647.6395/2146.29/1610.3/1879.7264/2065.5547/1451.48,1386.1/1006.0696/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1420.1
"SONY, Long, 2026-02-22 (Price: 21.93)",No Exit Yet,"-1.19%, 1 day","100.0%, Past 20 years, 18","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 21.67), 1.19% below",1 day,Upmove Bounce Back,61.8% (Price: 20.8735),3.82% above,"2024-05-12 (Price: 15.022), 2025-11-16 (Price: 30.34)",22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-04-11/2026-03-14/2027-12-31,9.4%,4.91%,4.49%,2.5,0.26,22.9607/25.3555/31.12/26.85/33.2191/35.3948/26.41,21.82/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),22.71
"VGT, Long, 2026-02-22 (Price: 737.6)",No Exit Yet,"-1.46%, 1 day","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-02-23 (Price: 726.85), 1.46% below",1 day,Upmove Bounce Back,23.66% (Price: 722.7628),0.57% above,"2025-04-13 (Price: 451.0), 2025-11-02 (Price: 806.99)",20.12%/15.11%/16.2%,"0%, 27.55%",1.8 year/1.2 month/9.2 months,2028-09-17/2026-04-15/2027-03-28,14.28%,9.95%,4.33%,12.76,0.59,784.6589/857.0912/951.19/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,730.8/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/712.53,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),726.23
"GOOG, Long, 2026-02-19 (Price: 303.56)",No Exit Yet,"2.68%, 4 days","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 311.69), 2.68% above",4 days,Upmove Bounce Back,23.66% (Price: 301.0579),3.53% above,"2025-04-07 (Price: 142.66), 2026-02-03 (Price: 350.15)",14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2028-12-27/2026-03-27/2026-10-11,22.02%,19.29%,2.73%,1.63,0.99,342.2335/333.916/428.05/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,302.82/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/247.23,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),302.52
"GLD, Long, 2026-02-19 (Price: 459.56)",No Exit Yet,"4.73%, 4 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 481.28), 4.73% above",4 days,Upmove Bounce Back,23.66% (Price: 444.9733),8.16% above,"2024-11-14 (Price: 236.13), 2026-01-29 (Price: 509.7)",11.32%/1.34%/8.92%,"-0.0%, 18.1%",2 years/1.4 month/5.2 months,2028-12-27/2026-04-20/2026-10-02,26.16%,11.89%,14.27%,2.41,0.93,494.7163/500.5528/623.7/No Horizontal Resistance/624.146/947.1834/No EMA 200 Target,427.13/150.8/424.4974/301.1087/No F-Track Level/No F-Track Level/358.77,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),457.34
"SLV, Long, 2026-02-19 (Price: 71.01)",2026-02-23 (Price: 80.57),"13.46%, 4 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 80.57), 13.46% above",4 days,Upmove Bounce Back,50% (Price: 64.105),25.68% above,"2023-03-09 (Price: 18.38), 2026-01-29 (Price: 109.83)",14.88%/7.53%/10.91%,"7.24%, 33.28%",2.9 years/14 days/8 months,2030-04-11/2026-03-11/2027-02-01,24.18%,11.56%,12.62%,1.56,0.61,76.3002/78.7572/125.88/No Horizontal Resistance/79.0727/89.0774/No EMA 200 Target,66.37/18.99/67.9787/59.1217/No F-Track Level/No F-Track Level/47.1,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),70.68
"BTI, Long, 2026-02-19 (Price: 60.99)",No Exit Yet,"1.82%, 4 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 62.1), 1.82% above",4 days,Upmove Bounce Back,38.2% (Price: 59.3055),4.71% above,"2026-01-07 (Price: 53.28), 2026-02-06 (Price: 63.03)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-11-05/2026-04-20/2027-11-06,11.0%,5.81%,5.19%,1.67,0.3,65.9241/66.3937/66.84/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,58.87/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.62,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),59.03
