Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,No Price Target,2025-11-13 (Earliest),No Exit Yet,"2025-11-12 (Price: 193.75), 0.0% below","80.0%, Past 4 years, 10",1.26%/2.7%,"0.0%, 0 days",4.82%/1.26%/2.7%,201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/308.8111 (F-Stack 1)/326.8654 (F-Stack 2)/203.08875 (Backtested Best)/196.19125 (Backtested Worst)/198.98125 (Backtested Avg),2025-12-02 (Farthest)/2025-11-13 (Earliest)/2025-11-19 (Avg),"0.0%, 0 days","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 193.75), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,"8.44%, 8.44%",14 days/1 days/5 days,2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/308.8111/326.8654,190.0/116.89/175.5204/963.9349/325.4009/341.4777,220.52/247.99,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",Daily,3133.8395 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-12 (Price: 3131.8), 2.78% above","96.97%, Past 4 years, 33",1.68%/1.68%,"2.78%, 1 days",13.38%/0.84%/4.51%,3184.4197 (Avg % Gain of Historic Winning trades)/3561.08 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6711.0756 (F-Stack 2)/3454.6886 (Backtested Best)/3184.4197 (Backtested Avg),2026-03-25 (Farthest)/2025-11-18 (Earliest)/2025-12-02 (Avg),"2.78%, 1 days","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 3131.8), 2.78% above",1 days,No Information,No Information,No Information,No Information,No Information,4.68% above/2.78% above/2.78% above,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"MTY.TO, Long, 2025-11-10 (Price: 34.02)",Daily,No Price Target,2025-11-11 (Earliest),No Exit Yet,"2025-11-12 (Price: 34.13), 0.32% above","72.97%, Past 6 years, 37",1.3%/4.66%,"0.32%, 2 days",19.58%/5.02%/7.99%,34.5745 (Historic Rise or Fall to Pivot)/36.7382 (Avg % Gain of Historic Winning trades)/35.72 (Exit Rule)/72.5033 (Horizontal)/40.681116 (Backtested Best)/35.727804000000006 (Backtested Worst)/36.738198000000004 (Backtested Avg),2026-03-13 (Farthest)/2025-12-29 (Avg),"0.32%, 2 days","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-12 (Price: 34.13), 0.32% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.5/40.8,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",Daily,38.299164 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-12 (Price: 38.29), 0.45% above","75.86%, Past 4 years, 58",0.71%/2.23%,"0.45%, 2 days",11.99%/0.47%/4.38%,39.3894 (Historic Rise or Fall to Pivot)/39.7897 (Avg % Gain of Historic Winning trades)/38.56 (Exit Rule)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.69058799999999 (Backtested Best)/39.789656 (Backtested Avg),2026-02-25 (Farthest)/2025-11-17 (Earliest)/2025-12-22 (Avg),"0.45%, 2 days","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-12 (Price: 38.29), 0.45% above",2 days,No Information,No Information,No Information,No Information,No Information,0.55% below/0.45% above/0.45% above,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-25/2025-11-17/2025-12-22,0%,10.77%,0%,-0.18,0.39,39.3894/39.7897/38.56/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.08/36.0,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-10 (Price: 316.89)",Daily,320.439168 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-12 (Price: 320.41), 1.11% above","97.62%, Past 4 years, 42",2.66%/3.09%,"1.11%, 2 days",10.64%/1.12%/4.24%,330.3261 (Avg % Gain of Historic Winning trades)/403.26 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/350.607096 (Backtested Best)/330.32613599999996 (Backtested Avg),2026-02-20 (Farthest)/2025-11-15 (Earliest)/2025-12-07 (Avg),"1.11%, 2 days","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-12 (Price: 320.41), 1.11% above",2 days,No Information,No Information,No Information,No Information,No Information,1.97% above/1.11% above/1.11% above,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-20/2025-11-15/2025-12-07,52.95%,15.43%,37.52%,1.31,0.55,319.0449/330.3261/403.26/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,306.49/276.27,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-11 (Earliest),No Exit Yet,"2025-11-12 (Price: 609.01), 3.6% below","75.0%, Past 4 years, 8",7.13%/12.79%,"-3.6%, 2 days",14.76%/3.27%/8.73%,698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/725.0077759999999 (Backtested Best)/652.418552 (Backtested Worst)/686.912648 (Backtested Avg),2025-12-04 (Farthest)/2025-11-20 (Avg),"-3.6%, 2 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-12 (Price: 609.01), 3.6% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,"19.19%, 19.41%",17 days/1 days/7 days,2025-12-04/2025-11-11/2025-11-20,6.71%,17.48%,-10.77%,0.15,0.58,698.2212/686.9126/692.57/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,719.36/678.18,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-06 (Price: 38.14)",Daily,No Price Target,2025-11-13 (Earliest),No Exit Yet,"2025-11-12 (Price: 38.29), 0.39% above","75.86%, Past 4 years, 58",2.23%/2.93%,"0.39%, 4 days",11.99%/0.47%/4.38%,39.4101 (Historic Rise or Fall to Pivot)/39.8105 (Avg % Gain of Historic Winning trades)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.712985999999994 (Backtested Best)/39.810532 (Backtested Avg),2026-02-21 (Farthest)/2025-11-13 (Earliest)/2025-12-18 (Avg),"0.39%, 4 days","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 38.29), 0.39% above",4 days,No Information,No Information,No Information,No Information,No Information,0.39% above/0.39% above/0.39% above,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-21/2025-11-13/2025-12-18,0%,10.77%,0%,-0.18,0.39,39.4101/39.8105/38.33/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.01/36.01,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,No Price Target,2025-11-11 (Earliest),No Exit Yet,"2025-11-12 (Price: 320.41), 2.23% above","97.62%, Past 4 years, 42",1.97%/1.97%,"2.23%, 4 days",10.64%/1.12%/4.24%,326.709 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/346.767888 (Backtested Best)/326.70900800000004 (Backtested Avg),2026-02-16 (Farthest)/2025-12-03 (Avg),"2.23%, 4 days","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 320.41), 2.23% above",4 days,No Information,No Information,No Information,No Information,No Information,3.61% above/2.23% above/2.23% above,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-16/2025-11-11/2025-12-03,52.95%,15.43%,37.52%,1.31,0.55,315.5513/326.709/314.42/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,305.92/275.77,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"ATD.TO, Long, 2025-11-06 (Price: 69.75)",Daily,71.138025 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-12 (Price: 71.22), 2.11% above","90.0%, Past 4 years, 10",1.03%/1.03%,"2.11%, 4 days",4.29%/1.99%/3.16%,76.8505 (Historic Rise or Fall to Pivot)/71.9541 (Avg % Gain of Historic Winning trades)/74.4 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/72.74227499999999 (Backtested Best)/71.95410000000001 (Backtested Avg),2026-01-05 (Farthest)/2025-11-16 (Avg),"2.11%, 4 days","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 71.22), 2.11% above",4 days,No Information,No Information,No Information,No Information,No Information,No Information,"7.87%, 8.49%",42 days/1 days/7 days,2026-01-05/2025-11-07/2025-11-16,10.18%,9.13%,1.05%,0.58,0.34,76.8505/71.9541/74.4/85.51/85.3936/96.14,68.8/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.85/71.59,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"BTC-USD, Long, 2025-11-06 (Price: 101301.2891)",Daily,No Price Target,2025-11-13 (Earliest),No Exit Yet,"2025-11-12 (Price: 101552.9219), 0.25% above","93.75%, Past 5 years, 64",16.24%/20.24%,"0.25%, 4 days",133.41%/2.6%/33.78%,135520.8646 (Avg % Gain of Historic Winning trades)/118048.41 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/236447.33888831 (Backtested Best)/135520.86455798 (Backtested Avg),2028-03-24 (Farthest)/2025-11-13 (Earliest)/2026-06-08 (Avg),"0.25%, 4 days","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 101552.9219), 0.25% above",4 days,No Information,No Information,No Information,"88.6% (Price: 101468.156), 0.08% above, Upmove Bounce Back","2025-06-22 (Price: 98286.2031), 2025-10-06 (Price: 126198.0703)",No Information,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-24/2025-11-13/2026-06-08,16.74%,49.32%,-32.58%,0.38,0.92,104988.656/135520.8646/118048.41/124582.2656/122105.3521/133759.1807,100987.14/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,111479.12/110439.51,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
