"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"LYFT, Long, 2026-01-29 (Price: 17.75)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-01-29 (Price: 17.75), 0.0% below",0 days,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-04-17/2026-01-30/2026-02-19,-3.92%,-12.3%,8.38%,-0.15,-0.0,17.569/18.9748/18.27/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,17.2/8.8875/No F-Stack Support/No F-Stack Support/No support/No support/17.62,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),17.19
"RY.TO, Long, 2026-01-29 (Price: 227.52)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-01-29 (Price: 227.52), 0.0% below",0 days,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-03-12/2026-01-30/2026-02-15,1.66%,11.78%,-10.12%,-0.11,0.96,238.35/231.6609/235.01/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/219.2613/206.3076/196.79,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),226.03
"HDB, Long, 2026-01-29 (Price: 32.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price  prior to 2026-01-30,"2026-01-29 (Price: 32.55), 0.0% below",0 days,16.81%/7.78%/10.62%,"0%, 13.44%",2.1 months/7 days/1.3 month,2026-04-30/2026-02-08/2026-03-26,17.22%,7.31%,9.91%,3.65,0.38,36.7717/36.0068/36.39/39.3812/45.6752/50.9526/36.21,32.06/25.6925/29.7659/26.539/No support/30.844/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),32.15
"BRK-B, Long, 2026-01-26 (Price: 483.47)",No Exit Yet,"-1.38%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 476.79), 1.38% below",3 days,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/494.97,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),478.47
"IHI, Long, 2026-01-26 (Price: 60.74)",No Exit Yet,"-2.04%, 3 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 59.5), 2.04% below",3 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-02-22/2026-01-27/2026-02-05,10.24%,1.25%,8.99%,0.38,-0.05,64.7002/62.3921/63.55/65.925/68.9264/76.3906/61.28,60.28/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),60.27
"SUM.NZ, Long, 2026-01-26 (Price: 11.92)",No Exit Yet,"-4.95%, 3 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 11.33), 4.95% below",3 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-04-22/2026-01-27/2026-02-22,5.72%,-0.28%,6.0%,0.18,-0.09,12.0738/12.3694/12.22/12.6867/19.8479/26.5969/No EMA 200 Target,11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),11.95
"AAPL, Long, 2026-01-22 (Price: 248.35)",2026-01-26 (Price: 255.41),"2.84%, 4 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-29 (Price: 258.28), 4.0% above",7 days,6.6%/3.13%/3.95%,"4.88%, 13.99%",2.3 months/2 days/23 days,2026-05-01/2026-01-24/2026-02-24,8.79%,8.71%,0.08%,0.77,0.46,258.7559/258.1598/258.46/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,246.7/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.37,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),249.2
"INDY, Long, 2026-01-18 (Price: 47.98)",No Exit Yet,"-1.96%, 11 days","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-01-29 (Price: 47.04), 1.96% below",11 days,15.72%/4.17%/7.44%,"18.57%, 22.76%",2.8 months/21 days/1.8 month,2026-05-19/2026-02-17/2026-04-06,4.45%,2.66%,1.79%,0.24,0.07,51.2426/51.5497/51.4/54.474/60.9145/68.1277/52.05,47.57/40.73/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),48.41
"PG, Long, 2025-12-21 (Price: 144.46)",2026-01-25 (Price: 150.15),"3.94%, 1.2 month","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-29 (Price: 149.9), 3.77% above",1.3 month,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,2026-10-12/2025-12-31/2026-03-13,6.41%,4.09%,2.32%,2.17,0.17,152.5642/151.943/152.25/179.4533/186.6499/209.3631/154.1,142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),143.27
"LYFT, Long, 2025-12-17 (Price: 19.18)",2026-01-28 (Price: 17.2),"-10.32%, 1.4 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-17",Already confirmed,"2026-01-29 (Price: 17.75), 7.46% below",1.4 month,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-03-05/2025-12-18/2026-01-07,-3.92%,-12.3%,8.38%,-0.15,-0.0,18.9844/20.5034/19.74/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.12/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.62,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),19.22
