"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 12.6), 0.0% below",0 days,"4, 2025-08-07 (Price: 11.33)",2025-11-17 (Price: 12.65),2025-11-18 (Price: 12.6),1/0/0 days,0.4% below/0.0% below/0.0% below,2025-08-07 (Price: 10.8679)/2025-11-18 (Price: 12.3204),8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-29/2025-11-23/2025-12-11,46.12%,9.64%,36.48%,0.79,0.35,13.0183/13.1733/13.36/13.345/16.7981/18.5763,11.6/9.1367/11.1928/8.9354/12.5875/12.8318,11.41/11.45,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-18 (Price: 992.45)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-18 (Price: 992.45), 0.0% below",0 days,"0, 2020-11-30 (Price: 720.425)",2025-11-18 (Price: 992.45),2025-11-18 (Price: 992.45),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-11-30 (Price: 763.4559)/2025-11-18 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",282 days/107 days/199 days,2026-12-31/2026-04-21/2026-09-02,15.97%,19.29%,-3.32%,0.9,0.75,1117.5979/1233.8138/1155.67/1004.15/1299.7536/1565.406,701.7/640.9/976.4995/762.8018/940.3577/891.107,979.45/950.67,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"SOXX, Long, 2025-11-18 (Price: 275.39)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-11-18 (Price: 275.39), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-09-30 (Price: 271.12),2025-11-18 (Price: 275.39),35/0/0 days,1.57% above/0.0% below/0.0% below,2015-06-30 (Price: 22.1158)/2025-11-18 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",847 days/324 days/400 days,2029-03-28/2027-03-02/2027-06-20,17.9%,12.73%,5.17%,1.39,0.46,333.993/393.67/422.21/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,283.4/233.68,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-18 (Price: 371.85)",No Exit Yet,"0.0%, 0 days","80.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 361.95 prior to 2025-11-28,"2025-11-18 (Price: 371.85), 0.0% below",0 days,"2, 2024-09-30 (Price: 369.95)",2025-10-31 (Price: 356.8),2025-11-18 (Price: 371.85),12/0/0 days,4.22% above/0.0% below/0.0% below,2024-09-30 (Price: 376.0)/2025-11-18 (Price: 351.71),68.45%/6.21%/39.66%,"24.6%, 57.26%",630 days/109 days/256 days,2028-05-18/2026-04-24/2026-11-23,11.71%,15.65%,-3.93%,0.73,0.53,425.6195/519.3257/372.99/No Horizontal Resistance/382.1589/420.2463,237.3/145.35/348.542/313.3339/346.642/325.1897,342.67/312.04,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CSCO, Long, 2025-11-18 (Price: 77.175)",No Exit Yet,"0.0%, 0 days","81.82%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 74.61 prior to 2025-11-28,"2025-11-18 (Price: 77.175), 0.0% below",0 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-18 (Price: 77.175),12/0/0 days,5.56% above/0.0% below/0.0% below,2020-11-30 (Price: 63.5339)/2025-11-18 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",347 days/107 days/197 days,2027-04-04/2026-04-21/2026-08-30,6.7%,1.67%,5.03%,0.55,0.08,84.0436/90.125/97.67/No Horizontal Resistance/81.4336/89.7071,46.5/40.92/73.1467/64.9561/68.3561/61.5078,70.28/65.53,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-18 (Price: 70.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-11-18 (Price: 70.37), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-11-18 (Price: 70.37),35/0/0 days,14.65% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-11-18 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",457 days/325 days/413 days,2027-09-10/2027-03-03/2027-07-09,41.42%,12.22%,29.2%,1.0,0.42,115.2379/157.0377/93.59/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/66.9303/63.4408/66.2172/60.0086,66.11/50.42,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
"NA.TO, Long, 2025-11-18 (Price: 160.65)",No Exit Yet,"0.0%, 0 days","93.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 157.19 prior to 2025-11-28,"2025-11-18 (Price: 160.65), 0.0% below",0 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-18 (Price: 160.65),12/0/0 days,2.52% above/0.0% below/0.0% below,2020-11-30 (Price: 94.7324)/2025-11-18 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",694 days/108 days/223 days,2028-08-19/2026-04-23/2026-10-06,11.63%,10.7%,0.94%,1.75,0.45,170.4175/188.1854/213.88/No Horizontal Resistance/162.0277/185.717,118.77/82.9367/152.3147/143.1328/150.0082/141.7539,153.4/136.47,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BRK-B, Long, 2025-11-16 (Price: 508.94)",No Exit Yet,"-1.21%, 1 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-18 (Price: 502.7622), 1.21% below",1 days,"2, 2025-04-06 (Price: 493.54)",2025-11-16 (Price: 508.94),2025-11-16 (Price: 508.94),1/1/1 days,1.21% below/1.21% below/1.21% below,2025-04-06 (Price: 542.8072)/2025-11-16 (Price: 495.9973),11.6%/2.26%/5.43%,"13.62%, 25.57%",209 days/24 days/60 days,2026-09-14/2025-12-20/2026-02-10,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/630.85/709.9376,477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level,493.55/496.0,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",No Exit Yet,"-0.95%, 1 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-18 (Price: 156240.8125), 0.95% below",1 days,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),6/1/1 days,1.41% above/0.95% below/0.95% below,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),11.93%/0.93%/6.26%,"15.17%, 43.39%",289 days/19 days/71 days,2027-01-08/2025-12-13/2026-02-26,10.24%,5.05%,5.2%,0.76,0.14,161840.214/167613.4614/177361.4/No Horizontal Resistance/173653.968/192289.6,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level,146520.86/136771.08,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-16 (Price: 371.15)",No Exit Yet,"0.19%, 1 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-18 (Price: 371.85), 0.19% above",1 days,"0, 2021-07-25 (Price: 230.675)",2025-11-02 (Price: 356.8),2025-11-14 (Price: 371.15),11/2/1 days,4.22% above/0.19% above/0.19% above,2021-07-25 (Price: 448.4362)/2025-11-16 (Price: 350.8425),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-26/2025-12-13/2026-02-12,12.02%,12.45%,-0.44%,0.38,0.44,389.5219/413.6838/455.43/No Horizontal Resistance/372.4081/393.108,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level,340.26/310.9,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-13 (Price: 85.97)",No Exit Yet,"-3.83%, 3 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-13",Already confirmed,"2025-11-18 (Price: 82.675), 3.83% below",3 days,"4, 2025-07-31 (Price: 78.99)",2025-11-12 (Price: 85.27),2025-11-13 (Price: 85.97),4/3/3 days,3.04% below/3.83% below/3.83% below,2025-07-31 (Price: 78.5029)/2025-11-13 (Price: 84.8279),12.01%/1.22%/4.01%,"21.83%, 34.43%",119 days/4 days/21 days,2026-05-04/2025-11-18/2025-12-13,8.72%,13.33%,-4.61%,0.22,0.49,87.7238/89.4174/90.16/No Horizontal Resistance/95.0177/123.2166,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.07/74.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DIS, Long, 2025-11-12 (Price: 116.65)",No Exit Yet,"-8.3%, 4 days","73.68%, Past 4 years, 19","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 106.97), 8.3% below",4 days,"2, 2025-08-19 (Price: 116.27)",2025-11-10 (Price: 112.24),2025-11-12 (Price: 116.65),6/4/4 days,4.7% below/8.3% below/8.3% below,2025-08-19 (Price: 120.6897)/2025-11-12 (Price: 112.1961),9.92%/0.82%/3.54%,"37.38%, 50.6%",107 days/5 days/24 days,2026-04-15/2025-11-19/2025-12-16,-11.02%,-2.49%,-8.53%,-0.17,-0.05,119.7296/120.7794/116.88/168.455/207.5364/245.6322,110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,113.25/110.16,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
