"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NVDA, Long, 2025-11-07 (Price: 188.15)",No Exit Yet,"0.0%, 0 days","^NDX, Normal Case",2025-10-26 (Price: 176.76),"91.01%, Past 10 years, 89","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 188.15), 0.0% below",0 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-07-17/2026-01-09/2026-03-05,49.18%,72.17%,-22.99%,0.82,1.91,250.7475/261.7919/256.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,167.02/13.9695/129.8234/89.3715/182.4801/164.2223,183.0/149.12,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-06 (Price: 985.25)",No Exit Yet,"0.0%, 0 days","^NSEI, Normal Case",2025-11-02 (Price: 981.15),"86.21%, Past 10 years, 29","Weekly, Nullified",Already confirmed,"2025-11-06 (Price: 985.25), 0.0% below",0 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2026-03-30/2026-01-08/2026-02-09,59.88%,13.58%,46.3%,1.19,0.56,1086.8293/1049.4883/1098.0619/1004.15/1098.0619/1305.7899,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,974.21/942.52,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-08-31 (Price: 951.6)",2025-11-07 (Price: 982.3) (Today),"3.23%, 49 days","^NSEI, Normal Case",2025-05-11 (Price: 943.4),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-08-31",Already confirmed,"2025-11-07 (Price: 982.3), 3.23% above",49 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2026-01-22/2025-11-02/2025-12-04,59.88%,13.58%,46.3%,1.19,0.56,1049.71/1013.6443/1098.0619/No Horizontal Resistance/1098.0619/1305.7899,818.38/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level,974.21/943.32,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-08-31 (Price: 951.6)",2025-11-06 (Price: 985.25) (Today),"3.54%, 48 days","^NSEI, Normal Case",2025-05-11 (Price: 943.4),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-08-31",Already confirmed,"2025-11-06 (Price: 985.25), 3.54% above",48 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2026-01-22/2025-11-02/2025-12-04,59.88%,13.58%,46.3%,1.19,0.56,1049.71/1013.6443/1098.0619/No Horizontal Resistance/1098.0619/1305.7899,818.38/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level,974.21/942.52,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"NVDA, Long, 2025-08-24 (Price: 177.99)",2025-10-26 (Price: 186.26),"4.65%, 44 days","^NDX, Normal Case",2020-04-19 (Price: 6.425),"91.01%, Past 10 years, 89","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2025-11-07 (Price: 188.15), 5.71% above",54 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-05-03/2025-10-26/2025-12-20,49.18%,72.17%,-22.99%,0.82,1.91,237.2073/247.6553/239.8943/No Horizontal Resistance/239.8943/283.6698,94.31/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,183.0/149.12,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"NVDA, Long, 2025-08-03 (Price: 173.72)",2025-10-26 (Price: 186.26),"7.22%, 59 days","^NDX, Normal Case",2025-07-27 (Price: 164.58),"91.01%, Past 10 years, 89","Weekly, was CONFIRMED on 2025-08-03",Already confirmed,"2025-11-07 (Price: 188.15), 8.31% above",69 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-04-12/2025-10-05/2025-11-29,49.18%,72.17%,-22.99%,0.82,1.91,231.5166/241.714/176.5924/No Horizontal Resistance/176.5924/239.8943,94.31/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level,183.0/149.12,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-08-03 (Price: 1006.1)",2025-11-07 (Price: 982.3) (Today),"-2.37%, 69 days","^NSEI, Normal Case",2025-07-27 (Price: 988.25),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-08-03",Already confirmed,"2025-11-07 (Price: 982.3), 2.37% below",69 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2025-12-25/2025-10-05/2025-11-06,59.88%,13.58%,46.3%,1.19,0.56,1109.8289/1071.6977/1098.0619/No Horizontal Resistance/1098.0619/1305.7899,818.38/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,974.21/943.32,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-08-03 (Price: 1006.1)",2025-11-06 (Price: 985.25) (Today),"-2.07%, 68 days","^NSEI, Normal Case",2025-07-27 (Price: 988.25),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-08-03",Already confirmed,"2025-11-06 (Price: 985.25), 2.07% below",68 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2025-12-25/2025-10-05/2025-11-06,59.88%,13.58%,46.3%,1.19,0.56,1109.8289/1071.6977/1098.0619/No Horizontal Resistance/1098.0619/1305.7899,818.38/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,974.21/942.52,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-07-27 (Price: 1002.3)",2025-11-07 (Price: 982.3) (Today),"-2.0%, 74 days","^NSEI, Normal Case",2025-07-20 (Price: 976.5),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-07-27",Already confirmed,"2025-11-07 (Price: 982.3), 2.0% below",74 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2025-12-18/2025-09-28/2025-10-30,59.88%,13.58%,46.3%,1.19,0.56,1105.6371/1067.65/1263.3223/No Horizontal Resistance/1263.3223/2016.6114,818.38/640.9/797.7641/510.0332/No F-Track Level/No F-Track Level,974.21/943.32,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-07-27 (Price: 1002.3)",2025-11-06 (Price: 985.25) (Today),"-1.7%, 73 days","^NSEI, Normal Case",2025-07-20 (Price: 976.5),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-07-27",Already confirmed,"2025-11-06 (Price: 985.25), 1.7% below",73 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2025-12-18/2025-09-28/2025-10-30,59.88%,13.58%,46.3%,1.19,0.56,1105.6371/1067.65/1263.3223/No Horizontal Resistance/1263.3223/2016.6114,818.38/640.9/797.7641/510.0332/No F-Track Level/No F-Track Level,974.21/942.52,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
