"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"INDA, Long, 2026-04-05 (Price: 46.65)",No Exit Yet,"1.52%, 3 days","100.0%, Past 14 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-08 (Price: 47.36), 1.52% above",3 days,14.81%/5.57%/7.71%,"-0.0%, 6.26%",3 months/7 days/1.4 month,2026-08-13/2026-04-15/2026-06-04,7.44%,2.85%,4.59%,2.0,0.08,52.2946/50.2467/51.27/55.3975/66.8401/79.771/52.85,45.82/39.0425/45.3705/38.12/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),45.42
"MFT.NZ, Long, 2026-04-05 (Price: 58.99)",No Exit Yet,"2.64%, 3 days","88.89%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-08 (Price: 60.55), 2.64% above",3 days,13.39%/6.64%/8.98%,"14.48%, 14.87%",21 days/7 days/12 days,2026-05-05/2026-04-15/2026-04-22,11.35%,8.97%,2.38%,2.22,0.51,65.4258/64.2873/64.86/85.45/105.252/119.9356/63.85,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),59.01
"EMAMILTD.NS, Long, 2026-04-05 (Price: 398.3)",No Exit Yet,"4.77%, 3 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-08 (Price: 417.3), 4.77% above",3 days,26.55%/6.51%/10.95%,"17.56%, 19.61%",4.7 months/7 days/1.3 month,2026-10-26/2026-04-15/2026-05-31,8.05%,5.09%,2.96%,0.59,0.26,501.9377/441.9138/471.93/634.8/949.731/1026.7499/530.09,393.1/No Horizontal Support/381.1799/329.2417/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),391.7
"SBUX, Long, 2026-03-31 (Price: 89.59)",2026-04-06 (Price: 94.78),"5.79%, 6 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-07 (Price: 95.21), 6.27% above",7 days,7.57%/1.64%/4.07%,"16.2%, 17.41%",2.1 months/1 day/15 days,2026-06-30/2026-04-01/2026-04-21,6.29%,-2.45%,8.74%,0.71,-0.1,95.0281/93.2363/94.13/117.0525/142.4098/150.3462/No EMA 200 Target,86.72/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/89.56,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),88.08
"BAC, Long, 2026-03-29 (Price: 46.97)",2026-04-08 (Price: 50.28),"7.05%, 10 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-08 (Price: 50.28), 7.05% above",10 days,26.29%/6.58%/14.47%,"25.71%, 33.38%",6.8 months/8 days/1.8 month,2027-01-18/2026-04-09/2026-06-15,7.84%,6.3%,1.54%,0.59,0.32,52.597/53.7666/53.18/48.7833/72.41/85.2389/50.9,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),48.34
"JETS, Long, 2026-03-29 (Price: 24.13)",No Exit Yet,"2.74%, 10 days","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-08 (Price: 24.79), 2.74% above",10 days,29.2%/7.1%/13.22%,"-0.0%, 22.83%",2.3 months/7 days/29 days,2026-07-06/2026-04-08/2026-05-10,10.0%,0.03%,9.97%,1.29,0.05,26.0459/27.32/26.68/27.1773/No Next Fib Ext/No Next Fib Ext/26.08,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),25.2
"EBO.NZ, Long, 2026-03-29 (Price: 22.6)",No Exit Yet,"1.81%, 10 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-08 (Price: 23.01), 1.81% above",10 days,6.05%/4.89%/5.47%,"11.57%, 11.86%",4.9 months/7 days/2.6 months,2026-10-27/2026-04-08/2026-07-19,2.05%,6.09%,-4.04%,-1.01,0.32,23.1582/23.8362/23.5/46.625/51.6772/55.325/30.12,21.86/No Horizontal Support/21.8462/19.4238/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),21.83
"GNE.NZ, Long, 2026-03-29 (Price: 2.16)",No Exit Yet,"1.85%, 10 days","83.33%, Past 11 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-08 (Price: 2.2), 1.85% above",10 days,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-19/2026-04-18/2026-06-19,5.02%,1.45%,3.57%,0.69,-0.0,2.2512/2.3226/2.29/3.3125/No Next Fib Ext/No Next Fib Ext/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),2.2
"EFN.TO, Long, 2026-03-29 (Price: 30.11)",No Exit Yet,"1.59%, 10 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-08 (Price: 30.59), 1.59% above",10 days,22.27%/10.41%/15.26%,"43.16%, 45.87%",2.6 months/7 days/1.1 month,2026-07-19/2026-04-08/2026-05-15,2.35%,9.68%,-7.33%,-0.15,0.49,33.952/34.7048/34.33/34.925/45.1741/70.5281/35.29,27.54/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),30.73
"DOL.TO, Long, 2026-03-27 (Price: 166.76)",2026-04-06 (Price: 175.6),"5.3%, 10 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-27",Already confirmed,"2026-04-07 (Price: 174.44), 4.61% above",11 days,5.3%/2.44%/3.5%,"4.54%, 4.54%",1.1 month/3 days/13 days,2026-05-13/2026-03-31/2026-04-14,8.21%,17.08%,-8.87%,1.77,1.12,181.585/172.5966/177.09/197.56/294.0831/455.769/190.56,163.59/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),168.42
"BEL.NS, Long, 2026-03-25 (Price: 413.45)",2026-04-08 (Price: 433.1),"4.75%, 14 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-04-08 (Price: 433.1), 4.75% above",14 days,6.18%/2.69%/4.07%,"11.23%, 12.53%",19 days/2 days/9 days,2026-04-21/2026-03-27/2026-04-07,12.03%,37.48%,-25.45%,0.74,1.95,451.1566/430.2774/440.72/433.5/456.8119/613.9011/No EMA 200 Target,405.5/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/410.98,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),416.3
"^NSEI, Long, 2026-03-24 (Price: 22912.4004)",2026-04-08 (Price: 23997.3496),"4.74%, 15 days","83.33%, Past 4 years, 12","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-08 (Price: 23997.3496), 4.74% above",15 days,3.06%/1.64%/2.13%,"7.21%, 7.21%",19 days/1 day/6 days,2026-04-20/2026-03-25/2026-04-01,5.39%,6.31%,-0.92%,-0.53,0.43,24271.1057/23400.4345/23835.77/26106.6328/No Next Fib Ext/No Next Fib Ext/25184.94,22512.65/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),22878.4492
"NIFTY_MIDCAP_100.NS, Long, 2026-03-24 (Price: 54087.0)",2026-04-08 (Price: 56799.5),"5.02%, 15 days","84.62%, Past 4 years, 13","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-08 (Price: 56799.5), 5.02% above",15 days,4.01%/2.1%/2.76%,"8.15%, 9.89%",20 days/2 days/8 days,2026-04-21/2026-03-26/2026-04-04,6.04%,11.92%,-5.88%,1.78,0.86,57543.1593/55579.8012/56561.48/60128.6094/69983.5191/76335.2565/58589.64,52717.55/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),53878.3008
"BPCL.NS, Long, 2026-03-24 (Price: 282.25)",2026-04-08 (Price: 298.1),"5.62%, 15 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-08 (Price: 298.1), 5.62% above",15 days,5.64%/2.52%/4.01%,"12.36%, 12.36%",1.2 month/2 days/9 days,2026-05-15/2026-03-26/2026-04-06,4.5%,3.75%,0.75%,0.28,0.19,297.9149/293.5682/295.74/383.0667/393.108/467.0257/342.72,271.3/145.35/248.4289/232.8593/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),280.0
"TCS.NS, Long, 2026-03-16 (Price: 2409.2)",2026-04-06 (Price: 2473.8999),"2.69%, 21 days","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-04-08 (Price: 2559.2), 6.23% above",23 days,4.6%/1.73%/2.98%,"13.77%, 13.77%",21 days/1 day/12 days,2026-04-15/2026-03-17/2026-04-02,3.39%,-3.83%,7.22%,-0.05,-0.38,2463.8888/2480.9942/2472.44/4543.575/5051.5642/5692.579/3033.11,No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),2410.0
"NAUKRI.NS, Long, 2026-03-15 (Price: 952.4)",2026-04-08 (Price: 1032.7),"8.43%, 24 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-04-08 (Price: 1032.7), 8.43% above",24 days,11.73%/6.17%/8.95%,"22.33%, 28.55%",3.3 months/7 days/1.7 month,2026-08-05/2026-03-25/2026-05-27,1.69%,13.09%,-11.4%,-0.21,0.64,1436.7906/1037.6398/1237.22/1483.595/2223.4618/2377.3661/1298.61,816.3/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),966.0
"TFII.TO, Long, 2026-03-11 (Price: 150.79)",2026-04-06 (Price: 158.44),"5.07%, 26 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-04-07 (Price: 160.07), 6.15% above",27 days,6.98%/2.44%/4.5%,"22.89%, 22.89%",2.9 months/1 day/24 days,2026-07-15/2026-03-12/2026-04-14,3.52%,7.28%,-3.76%,0.22,0.38,154.7859/157.5755/156.18/219.9933/223.9051/280.6304/No EMA 200 Target,150.27/115.528/150.2411/113.6809/No F-Track Level/No F-Track Level/136.06,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),149.08
"ETH-USD, Long, 2026-03-01 (Price: 1939.0667)",2026-04-08 (Price: 2248.4373),"15.95%, 1.3 month","100.0%, Past 10 years, 4","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-04-08 (Price: 2248.4373), 15.95% above",1.3 month,33.31%/21.78%/26.76%,"-0.0%, 21.37%",1.6 month/14 days/1 month,2026-05-09/2026-03-21/2026-04-13,25.34%,17.52%,7.82%,1.25,0.91,2670.8705/2457.9609/2564.42/4922.7188/4887.278/5344.0381/2958.67,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),1958.1396
"TWR.NZ, Long, 2026-01-23 (Price: 1.89)",2026-04-07 (Price: 1.94),"2.65%, 2.5 months","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-04-08 (Price: 1.98), 4.76% above",2.5 months,4.44%/2.36%/3.4%,"10.44%, 11.77%",15 days/1 day/6 days,2026-02-13/2026-01-24/2026-01-31,1.37%,10.89%,-9.52%,-0.9,0.62,1.9575/1.9543/1.96/No Horizontal Resistance/7.3695/7.9211/No EMA 200 Target,1.82/0.6472/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.81,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),1.88
"IMO.TO, Short, 2026-04-05 (Price: 181.66)",No Exit Yet,"-1.5%, 3 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-08 (Price: 184.38), 1.5% above",3 days,4.86%/3.69%/4.33%,"11.16%, 10.25%",2.3 months/21 days/1.4 month,2026-07-13/2026-05-05/2026-06-04,3.57%,4.79%,-1.22%,-0.97,0.31,170.9057/173.7941/172.35/60.8067/143.048/134.0661/133.27,No Recent Maxima/No Horizontal Resistance/188.7349/196.834/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.67%/12/29 days (Across ALL Assets),70.59%/34/1 month (Across ALL Assets),182.88
