"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BYD.TO, Long, 2026-02-27 (Price: 238.09)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 14","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 238.09), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 231.5251),2.84% above,"2025-10-30 (Price: 204.5), 2026-02-11 (Price: 248.23)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2029-02-26/2026-04-05/2026-09-14,27.71%,0.9%,26.81%,1.63,0.03,254.4468/264.3513/264.33/256.6133/325.4281/346.2134/No EMA 200 Target,223.39/188.685/232.1757/215.4728/No support/No support/219.24,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),238.66
"UPS, Long, 2026-02-27 (Price: 115.96)",No Exit Yet,"0.0%, 0 days","90.91%, Past 5 years, 11","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 115.96), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 112.849),2.76% above,"2025-10-14 (Price: 82.0), 2026-02-12 (Price: 122.41)",10.8%/10.11%/10.49%,"4.82%, 11.97%",3.8 months/2.2 months/2.9 months,2026-08-11/2026-06-02/2026-07-03,11.13%,-7.65%,18.78%,0.42,-0.42,112.1449/128.1242/140.21/221.2667/231.1794/256.5693/No EMA 200 Target,113.85/107.93/108.3547/94.2047/115.8037/No support/96.95,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),115.96
"C6L.SI, Long, 2026-02-27 (Price: 7.18)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-27 (Price: 7.18), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),15.09% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-13/2027-02-13/2028-04-19,7.09%,-1.77%,8.86%,0.77,-0.19,7.3925/8.9183/8.24/No Horizontal Resistance/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.71,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-27 (Price: 11.22)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-27 (Price: 11.22), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),6.27% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-10/2026-10-06/2027-09-23,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/13.8771/15.9169/11.52,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"BAC, Long, 2026-02-26 (Price: 52.3)",No Exit Yet,"-4.72%, 1 day","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-26",Already confirmed,"2026-02-27 (Price: 49.83), 4.72% below",1 day,Upmove Bounce Back,23.66% (Price: 49.8392),0.02% below,"2023-10-27 (Price: 24.96), 2026-01-05 (Price: 57.55)",12.47%/5.94%/10.3%,"-0.0%, 49.03%",3.9 years/1.6 month/1.1 year,2031-09-21/2026-05-06/2027-09-22,14.05%,9.09%,4.96%,2.73,0.48,53.4401/57.6869/71.85/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,50.41/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.38,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),51.88
"JPM, Long, 2026-02-26 (Price: 306.13)",No Exit Yet,"-1.9%, 1 day","100.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-02-26",Already confirmed,"2026-02-27 (Price: 300.3), 1.9% below",1 day,Upmove Bounce Back,23.66% (Price: 286.5845),4.79% above,"2023-03-24 (Price: 123.11), 2026-01-05 (Price: 337.25)",19.58%/1.16%/9.71%,"-0.0%, 39.69%",2.2 years/21 days/3.5 months,2029-04-18/2026-03-28/2026-07-28,33.39%,14.23%,19.16%,1.48,0.83,314.0282/335.8552/434.61/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,297.3/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/299.38,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),304.58
"XLY, Long, 2026-02-25 (Price: 117.09)",No Exit Yet,"-0.2%, 2 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 116.86), 0.2% below",2 days,Upmove Bounce Back,23.66% (Price: 111.4871),4.82% above,"2023-03-13 (Price: 67.855), 2026-01-12 (Price: 125.01)",12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-06-08/2026-03-27/2027-03-10,13.85%,5.91%,7.94%,1.09,0.3,119.9704/126.1996/151.38/122.0862/125.4815/133.9156/No EMA 200 Target,114.99/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/115.6,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),116.98
"JETS, Long, 2026-02-25 (Price: 28.91)",No Exit Yet,"-1.59%, 2 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 28.45), 1.59% below",2 days,Upmove Bounce Back,38.2% (Price: 28.3924),0.2% above,"2025-11-20 (Price: 23.64), 2026-02-11 (Price: 31.33)",14.21%/6.23%/11.39%,"-0.0%, 40.54%",3.2 years/3.2 months/1.3 year,2030-09-20/2026-07-14/2028-01-03,15.27%,1.91%,13.36%,2.44,0.11,30.951/32.2028/33.52/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,28.51/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25.74,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),28.98
"SJ.TO, Long, 2026-02-25 (Price: 95.6)",No Exit Yet,"-2.08%, 2 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-02-27 (Price: 93.61), 2.08% below",2 days,Upmove Bounce Back,23.66% (Price: 94.7491),1.2% below,"2025-08-07 (Price: 73.58), 2026-02-11 (Price: 101.31)",14.92%/10.1%/11.67%,"0.73%, 33.9%",1.8 year/1 month/5.3 months,2028-09-20/2026-04-09/2026-10-13,26.35%,9.97%,16.38%,1.63,0.54,103.162/106.7565/112.24/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,94.6/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/82.49,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),95.37
"PFE, Long, 2026-02-24 (Price: 27.14)",No Exit Yet,"1.88%, 3 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-24",Already confirmed,"2026-02-27 (Price: 27.65), 1.88% above",3 days,Upmove Bounce Back,23.66% (Price: 26.9084),2.76% above,"2025-09-25 (Price: 23.58), 2026-02-11 (Price: 27.94)",15.29%/2.93%/10.03%,"3.6%, 19.77%",2.8 months/12 days/1.5 month,2026-06-25/2026-03-13/2026-04-30,10.93%,-6.4%,17.33%,0.41,-0.42,27.4684/29.8621/29.76/55.39/66.4672/73.1352/No EMA 200 Target,26.65/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/25.01,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),27.14
