Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",Daily,No Exit Yet,No Price Target,2026-01-13 (Min),4.36%/5.01%,"2.67%, 1.4 month","2026-01-15 (Price: 39.22), 2.67% above",41.1834 (Avg % Gain of Historic Winning trades)/41.63 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3791 (Backtested Max),2030-08-20 (Max)/2027-06-30 (Avg),36.64/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.66,"90.0%, Past 5 years, 10",No Information,No Information,No Information,"50% (Price: 37.605), 4.29% above, Upmove Bounce Back","2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,8.47%,1.81%,6.66%,1.1,0.09,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",Weekly,No Exit Yet,39.4731 (Historic Rise or Fall to Pivot)/39.1917 (Horizontal),No Date Target,4.36%/5.68%,"9.1%, 8.3 months","2026-01-15 (Price: 39.22), 9.1% above",42.0723 (Avg % Gain of Historic Winning trades)/52.54 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.1005 (Backtested Max)/41.4468 (Backtested Min),2029-07-01 (Max)/2026-12-05 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"23.66% (Price: 32.958), 19.0% above, Upmove Bounce Back","2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,1.65%/3.18%,"13.42%, 9.5 months","2026-01-15 (Price: 39.22), 13.42% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max)/39.8673 (Backtested Min),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"38.2% (Price: 32.1618), 21.95% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",Monthly,No Exit Yet,39.1438 (Horizontal),No Date Target,4.36%/16.12%,"3.89%, 15 days","2026-01-15 (Price: 39.22), 3.89% above",47.0516 (Historic Rise or Fall to Pivot)/45.7945 (Avg % Gain of Historic Winning trades)/49.28 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/46.3306 (Backtested Max)/45.5416 (Backtested Min),2035-02-19 (Max)/2026-06-22 (Min)/2030-09-16 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.66,"85.71%, Past 24 years, 7",No Information,No Information,No Information,"23.66% (Price: 34.9549), 12.2% above, Upmove Bounce Back","2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",Daily,2026-01-13 (Price: 38.9),No Price Target,No Date Target,0.97%/2.6%,"2.89%, 2.2 months","2026-01-15 (Price: 39.22), 2.89% above",40.2395 (Historic Rise or Fall to Pivot)/39.5991 (Avg % Gain of Historic Winning trades)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3132 (Backtested Max),2026-04-11 (Max),35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.0,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,1.87% above/2.89% above/2.89% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-06 (Price: 38.14)",Daily,2026-01-13 (Price: 38.9),No Price Target,No Date Target,1.02%/2.65%,"2.83%, 2.3 months","2026-01-15 (Price: 39.22), 2.83% above",40.2606 (Historic Rise or Fall to Pivot)/39.6198 (Avg % Gain of Historic Winning trades)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3354 (Backtested Max),2026-04-07 (Max),35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.01,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,2.83% above/2.83% above/2.83% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-08 (Price: 38.18)",Daily,2026-01-13 (Price: 38.9),No Price Target,No Date Target,1.13%/2.76%,"2.72%, 4.3 months","2026-01-15 (Price: 39.22), 2.72% above",40.3028 (Historic Rise or Fall to Pivot)/39.6614 (Avg % Gain of Historic Winning trades)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3798 (Backtested Max),2026-02-07 (Max),36.6/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.21,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,3.51% above/2.72% above/2.72% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-05 (Price: 37.89)",Daily,2026-01-13 (Price: 38.9),39.3601 (Avg % Gain of Historic Winning trades),No Date Target,1.98%/4.36%,"3.51%, 4.4 months","2026-01-15 (Price: 39.22), 3.51% above",39.9967 (Historic Rise or Fall to Pivot)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.0579 (Backtested Max),2026-02-04 (Max),36.6/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,3.51% above/3.51% above/3.51% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-15 (Price: 43.61) (Today),No Price Target,No Date Target,3.54%/9.72%,"10.62%, 9.7 months","2026-01-15 (Price: 43.61), 10.62% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Exit Rule)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",No Information,No Information,No Information,"23.66% (Price: 36.9765), 17.94% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2026-01-13 (Price: 42.85)",Daily,No Exit Yet,43.68 (Exit Rule),No Date Target,0.56%/1.77%,"1.77%, 2 days","2026-01-15 (Price: 43.61), 1.77% above",44.384 (Historic Rise or Fall to Pivot)/43.8527 (Avg % Gain of Historic Winning trades)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/44.7268 (Backtested Max),2026-07-08 (Max)/2026-01-21 (Min)/2026-03-01 (Avg),41.87/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.15,"88.46%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.77% above/1.77% above/1.77% above,4.38%/0.63%/2.34%,"10.13%, 19.69%",4.1 months/6 days/1.1 month,9.58%,4.29%,5.29%,0.22,0.2,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
