"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"HDFCBANK.NS, Long, 2026-01-16 (Price: 931.1)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 931.1), 0.0% below",0 days,8.35%/1.34%/3.18%,"4.83%, 8.72%",2.7 months/2 days/27 days,2026-05-13/2026-01-18/2026-02-24,9.59%,4.97%,4.62%,0.63,0.25,972.534/960.709/966.62/1009.6/1299.7536/1565.406/976.84,925.45/640.9/762.8018/626.4465/No support/No support/No EMA 200 Support,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"RELIANCE.NS, Long, 2026-01-16 (Price: 1457.9)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 1457.9), 0.0% below",0 days,4.67%/1.25%/2.89%,"6.81%, 6.81%",18 days/4 days/10 days,2026-02-11/2026-01-21/2026-01-30,6.04%,5.74%,0.3%,0.18,0.3,1516.216/1500.0333/1508.12/1531.725/1617.1679/1804.6011/No EMA 200 Target,1452.8/1025.8126/1324.16/1138.1652/1325.1633/1149.0138/1437.6,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"HDB, Long, 2026-01-13 (Price: 33.2)",No Exit Yet,"-1.66%, 3 days","100.0%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-13",Already confirmed,"2026-01-16 (Price: 32.65), 1.66% below",3 days,13.59%/1.34%/4.3%,"0%, 9.88%",2.4 months/1 day/21 days,2026-04-27/2026-01-14/2026-02-12,20.91%,2.11%,18.8%,1.43,0.09,36.2046/34.6276/35.42/39.3812/40.717/47.4928/36.22,33.1/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"AAPL, Long, 2026-01-12 (Price: 260.25)",No Exit Yet,"-1.81%, 4 days","100.0%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 255.53), 1.81% below",4 days,6.6%/3.13%/3.94%,"0%, 13.99%",2.3 months/2 days/20 days,2026-04-21/2026-01-14/2026-02-09,13.49%,8.36%,5.13%,3.24,0.43,277.2964/270.5038/273.9/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,259.04/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/234.06,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"CSCO, Long, 2026-01-12 (Price: 74.01)",2026-01-13 (Price: 75.47),"1.97%, 1 day","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 75.19), 1.59% above",4 days,6.65%/2.15%/3.52%,"7.65%, 9.42%",2.2 months/2 days/15 days,2026-04-17/2026-01-14/2026-02-02,12.63%,4.71%,7.92%,0.62,0.23,75.579/76.6152/76.1/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.88/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level/68.42,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"NFLX, Long, 2026-01-04 (Price: 90.99)",No Exit Yet,"-3.29%, 12 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-16 (Price: 88.0), 3.29% below",12 days,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-06-13/2026-02-03/2026-04-09,-0.62%,18.98%,-19.6%,-0.04,0.8,108.4419/105.6667/107.05/No Horizontal Resistance/139.352/152.4292/113.08,85.59/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,93.75%/16/3.4 months (Across ALL Assets),87.5%/104/2.3 months (Across ALL Assets)
"NFLX, Long, 2025-12-12 (Price: 95.19)",2026-01-12 (Price: 89.41),"-6.07%, 1 month","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2026-01-16 (Price: 88.0), 7.55% below",1.2 month,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,2026-01-07/2025-12-13/2025-12-20,8.49%,10.45%,-1.96%,0.17,0.53,100.4826/101.3393/100.91/No Horizontal Resistance/139.352/152.4292/113.08,92.71/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"MSFT, Long, 2025-11-26 (Price: 485.5)",2026-01-14 (Price: 459.38),"-5.38%, 1.6 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2026-01-16 (Price: 459.86), 5.28% below",1.7 month,5.23%/2.02%/3.68%,"8.2%, 14.53%",2.4 months/1 day/14 days,2026-03-10/2025-11-27/2025-12-16,5.1%,6.53%,-1.43%,0.07,0.34,510.2605/503.3664/506.81/No Horizontal Resistance/553.3726/615.9924/No EMA 200 Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/482.26,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"SFTBY, Long, 2025-11-19 (Price: 15.245)",2026-01-14 (Price: 13.23),"-13.22%, 1.9 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2026-01-16 (Price: 12.53), 17.81% below",1.9 month,12.83%/2.56%/6.09%,"19.12%, 20.76%",11 days/1 day/5 days,2025-12-04/2025-11-20/2025-11-26,2.49%,14.8%,-12.31%,-0.02,0.67,16.4158/16.1734/16.29/No Horizontal Resistance/23.8631/28.8451/No EMA 200 Target,14.97/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/11.94,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
"TRI.TO, Long, 2025-10-19 (Price: 222.18)",2026-01-04 (Price: 173.66),"-21.84%, 2.6 months","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2026-01-16 (Price: 172.49), 22.36% below",3 months,8.09%/4.48%/6.17%,"0%, 11.31%",1.4 year/14 days/5.6 months,2027-10-17/2025-11-08/2026-06-19,6.24%,7.2%,-0.96%,3.72,0.43,234.5776/235.8885/235.23/240.8933/293.2329/316.3836/233.6,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,93.75%/16/3.4 months (Across ALL Assets),87.5%/104/2.3 months (Across ALL Assets)
