"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"JPY=X, Long, 2025-12-23 (Price: 157.676)",No Exit Yet,"0.0%, 0 days","73.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 155.887 prior to 2025-12-31,"2025-12-22 (Price: 157.676), 0.0% below",0 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-22 (Price: 157.676),22/0/1 days,0.89% above/0.0% below/0.0% below,2024-06-30 (Price: 162.4562)/2025-12-23 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-19/2026-07-28/2027-01-26,-1.08%,0.88%,-1.96%,0.37,-0.3,173.6486/174.91/159.48/160.2533/175.8568/187.2285/No EMA 200 Target,142.3/109.702/156.7717/138.2059/No support/No support/148.54,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"GLD, Long, 2025-12-23 (Price: 413.64)",No Exit Yet,"0.0%, 0 days","85.19%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 406.98 prior to 2025-12-26,"2025-12-23 (Price: 413.64), 0.0% below",0 days,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-22 (Price: 408.23),2/1/0 days,3.66% above/1.33% above/0.0% below,2024-08-11 (Price: 229.74)/2025-12-23 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-24/2026-02-01/2026-05-15,4.9%,5.02%,-0.12%,1.33,0.26,440.6921/438.5825/527.09/No Horizontal Resistance/408.5544/581.2346/No EMA 200 Target,236.59/150.8/288.3021/225.9189/351.4816/313.2152/328.82,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-23 (Price: 304.96)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-23 (Price: 304.96), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-23 (Price: 304.96),2025-11-21 (Price: 270.83),0/32/0 days,0.0% below/12.6% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-23 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-08/2027-10-31/2028-09-08,16.0%,8.74%,7.26%,0.66,0.45,406.9386/450.5784/469.52/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/243.55,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"^NSEI, Long, 2025-12-23 (Price: 26177.1504)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 26107.0735 prior to 2025-12-26,"2025-12-23 (Price: 26177.1504), 0.0% below",0 days,"0, 2021-09-05 (Price: 17323.5996)",2025-12-21 (Price: 25966.4004),2025-12-23 (Price: 26177.1504),2/0/0 days,0.81% above/0.0% below/0.0% below,2021-09-05 (Price: 23206.6463)/2025-12-23 (Price: 25977.1875),8.4%/1.59%/4.23%,"-0.0%, 12.99%",8.6 months/1.2 month/3.3 months,2026-12-31/2026-02-13/2026-05-15,8.66%,7.17%,1.49%,1.5,0.46,27881.2829/27284.4439/31489.28/No Horizontal Resistance/31657.0022/45908.3871/No EMA 200 Target,24363.3/15428.8669/22849.1349/17405.6173/25241.664/24575.4193/24841.83,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"GS, Long, 2025-12-23 (Price: 901.71)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 896.52 prior to 2025-12-26,"2025-12-23 (Price: 901.71), 0.0% below",0 days,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-22 (Price: 899.0),9/1/0 days,1.55% above/0.3% above/0.0% below,2024-08-11 (Price: 536.6316)/2025-12-23 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-13/2026-02-21/2026-09-14,9.45%,7.78%,1.67%,2.03,0.4,924.5233/980.5195/1148.58/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,470.81/288.555/818.1554/728.9736/732.6/617.9885/697.04,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"INDA, Long, 2025-12-23 (Price: 54.47)",No Exit Yet,"0.0%, 0 days","76.67%, Past 10 years, 30","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 54.23 prior to 2025-12-26,"2025-12-23 (Price: 54.47), 0.0% below",0 days,"6, 2024-08-11 (Price: 55.79)",2025-12-21 (Price: 54.15),2025-12-23 (Price: 54.47),2/0/0 days,0.59% above/0.0% below/0.0% below,2024-08-11 (Price: 60.1146)/2025-12-23 (Price: 53.69),10.1%/0.09%/5.76%,"6.79%, 39.17%",1.1 year/28 days/3.3 months,2027-07-19/2026-02-01/2026-05-15,6.03%,3.68%,2.35%,0.77,0.14,56.3438/57.6075/55.26/55.3975/60.4014/73.8934/No EMA 200 Target,53.14/39.06/52.5567/48.6731/No support/No support/53.36,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MAR, Long, 2025-12-23 (Price: 314.07)",No Exit Yet,"0.0%, 0 days","81.48%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 310.74 prior to 2025-12-26,"2025-12-23 (Price: 314.07), 0.0% below",0 days,"2, 2025-05-18 (Price: 273.23)",2025-12-21 (Price: 310.16),2025-12-22 (Price: 313.75),2/1/0 days,1.26% above/0.1% above/0.0% below,2025-05-18 (Price: 276.02)/2025-12-23 (Price: 306.94),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-04-01/2026-02-01/2026-04-10,11.8%,10.04%,1.76%,0.46,0.51,360.5524/337.9393/338.57/No Horizontal Resistance/313.5051/355.3234/No EMA 200 Target,260.2/129.12/297.0775/283.8827/272.7581/245.7602/265.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"WPM, Long, 2025-12-23 (Price: 122.88)",No Exit Yet,"0.0%, 0 days","84.62%, Past 10 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 122.33 prior to 2025-12-26,"2025-12-23 (Price: 122.88), 0.0% below",0 days,"6, 2024-08-11 (Price: 55.81)",2025-12-21 (Price: 119.7),2025-12-23 (Price: 122.88),2/0/0 days,2.66% above/0.0% below/0.0% below,2024-08-11 (Price: 58.517)/2025-12-23 (Price: 119.4562),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-23/2026-02-01/2026-03-02,5.32%,5.11%,0.21%,0.63,0.29,132.821/135.5858/163.12/No Horizontal Resistance/119.4321/129.2378/No EMA 200 Target,96.52/38.3375/102.4252/95.3086/101.2957/87.4536/94.25,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-23 (Price: 3.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-23 (Price: 3.6), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),53/25/0 days,10.43% above/7.46% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-23 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-14/2026-07-28/2026-08-10,5.5%,0.69%,4.81%,1.23,0.0,4.2062/4.3517/5.8/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.22,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-23 (Price: 68.0)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-23 (Price: 68.0), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-23 (Price: 68.0),2025-12-23 (Price: 68.0),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-23 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-18/2026-07-28/2026-12-27,9.96%,11.66%,-1.7%,0.82,0.67,105.4272/77.0304/68.9/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.82,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
